Date,Dow Jones Industrial Average
04/1997,34856.918411857456
05/1997,36438.99119650057
06/1997,38609.123859256266
07/1997,42552.54653043189
08/1997,40670.53823369648
09/1997,41334.629110193906
10/1997,38033.152180961406
11/1997,39263.81701713843
12/1997,40820.85611994476
01/1998,41764.06716673284
02/1998,45158.430886071
03/1998,46732.31061593323
04/1998,47827.1786128217
05/1998,46360.27799933574
06/1998,47027.95521725993
07/1998,46799.61279414831
08/1998,39660.045327372776
09/1998,39392.71748663357
10/1998,41584.44451940708
11/1998,45516.25098970758
12/1998,45608.02517359772
01/1999,48029.5459824314
02/1999,49468.50632684517
03/1999,53428.80651219765
04/1999,59730.62922125732
05/1999,59384.61205000702
06/1999,62535.28784371116
07/1999,58687.73774042091
08/1999,60470.426533182064
09/1999,57296.234831941
10/1999,60710.34114596285
11/1999,63837.8182396617
12/1999,67892.18460352774
01/2000,66313.06896187205
02/2000,61994.40754564604
03/2000,68056.10713447745
04/2000,70372.14853820868
05/2000,67500.8516996095
06/2000,65323.43576959329
07/2000,68056.3173778419
08/2000,75454.90101529547
09/2000,72902.10450938955
10/2000,78244.6572888351
11/2000,72103.15836454151
12/2000,69744.5844648412
01/2001,70549.62960610795
02/2001,68494.974595579
03/2001,67569.66843975245
04/2001,73126.77135754314
05/2001,77994.7951747893
06/2001,75114.26050003832
07/2001,72977.49538259355
08/2001,66144.2122334628
09/2001,59039.19108624267
10/2001,61225.92484421455
11/2001,67728.55431029397
12/2001,69634.10355043414
01/2002,70410.1817787338
02/2002,71778.07909353824
03/2002,73340.95388732638
04/2002,67968.72677842449
05/2002,65272.85970626696
06/2002,57270.23626587568
07/2002,55262.71807081012
08/2002,54656.80516813764
09/2002,47829.514928283235
10/2002,52994.60240810924
11/2002,55947.596237571255
12/2002,49734.466929929935
01/2003,46616.867508368305
02/2003,45954.493900518086
03/2003,46129.00545494202
04/2003,47974.97440818821
05/2003,47301.69079863342
06/2003,49754.72071428785
07/2003,51700.87034435995
08/2003,54738.43347315979
09/2003,50634.702471138546
10/2003,53747.32114648846
11/2003,52122.58660503187
12/2003,52974.47570998822
01/2004,54275.08733584919
02/2004,54743.22185190575
03/2004,54498.16203096026
04/2004,55123.94872009426
05/2004,53914.6547322928
06/2004,55487.11671903845
07/2004,54516.44881203574
08/2004,54509.77399694002
09/2004,52776.111762905595
10/2004,51230.956310613954
11/2004,51186.912263347935
12/2004,51729.36756009874
01/2005,52652.675008440456
02/2005,53283.70763508865
03/2005,53231.050119571904
04/2005,51763.40666387242
05/2005,56005.549168765036
06/2005,56144.699432102134
07/2005,58227.75879177007
08/2005,57037.06507862872
09/2005,58316.269839971894
10/2005,57773.68009810588
11/2005,61332.745633391365
12/2005,60756.20066452026
01/2006,60036.33442074403
02/2006,62171.39491178713
03/2006,61729.30675970633
04/2006,61077.995612096245
05/2006,58635.90112364472
06/2006,59324.143007241204
07/2006,59340.16643425267
08/2006,60181.74415563017
09/2006,62760.853180981874
10/2006,64815.5780588465
11/2006,63304.4043277413
12/2006,64787.88356017039
01/2007,66793.08186457385
02/2007,63841.341455399386
03/2007,63858.84361733091
04/2007,66177.96745790298
05/2007,70020.46217876644
06/2007,68712.82041311117
07/2007,66786.62514904758
08/2007,67733.82301268671
09/2007,68189.71884087923
10/2007,67176.21599912335
11/2007,63358.779778956865
12/2007,63111.55118846048
01/2008,58862.29926144679
02/2008,56899.175405349044
03/2008,54641.09849420911
04/2008,58211.212547786476
05/2008,57686.8577936387
06/2008,51052.32790886583
07/2008,51774.516806696185
08/2008,55846.52725043197
09/2008,54177.852719434864
10/2008,52308.37987645877
11/2008,49885.84675226919
12/2008,45441.50712980061
01/2009,45079.07487280474
02/2009,40555.593840503716
03/2009,41591.10080331122
04/2009,44846.830061261695
05/2009,44136.23375116943
06/2009,43844.00495921685
07/2009,47667.45390960327
08/2009,49094.20598114087
09/2009,49015.30269890235
10/2009,48564.44853966188
11/2009,51156.90475673746
12/2009,53856.7877219255
01/2010,53707.656416987076
02/2010,56904.2650963528
03/2010,60333.07600089528
04/2010,62009.80090982399
05/2010,62016.903897077405
06/2010,60067.252259370194
07/2010,60667.83352527171
08/2010,59893.81284207835
09/2010,60015.370623097944
10/2010,61007.239398777434
11/2010,64640.39136967439
12/2010,66230.64397166598
01/2011,66478.23715543591
02/2011,67876.88441563823
