Date,FTSE UK Dividend+
03/2012,8168.194457595527
04/2012,8196.868833220951
05/2012,7804.1088927168585
06/2012,8199.310191245655
07/2012,8589.03444690169
08/2012,8711.809063782208
09/2012,8809.383268196929
10/2012,8816.750883781382
11/2012,8858.701278734028
12/2012,9046.378899837191
01/2013,9041.035857215806
02/2013,9277.242163186436
03/2013,9466.095009122475
04/2013,9752.028970300978
05/2013,10112.227170048936
06/2013,9619.219768868052
07/2013,10084.42607885425
08/2013,10026.478646971926
09/2013,10426.863306422367
10/2013,10730.197226008726
11/2013,10850.678498163565
12/2013,11002.857590693007
01/2014,10901.649970793445
02/2014,11447.671280425127
03/2014,11134.868592417708
04/2014,11547.838963978915
05/2014,11925.490318510101
06/2014,11966.395475714859
07/2014,11985.011680783227
08/2014,12179.379694996962
09/2014,11996.463605051302
10/2014,11989.592563303187
11/2014,12473.814129423703
12/2014,12682.925920423488
01/2015,13726.416003924473
02/2015,14662.872188185192
03/2015,14527.963253560389
04/2015,14992.557598325784
05/2015,15485.580424807107
06/2015,14820.563876100721
07/2015,15193.720666428395
08/2015,14115.422182048851
09/2015,13557.492489325103
10/2015,14601.448838174374
11/2015,14661.767397132478
12/2015,13615.624635166181
01/2016,12692.29120657564
02/2016,12344.39617020246
03/2016,12634.685200487555
04/2016,12944.259917979412
05/2016,13192.245702956652
06/2016,12173.212026494404
07/2016,12322.840321629004
08/2016,12636.494285038429
09/2016,12496.041317788504
10/2016,11737.057173417263
11/2016,12257.574314764635
12/2016,12711.637101779224
01/2017,12431.841801758042
02/2017,13042.896472833752
03/2017,13293.903697332411
04/2017,13592.792196916125
05/2017,13506.246387422094
06/2017,13005.302486493918
07/2017,12720.323118852928
08/2017,12338.497321984933
09/2017,12762.10107484811
10/2017,12748.82571800993
11/2017,12431.966159048743
12/2017,13152.438459085237
01/2018,12881.925192769606
02/2018,12356.335409369207
03/2018,12416.479243506028
04/2018,13332.100189392051
05/2018,13449.171325888223
06/2018,13307.951057102622
07/2018,13297.976942130297
08/2018,12948.548482490869
09/2018,12895.099383225232
10/2018,12522.544846755485
11/2018,11887.204842947696
12/2018,11230.268745787258
01/2019,12373.957200328736
02/2019,12650.064647773199
03/2019,12572.821549256198
04/2019,12504.778962720813
05/2019,11429.290263963403
06/2019,11707.718742117015
07/2019,11585.203891017994
08/2019,11437.929505586182
09/2019,12368.974697082445
10/2019,12827.884261580286
11/2019,13318.807065906773
12/2019,14125.335662894007
01/2020,13608.442083316202
02/2020,12117.926776699851
03/2020,8644.830562193543
04/2020,9485.282909637426
05/2020,9410.513049752732
06/2020,9469.07519269032
07/2020,8920.385581332894
08/2020,9580.291264942123
09/2020,9120.768668388406
10/2020,8877.550468384903
11/2020,10425.12189965973
12/2020,11200.497389753555
01/2021,11362.020107832344
02/2021,11812.068164375114
03/2021,12965.127953241086
04/2021,13121.902396801856
05/2021,13545.332447670085
06/2021,13482.995042093407
07/2021,13846.731047532377
08/2021,14018.598209428617
09/2021,13648.999135365604
10/2021,14197.967294232227
11/2021,13986.39944559742
12/2021,14886.961737654025
01/2022,15562.44570037201
02/2022,15377.91831431875
03/2022,15157.206488968877
04/2022,15152.815513685386
05/2022,15285.776915608276
06/2022,14102.451331079577
07/2022,14807.53076102805
08/2022,14063.075919054474
09/2022,12455.979317597661
10/2022,13370.71339515063
11/2022,14394.417060174963
12/2022,13896.335814131764
01/2023,14857.881571379372
02/2023,14996.550078941968
03/2023,14253.617033163302
04/2023,14712.715749019057
05/2023,13956.004987533064
06/2023,13878.422431671455
07/2023,14478.190257694958
08/2023,13980.026264527294
09/2023,14208.073511508963
10/2023,13558.234915019437
11/2023,14518.131412282137
12/2023,15156.56519928844
01/2024,15168.951712435242
02/2024,14851.442916964646
03/2024,15816.801853435052
04/2024,16015.396438688444
05/2024,16778.65813870112
06/2024,16703.942313900494
07/2024,17713.800953507623
08/2024,17809.266725535777
09/2024,17954.561269982667
