Date,MSCI Canada
04/1996,59140.677584411314
05/1996,60803.445769700185
06/1996,58677.17579177555
07/1996,56016.837857892744
08/1996,57987.05470743831
09/1996,60807.35073690204
10/1996,65769.21406249871
11/1996,69649.42499845014
12/1996,68732.71892763866
01/1997,74069.75524858027
02/1997,76681.04728599108
03/1997,73673.27064587447
04/1997,75808.59977665037
05/1997,81890.91315473842
06/1997,84267.46793040274
07/1997,92244.0468347999
08/1997,89872.925041854
09/1997,92619.17991752215
10/1997,86638.77309215766
11/1997,82278.02870471316
12/1997,86633.48351186892
01/1998,87040.77041422357
02/1998,94213.43819824739
03/1998,101684.02572802689
04/1998,101479.24558475862
05/1998,98720.22254712178
06/1998,95427.10855312891
07/1998,88849.11089098724
08/1998,69194.22439357315
09/1998,67667.40990029997
10/1998,71763.50555023142
11/1998,76549.82022140185
12/1998,76911.28910134715
01/1999,86004.75724975753
02/1999,83794.6190152538
03/1999,89486.00140300758
04/1999,99933.68580762441
05/1999,98491.59293838304
06/1999,103863.38870028323
07/1999,101030.39293884979
08/1999,100529.47381312706
09/1999,102537.97003391346
10/1999,111651.23554117522
11/1999,120242.25496347473
12/1999,138368.63267863536
01/2000,142406.01740108253
02/2000,152096.77253448582
03/2000,168474.84871547096
04/2000,170645.8645213925
05/2000,163511.60985028357
06/2000,179174.5546272946
07/2000,190853.84124879332
08/2000,215473.88701578532
09/2000,196819.27632190668
10/2000,187035.6404010757
11/2000,165025.71159955437
12/2000,157360.36264808997
01/2001,165258.52176395035
02/2001,139583.0948836371
03/2001,132763.1666119195
04/2001,141516.75173648732
05/2001,150848.22099344307
06/2001,145062.87330835065
07/2001,139856.22835124473
08/2001,126413.30968285425
09/2001,114947.96952378431
10/2001,116210.3917241031
11/2001,128921.37443251279
12/2001,132197.67418339435
01/2002,133885.13535335468
02/2002,132251.52676095633
03/2002,135819.36906646026
04/2002,130500.39129753949
05/2002,127926.75164370493
06/2002,113539.04619400969
07/2002,102736.08004779278
08/2002,103468.65132249171
09/2002,94859.18852148275
10/2002,97678.45916868458
11/2002,102721.19708460239
12/2002,96447.32534458887
01/2003,96119.94957953348
02/2003,99778.61968653934
03/2003,97435.60044535491
04/2003,101421.76945524299
05/2003,103646.46263907978
06/2003,110044.65591744952
07/2003,111454.87699241958
08/2003,121446.34065085651
09/2003,115838.18688138186
10/2003,123949.99160807062
11/2003,123661.78874008026
12/2003,123804.36787514268
01/2004,127585.38534067235
02/2004,129990.01825841294
03/2004,131401.96699913123
04/2004,123237.04088762737
05/2004,123903.2568814092
06/2004,129608.5623704669
07/2004,130960.41002547804
08/2004,130205.80281521303
09/2004,136690.98623158108
10/2004,141547.33083149185
11/2004,141126.57779560838
12/2004,140287.0832331747
01/2005,140758.92194559658
02/2005,147269.86558907357
03/2005,152683.6126078551
04/2005,144464.83908875423
05/2005,155108.12475428198
06/2005,167757.8932486616
07/2005,176931.89095488662
08/2005,185752.63235128173
09/2005,199430.53284230913
10/2005,185326.8778722168
11/2005,199509.95783048574
12/2005,207826.3733133343
01/2006,220071.11503554758
02/2006,220458.01069574512
03/2006,219561.58510634597
04/2006,222293.93093850432
05/2006,210785.20454331613
06/2006,209914.6230550829
07/2006,209609.65042699914
08/2006,216577.6506318584
09/2006,213198.97830494132
10/2006,222758.65295082954
11/2006,220352.7545052125
12/2006,219305.58963664243
01/2007,222303.52698363224
02/2007,219514.14754584574
03/2007,223708.3115376332
04/2007,232235.78604473846
05/2007,254904.6917584831
06/2007,253480.19655802802
07/2007,249105.93393844715
08/2007,249158.47346902633
09/2007,264374.7458539337
10/2007,283753.82821269636
11/2007,246828.35101101594
12/2007,254208.09524117876
01/2008,235580.412898314
02/2008,245201.9256998322
03/2008,222198.49587147692
04/2008,242034.4973960697
05/2008,260903.68246935535
06/2008,247355.50666455648
07/2008,232324.58876591208
08/2008,241263.0116892943
09/2008,213185.15791587206
10/2008,174494.3798796548
11/2008,164918.43061132482
12/2008,146508.17433567083
01/2009,153429.77133386798
02/2009,142129.75702725252
03/2009,147653.86075943
04/2009,168562.00908768273
05/2009,192370.19146958055
06/2009,181412.47487407972
07/2009,203061.66019991343
08/2009,198207.9138991645
09/2009,207125.9118251705
10/2009,194331.59328892195
11/2009,205599.27595294587
12/2009,221056.22646201737
01/2010,211111.77803248365
02/2010,229764.8924016012
03/2010,250422.24692101855
04/2010,257108.33138066053
05/2010,259020.42319687814
06/2010,246229.02824951976
07/2010,248468.49020553575
08/2010,250310.01584748802
09/2010,250602.19266673466
10/2010,254499.0767874124
11/2010,274094.44171809143
12/2010,287071.23852795456
01/2011,281280.8420864777
02/2011,298633.32542509737
03/2011,290674.3305498973
04/2011,281148.4246217002
05/2011,281557.49721881864
06/2011,272212.8239234748
07/2011,269963.372033865
08/2011,256922.39889773476
09/2011,236091.78753214487
10/2011,251430.26048450192
11/2011,255246.1566062744
12/2011,258763.7968514959
01/2012,269163.7331111866
02/2012,273179.37725049234
03/2012,266681.9271449347
04/2012,270874.61216688197
05/2012,257565.1200918274
06/2012,260975.67287217418
07/2012,273298.78686464176
08/2012,277514.0003142378
09/2012,280617.81447353534
10/2012,278221.97922958725
11/2012,277029.30884550017
12/2012,276826.62457751826
01/2013,274435.58534992876
02/2013,279173.70546960126
03/2013,287737.023169838
04/2013,277700.6849397836
05/2013,277625.58902111475
06/2013,260628.70344861576
07/2013,271541.7221084294
08/2013,269762.91447251855
09/2013,274696.12347595923
10/2013,280888.82858752564
11/2013,278948.4606154958
12/2013,279745.40286683885
01/2014,273623.6032076749
