Date,MSCI Europe Value
06/1993,76468.91050205396
07/1993,81143.56114530929
08/1993,88724.03084393969
09/1993,84866.0125308308
10/1993,89464.28544831896
11/1993,89858.43533008716
12/1993,97268.19489142545
01/1994,104372.84386705114
02/1994,100474.94421980271
03/1994,95689.07085208483
04/1994,100180.43905084083
05/1994,94275.4190332187
06/1994,92129.17494444623
07/1994,94105.9404708385
08/1994,96365.01400732661
09/1994,91659.78981509332
10/1994,94407.66054740467
11/1994,91857.50376473312
12/1994,93697.30862697269
01/1995,91203.29759680385
02/1995,91525.25514703154
03/1995,91407.09283465217
04/1995,92543.99223213678
05/1995,96277.20532647913
06/1995,95097.4882596783
07/1995,98960.02563657747
08/1995,97174.6213694318
09/1995,101201.90359537459
10/1995,98957.81315874345
11/1995,100299.09531438428
12/1995,105587.25402173132
01/1996,106974.0581705657
02/1996,109578.13635615916
03/1996,110609.055259917
04/1996,112687.9162843966
05/1996,114958.96494516784
06/1996,115021.1967357458
07/1996,112139.57810426631
08/1996,114763.44258146803
09/1996,117446.66361583672
10/1996,120153.53113641863
11/1996,125120.07122935033
12/1996,130751.898165747
01/1997,135418.67192056752
02/1997,144310.7196946939
03/1997,150673.6631390222
04/1997,151054.7195805247
05/1997,158170.35456320152
06/1997,166591.77119637124
07/1997,179371.36471775238
08/1997,174111.38187403625
09/1997,186058.7192753652
10/1997,176890.08205250808
11/1997,176168.6835752835
12/1997,187582.5397289472
01/1998,199548.7292678585
02/1998,213231.42048613424
03/1998,235325.22690453575
04/1998,238644.0000823759
05/1998,240251.4032934492
06/1998,241793.98848257
07/1998,250345.1113353427
08/1998,212307.4388519143
09/1998,194294.9491698535
10/1998,200350.0455439387
11/1998,217651.69977841974
12/1998,220559.11460979507
01/1999,223627.33205174512
02/1999,228653.73211787714
03/1999,244778.97851192826
04/1999,265178.81954330497
05/1999,253390.90495852797
06/1999,261056.34556121932
07/1999,258712.40740874974
08/1999,263056.2515761588
09/1999,257922.94413224305
10/1999,268222.1597056431
11/1999,276206.132371997
12/1999,300010.8139003445
01/2000,278300.315747993
02/2000,286478.55797560315
03/2000,301658.0047568791
04/2000,304096.40117819246
05/2000,305962.56083580066
06/2000,306242.9683779138
07/2000,318573.7956543878
08/2000,328587.9529065349
09/2000,321463.4667236839
10/2000,337763.1863033736
11/2000,319416.67700599
12/2000,322872.5633844901
01/2001,327106.8590361821
02/2001,306849.2171127999
03/2001,300475.02681152744
04/2001,318660.23435711756
05/2001,320380.76596583007
06/2001,309782.5809135393
07/2001,302198.4617282318
08/2001,285893.901184674
09/2001,255848.14792265452
10/2001,263744.1931924299
11/2001,277136.10328767437
12/2001,287163.084065995
01/2002,276261.0250014483
02/2002,273805.8345939005
03/2002,291207.92042588966
04/2002,280923.36814481457
05/2002,272665.67967208824
06/2002,243506.85277879259
07/2002,222375.89885554355
08/2002,222732.08827452722
09/2002,185690.4509083355
10/2002,204847.72435330186
11/2002,219112.89804587147
12/2002,197221.71243353194
01/2003,182993.82045362084
02/2003,177123.88583923326
03/2003,171362.44035823655
