Date,FTSE World Government Bond G7
12/2012,48754.56838725328
01/2013,46529.741606297226
02/2013,47805.882248524205
03/2013,48545.19670938055
04/2013,47482.81615803809
05/2013,46723.07831887293
06/2013,46420.27782105925
07/2013,45972.26522976547
08/2013,46185.2363924681
09/2013,45721.96790245692
10/2013,45904.73297739523
11/2013,45257.15114088877
12/2013,44192.42352820517
01/2014,45908.993189577464
02/2014,45319.4370208494
03/2014,45268.72866195808
04/2014,45473.721788421295
05/2014,46400.1305676141
06/2014,46567.43265018727
07/2014,47235.93094511623
08/2014,48165.10097294568
09/2014,48655.715686061805
10/2014,48916.34797255319
11/2014,48788.354236642954
12/2014,50106.06153245355
01/2015,53893.00555997135
02/2015,53507.03230858137
03/2015,55453.79149022616
04/2015,53583.18360133882
05/2015,53583.36111017974
06/2015,52649.0137411566
07/2015,53350.47937248652
08/2015,52950.542092276984
09/2015,53616.03259851247
10/2015,54111.15406386768
11/2015,55538.88725624585
12/2015,54498.803787644196
01/2016,55495.96956315075
02/2016,57035.87848139214
03/2016,55514.96300912987
04/2016,56087.843208413135
05/2016,56958.27753310046
06/2016,59284.540755043716
07/2016,59084.9813714333
08/2016,58800.178297769104
09/2016,58589.633089225805
10/2016,58017.11776922667
11/2016,57244.98389600348
12/2016,57124.17926815077
01/2017,56261.31865400963
02/2017,57472.51078366208
03/2017,57151.11130396022
04/2017,56835.94435689532
05/2017,55820.041537068784
06/2017,54828.21088839231
07/2017,53876.55640737884
08/2017,54035.07180232615
09/2017,53683.44651165541
10/2017,54251.59314184731
11/2017,53671.66189693837
12/2017,53321.53556981324
01/2018,52032.98903192595
02/2018,52922.80140508109
03/2018,53219.58632550782
04/2018,53215.996702280194
05/2018,54615.82156022382
06/2018,54404.34936106679
07/2018,53957.08625154581
08/2018,54255.60681397271
09/2018,53719.85554724989
10/2018,54638.02988854416
11/2018,54908.63225493425
12/2018,55804.115049396765
01/2019,56282.59999171625
02/2019,56204.73278016318
03/2019,57799.71874710315
04/2019,57587.122325286924
05/2019,59010.10222536918
06/2019,58894.68203235789
07/2019,60002.03149006838
08/2019,62538.99770619131
09/2019,62336.19385543285
10/2019,61150.52355246471
11/2019,61197.89868978752
12/2019,60154.935633321955
01/2020,62066.22263158829
02/2020,63437.34036531319
03/2020,63564.8212979052
04/2020,64377.42718685961
05/2020,63294.13017709465
06/2020,62959.67393598242
07/2020,61713.41394864472
08/2020,60614.62436170779
09/2020,61782.10987008324
10/2020,62060.58179508774
11/2020,61180.25628331988
12/2020,60471.374727080154
01/2021,60118.02365601153
02/2021,58756.79710936714
03/2021,59535.7895799694
04/2021,58390.594669647544
05/2021,58282.471269883354
06/2021,59351.2945866316
07/2021,60298.57989785511
08/2021,60261.55183135129
09/2021,60284.79941467732
10/2021,59706.681735876235
11/2021,61304.07299437943
12/2021,61048.019408077955
01/2022,60714.93294555229
02/2022,59883.68982948588
03/2022,58269.17793827684
04/2022,57988.24769637571
05/2022,57007.97136444943
06/2022,57045.04507131308
07/2022,59065.559522172014
08/2022,57724.498597585356
09/2022,56286.831100083866
10/2022,54955.23205689873
11/2022,54763.24335290606
12/2022,53181.73215609703
01/2023,53918.81807671943
02/2023,53288.13112901013
03/2023,53984.93564961549
04/2023,53637.037663330986
05/2023,53983.35492451815
06/2023,52951.5709342453
07/2023,52229.42251466327
08/2023,52276.40812824013
09/2023,51894.406648997465
10/2023,51126.18747446061
11/2023,52006.404583539836
12/2023,53646.73414179547
01/2024,53847.63623632694
02/2024,53107.21292773961
03/2024,53412.364588480115
04/2024,52323.01383806805
05/2024,52211.7418888252
06/2024,52943.009151930215
07/2024,53968.042203000405
08/2024,53878.59116575096
09/2024,54214.257208055766
