Date,FTSE Emerging Markets US Dollar Government Bond (EUR Hedged)
03/2017,72369.86863143538
04/2017,73629.10843551144
05/2017,74194.91943250255
06/2017,73962.62147330008
07/2017,74553.97814978137
08/2017,75888.850490501
09/2017,75838.35814637158
10/2017,76024.05275016934
11/2017,75777.12039737724
12/2017,76359.16008902283
01/2018,76163.07027365763
02/2018,74660.21573750247
03/2018,74755.19184602554
04/2018,73736.28601576791
05/2018,72775.05149223816
06/2018,72027.72977979292
07/2018,73829.16096450607
08/2018,72197.10353280528
09/2018,73679.61921086705
10/2018,72182.70874515605
11/2018,71952.33684908973
12/2018,73198.26009224828
01/2019,75934.32954110854
02/2019,76755.95674191214
03/2019,77627.75374038696
04/2019,77765.74833082208
05/2019,78168.80238500067
06/2019,81271.091082512
07/2019,82627.94266045534
08/2019,82379.12110697945
09/2019,82292.85375282804
10/2019,82320.15039880566
11/2019,82132.40071328846
12/2019,84054.53799827668
01/2020,85446.76831487907
02/2020,84471.62743119393
03/2020,73085.61765342845
04/2020,74653.36853697535
05/2020,79412.83642747543
06/2020,81861.48011961866
07/2020,84976.05322938121
08/2020,85252.48475967985
09/2020,83721.73456269612
10/2020,83427.91317049346
11/2020,86940.24135690687
12/2020,88581.3577362768
01/2021,87381.5586366422
02/2021,84823.25836432083
