Date,MSCI Japan IMI
05/2017,12716.630268650946
06/2017,12633.739835084076
07/2017,12557.204718391637
08/2017,12489.292711817368
09/2017,12746.071648295823
10/2017,13498.459288051426
11/2017,13667.146106139777
12/2017,13617.802154850982
01/2018,13703.297918872553
02/2018,13772.95065456422
03/2018,13396.06374997609
04/2018,13742.291544284899
05/2018,14068.589657323488
06/2018,13748.023766458386
07/2018,13678.954660052763
08/2018,13787.350280762104
09/2018,14256.466846691379
10/2018,13322.142763697937
11/2018,13381.671481024057
12/2018,12343.5618325386
01/2019,13039.656140769623
02/2019,13144.25031647524
03/2019,13427.99979732078
04/2019,13622.692139733477
05/2019,13159.11284481413
06/2019,13347.446458656763
07/2019,13667.628497327183
08/2019,13671.166650969824
09/2019,14405.77960625396
10/2019,14759.692133066234
11/2019,15082.25904474525
12/2019,15042.346691459232
01/2020,15028.725615773297
02/2020,13676.995162015959
03/2020,12742.345235947178
04/2020,13542.778223714027
05/2020,14048.625170141146
06/2020,13940.10236731559
07/2020,12941.864445760988
08/2020,13827.117050587898
09/2020,14315.700468004463
10/2020,14076.49982187389
11/2020,15317.840664323816
12/2020,15575.556667860157
01/2021,15597.580925322574
02/2021,15825.937166605278
03/2021,16605.769705693074
04/2021,15879.002849669912
05/2021,15908.458702951437
06/2021,16323.120040885799
07/2021,16131.067533010068
08/2021,16698.298022231716
09/2021,17482.68519407424
10/2021,16791.04766677722
11/2021,16673.283791407266
12/2021,17041.263172542374
01/2022,16415.52196498349
02/2022,16248.11249317078
03/2022,16221.541638916538
04/2022,15618.6429217151
05/2022,15595.504348292225
06/2022,14906.26553148129
07/2022,16029.816852234604
08/2022,15948.957299264355
09/2022,14760.548124934769
10/2022,14855.95152103836
11/2022,15550.929591133467
12/2022,15240.908261527406
01/2023,15871.72019478211
02/2023,15595.95527312687
03/2023,15810.087448932154
04/2023,15725.088681512887
05/2023,16353.064276530717
06/2023,16680.459434976336
07/2023,16971.262155464443
08/2023,16851.904939215987
09/2023,16892.346426892444
10/2023,16106.430079404232
11/2023,16924.60050515397
12/2023,17500.12716308731
01/2024,18524.533460971586
02/2024,19024.480718774103
03/2024,19647.963320243634
04/2024,18859.18354664326
05/2024,18844.25352225655
06/2024,18938.18195843208
07/2024,19899.502983752518
08/2024,19548.704038203818
09/2024,19371.913621620763
10/2024,19078.311341711837
