Date,MSCI Europe ex Controversial Weapons
04/2019,17254.02955567984
05/2019,16404.471980082417
06/2019,17154.144385034448
07/2019,17167.299332917675
08/2019,16909.891222455557
09/2019,17608.762374998427
10/2019,17749.243104931444
11/2019,18295.214014507874
12/2019,18583.437254032197
01/2020,18414.477329280227
02/2020,16821.017205332526
03/2020,14419.246707007924
04/2020,15386.823273990727
05/2020,15711.924565194497
06/2020,16260.3255703279
07/2020,15958.80950410306
08/2020,16487.38413945104
09/2020,16252.098755183419
10/2020,15351.360389970483
11/2020,17537.19350154486
12/2020,17927.2630692516
01/2021,17864.175144369157
02/2021,18323.558582812962
03/2021,19527.597743366125
04/2021,19811.777521379216
05/2021,20436.289266060314
06/2021,20695.972278148663
07/2021,21066.16351419161
08/2021,21487.530620568
09/2021,20914.44050601401
10/2021,21730.860574623362
11/2021,21120.22131055435
12/2021,22586.939722213465
01/2022,21881.742337083735
02/2022,21185.20313690394
03/2022,21350.06326652004
04/2022,21193.20349803181
05/2022,21006.94036079122
06/2022,19511.00829102279
07/2022,20860.089815744894
08/2022,19951.596098093305
09/2022,18687.467133142523
10/2022,19688.61157929238
11/2022,20947.65674754183
12/2022,20380.647022337896
01/2023,21807.166771818815
02/2023,22108.67582846171
03/2023,22099.974936690804
04/2023,22795.66143492855
05/2023,22056.868335561372
06/2023,22724.315447018857
07/2023,23086.494001198847
08/2023,22487.996216716667
09/2023,22152.928296084618
10/2023,21275.77867272647
11/2023,22708.165637167836
12/2023,23585.79375364579
01/2024,24021.235808357855
02/2024,24419.965112002727
03/2024,25367.943243612383
04/2024,25103.479713565754
05/2024,25994.426276532213
06/2024,25759.348347171886
07/2024,26013.539412152164
08/2024,26407.354980329656
09/2024,26251.214960004592
10/2024,25417.37427858523
