Date,S&P 500 Health Care Sector
10/2002,63021.50892248617
11/2002,64314.367429611644
12/2002,58742.892124523474
01/2003,56740.45125537462
02/2003,55892.434030133205
03/2003,57216.23716451852
04/2003,57960.638684157675
05/2003,55601.27340842884
06/2003,60003.338606802856
07/2003,59711.42893694719
08/2003,59583.59549855819
09/2003,56094.70942767043
10/2003,56656.13031638083
11/2003,55814.66036277124
12/2003,56120.35036857668
01/2004,58809.1573315376
02/2004,59171.37468244813
03/2004,57665.37216192701
04/2004,60829.16861787726
05/2004,59494.293758881526
06/2004,59562.70303371545
07/2004,56898.37170010257
08/2004,57571.37223596374
09/2004,55198.95994947866
10/2004,52603.492387716455
11/2004,51279.40085838351
12/2004,52909.00720362506
01/2005,53540.89317316136
02/2005,54291.91462056042
03/2005,55256.698292147456
04/2005,57164.65294310411
05/2005,60687.45668165103
06/2005,61689.682028036055
07/2005,63110.99252468699
08/2005,62394.06959960803
09/2005,62813.57595667665
10/2005,61060.59032223567
11/2005,63043.93848450581
12/2005,65035.54789729228
01/2006,64252.9527619805
02/2006,66234.856704061
03/2006,64181.67042210841
04/2006,60019.69872681809
05/2006,57341.450133037266
06/2006,58058.77440894165
07/2006,60990.88947257469
08/2006,62411.01700571938
09/2006,64258.14441822519
10/2006,64392.81933506994
11/2006,61749.42702219241
12/2006,62642.964313850876
01/2007,65658.10623491045
02/2007,62922.863347009596
03/2007,62585.743309652644
04/2007,65664.48939105865
05/2007,67430.58756032876
06/2007,64796.986079093316
07/2007,61074.51839295802
08/2007,62638.21597651037
09/2007,62363.42758622574
10/2007,62398.07810470467
11/2007,61758.13674196171
12/2007,60050.39192676556
01/2008,56586.31951506381
02/2008,54225.91365020891
03/2008,49467.33936346402
04/2008,51102.96905995379
05/2008,52243.81223113854
06/2008,49003.652971553456
07/2008,51986.91634949591
08/2008,56201.092121014786
09/2008,54275.54317836544
10/2008,53736.43793384962
11/2008,50197.07383083031
12/2008,49031.032797868
01/2009,52580.64883782911
02/2009,46636.568631097085
03/2009,47173.55437178704
04/2009,46942.168482162284
05/2009,47234.80996099582
06/2009,48361.382385376775
07/2009,51202.12534755099
08/2009,51917.5470333123
09/2009,51130.97443339529
10/2009,49461.54778793551
11/2009,53260.94822753136
12/2009,56697.45756660496
01/2010,58770.50681695555
02/2010,60653.46225576019
03/2010,62658.32962541454
04/2010,60999.519568318065
05/2010,61557.95712192359
06/2010,60710.01187845516
07/2010,57953.067944165574
08/2010,58657.71759710645
09/2010,59418.57419798016
10/2010,59768.49964741922
11/2010,61887.33430963992
12/2010,62899.22854860875
01/2011,61692.68442276893
02/2011,62975.46498428905
03/2011,62483.60100916067
04/2011,63629.97344097484
05/2011,67322.49287708684
06/2011,66254.42332238174
07/2011,64554.57085877169
08/2011,62383.891552694906
09/2011,63809.92421495169
10/2011,65081.23871701123
11/2011,68610.7755414363
12/2011,73226.81525122779
01/2012,74140.25073258378
02/2012,73603.92496519082
03/2012,77368.83186558702
04/2012,78030.50829999772
05/2012,80137.34796003235
06/2012,83511.24561217261
07/2012,86497.27154421769
08/2012,85131.01096441032
09/2012,86322.53887371195
10/2012,85640.92593931338
11/2012,86186.0677421955
12/2012,84657.36652869036
01/2013,88596.00438868719
02/2013,92611.1591465726
03/2013,101022.66331561877
04/2013,101827.19102560446
05/2013,104023.32851755439
06/2013,102691.72960575946
07/2013,108558.62564913009
08/2013,105087.01784667457
09/2013,106241.85438738194
10/2013,109716.18310962713
11/2013,115135.87271878493
12/2013,114571.53303418602
01/2014,117995.79824821877
02/2014,122586.76508222922
03/2014,121254.57279079221
04/2014,120112.82148459423
05/2014,125661.93358098465
06/2014,127933.69184653535
07/2014,130789.17457164185
08/2014,139124.72314995146
09/2014,146437.83556573917
10/2014,155005.02058017417
11/2014,160762.01114649582
12/2014,163116.10627781623
01/2015,177326.29929382456
02/2015,186063.08146977535
03/2015,196088.86737602082
04/2015,185595.3128704437
05/2015,198337.60025168883
06/2015,193911.46496732233
07/2015,203384.76438875572
08/2015,183212.79260447604
09/2015,173009.10735365932
10/2015,189567.50495411552
11/2015,196601.69241342184
