Date,AEX
10/2020,16347.73857329334
11/2020,18582.859192682125
12/2020,19152.724772561953
01/2021,19536.05627908367
02/2021,20014.54806341361
03/2021,21512.60001793597
04/2021,21805.65381587732
05/2021,21970.963659734745
06/2021,22604.103351036796
07/2021,23375.848221848002
08/2021,24505.017088992296
09/2021,24022.34024532419
10/2021,25290.11429197764
11/2021,24305.728549079784
12/2021,24947.73658040794
01/2022,23611.905497374373
02/2022,22875.335053857725
03/2022,22709.02876730074
04/2022,22394.651095588746
05/2022,22603.80441822693
06/2022,20906.264635252148
07/2022,23137.000906762856
08/2022,21700.42946680351
09/2022,20437.338700838012
10/2022,21400.799147045043
11/2022,23179.947587114002
12/2022,22056.657731897125
01/2023,23854.937871797683
02/2023,24174.297757007484
03/2023,24286.89578205805
04/2023,24488.874717259383
05/2023,24287.692936217703
06/2023,25120.918321591915
07/2023,25717.089988740197
08/2023,24309.216098528253
09/2023,23828.432495989317
10/2023,23501.898223342665
11/2023,25109.658519086857
12/2023,25824.307223213127
01/2024,26854.628974560816
02/2024,27930.388513008562
03/2024,29034.845601203702
04/2024,29073.50757794673
05/2024,30087.78660183146
06/2024,30768.954831252428
07/2024,30681.168229420964
08/2024,30792.4708789621
09/2024,30513.566567354545
