Date,S&P MidCap 400
11/2018,223583.4899440221
12/2018,196707.0164606708
01/2019,216565.19260785237
02/2019,227169.89814003106
03/2019,229515.81841982552
04/2019,239106.24138273057
05/2019,221368.81426292064
06/2019,233491.59663786978
07/2019,241119.5249154762
08/2019,233412.88358174733
09/2019,243809.67065189587
10/2019,240706.84653155156
11/2019,251750.07539634546
12/2019,253017.26392514736
01/2020,250467.77983277256
02/2020,228242.43906023583
03/2020,182382.073543755
04/2020,209779.8826906141
05/2020,219868.564660743
06/2020,221398.38001255
07/2020,218901.77832004306
08/2020,224845.88678194844
09/2020,221857.1098328051
10/2020,226873.2188501034
11/2020,253158.52232713532
12/2020,263274.6105061109
01/2021,270207.3273881244
02/2021,288942.176464654
03/2021,312649.1800306404
04/2021,317071.08033632115
05/2021,314595.90151972376
06/2021,319679.3297351177
07/2021,320593.893444842
08/2021,328414.7292577847
09/2021,322319.70291734894
10/2021,339357.10521273816
11/2021,337565.1441523814
12/2021,355866.4289204583
01/2022,335241.8076465438
02/2022,337674.8749613012
03/2022,345372.4831150673
04/2022,337902.16614466475
05/2022,334933.2478829469
06/2022,312212.4689665198
07/2022,352501.6662503403
08/2022,348329.3607760212
09/2022,324480.6508642565
10/2022,352609.3345383088
11/2022,357522.26141448575
12/2022,328532.83860304893
01/2023,353319.6806261818
02/2023,353906.8653996069
03/2023,334484.4737967535
04/2023,328661.1475456356
05/2023,327052.5661866471
06/2023,351000.32725568477
07/2023,360276.1575733296
08/2023,354846.52494777663
09/2023,344887.27111767145
10/2023,325710.50667693355
11/2023,343332.18084414804
12/2023,369240.92800719576
01/2024,370054.5488928313
02/2024,392432.07974877785
03/2024,414968.7856575816
04/2024,393372.9036511588
05/2024,405567.86742833763
06/2024,404639.1024384796
07/2024,423266.27780309913
08/2024,413054.50305947626
09/2024,413760.9955000218
