Date,MSCI World Small Cap
05/2010,14518.431136751442
06/2010,13882.277442751203
07/2010,14090.989752840036
08/2010,13811.467271293373
09/2010,14308.960104044549
10/2010,14650.221223930144
11/2010,15697.802738882905
12/2010,16703.456892680737
01/2011,16447.736013730646
02/2011,16937.87118693075
03/2011,16687.63035827409
04/2011,16558.829845222073
05/2011,16753.786722280154
06/2011,16311.78796789594
07/2011,16147.763884992988
08/2011,14620.247820069202
09/2011,13889.278493668075
10/2011,14978.983108349406
11/2011,15254.014234610224
12/2011,15686.393307056187
01/2012,16567.29261536126
02/2012,16976.589377371125
03/2012,17249.223869421985
04/2012,17310.29979567126
05/2012,16796.564057082964
06/2012,17143.889714058776
07/2012,17545.42437316835
08/2012,17651.38799460788
09/2012,17818.175444702243
10/2012,17629.01108289079
11/2012,17811.20021561682
12/2012,18082.75898135516
01/2013,18634.10372693727
02/2013,19388.830413588243
03/2013,20563.286997266696
04/2013,20389.99410954713
05/2013,20702.94533292327
06/2013,20141.554625382265
07/2013,21122.805612052733
08/2013,20778.79969777106
09/2013,21770.461680858945
10/2013,22216.992082691882
11/2013,22669.580559841303
12/2013,22901.797150315422
01/2014,22932.666802308373
02/2014,23619.32751755593
03/2014,23555.187735712214
04/2014,23058.12592057762
05/2014,23731.88722716249
06/2014,24569.069702738325
07/2014,24070.175947380223
08/2014,25170.420116772824
09/2014,24900.98752284829
10/2014,25442.90430373683
11/2014,25638.357285908834
12/2014,26507.485586030805
01/2015,27953.43816895179
02/2015,29847.774332740217
03/2015,31243.057486755275
04/2015,30251.330762371825
05/2015,31373.03318140383
06/2015,30478.303378317993
07/2015,30959.509118263883
08/2015,28670.02006241641
09/2015,27476.37012407391
10/2015,29543.733956612512
11/2015,31111.27937423197
12/2015,29469.25208964821
01/2016,27097.148443223443
02/2016,27363.947097722266
03/2016,28369.91111111111
04/2016,28990.831974041914
05/2016,29992.8163439125
06/2016,29561.436858223744
07/2016,31160.069558175113
08/2016,31151.521739130436
09/2016,31535.037675835494
10/2016,30970.025488763018
11/2016,33210.66929948285
12/2016,34305.62209467793
01/2017,34396.31534170154
02/2017,35651.488015476076
03/2017,35598.34851744458
04/2017,35520.49666056725
05/2017,34818.57860262009
06/2017,34768.26458990537
07/2017,34601.55538500895
08/2017,34294.25619450317
09/2017,35704.528714213106
10/2017,36745.39542876783
11/2017,36879.651700565446
12/2017,36984.7564412574
01/2018,36867.505057397444
02/2018,36096.833019485835
03/2018,35801.480277574876
04/2018,36853.7778789635
05/2018,39065.967561330035
06/2018,39073.49725510379
07/2018,39285.71634287662
08/2018,40441.64960089263
09/2018,40120.98004492053
10/2018,36969.00013253225
11/2018,37070.91029139889
12/2018,33371.14318777293
01/2019,36686.307059540384
02/2019,38302.83921688858
03/2019,38674.843168669344
04/2019,39942.15626671421
05/2019,37552.02936956327
06/2019,38935.783128295254
07/2019,39963.685768092546
08/2019,39002.58707865169
09/2019,40342.28937459822
10/2019,40471.57777478932
11/2019,42436.71412311054
12/2019,42920.7827131921
01/2020,42416.554560260585
02/2020,38779.98829370502
03/2020,30780.81430266521
04/2020,35173.43044317764
05/2020,36780.235138290234
06/2020,37517.97937131631
07/2020,36846.95180621201
08/2020,38648.091499162474
09/2020,38559.48129484113
10/2020,38586.23935715507
11/2020,43471.282303839726
12/2020,45565.91239507783
01/2021,47025.44277356625
02/2021,49433.800882765456
03/2021,52182.83680170576
04/2021,52606.366619764936
05/2021,52533.706991230225
06/2021,54047.37685122855
07/2021,53648.55617694053
08/2021,55217.241296265
09/2021,54678.58761551084
10/2021,56331.24744525547
11/2021,54927.014564815625
12/2021,57144.74408440756
01/2022,53632.86563284332
02/2022,53541.679569604436
03/2022,54514.005945410325
04/2022,52934.414658444024
05/2022,51970.50522729396
06/2022,48251.53571772409
07/2022,53623.370072563244
08/2022,52903.7636
09/2022,48702.33945424702
10/2022,51738.01502925157
11/2022,52478.549922898994
12/2022,49300.273392086994
01/2023,53039.358949506146
02/2023,53005.3773895847
03/2023,50426.85388505747
04/2023,49888.05290957108
05/2023,49853.12927080408
06/2023,52091.90079145959
07/2023,53869.559829447506
08/2023,52555.44138755981
09/2023,51085.71479139136
10/2023,47838.33779075243
11/2023,50799.54555850334
12/2023,55086.69470588235
01/2024,54614.60574882347
02/2024,56493.88158137817
03/2024,58775.56484136528
04/2024,56224.40767867139
05/2024,58057.72949686694
06/2024,57710.29668379262
07/2024,60963.39009974142
08/2024,59832.56836835934
09/2024,60358.91537156128
10/2024,60430.51102738467
