Date,MSCI China
05/2004,2912.4608952287263
06/2004,2904.8499218428633
07/2004,2943.732369798156
08/2004,2938.286153083973
09/2004,3080.288016762028
10/2004,2927.823066656198
11/2004,3087.276961263633
12/2004,2959.6156523015934
01/2005,3025.373993095512
02/2005,3195.0501018329937
03/2005,3098.916877506942
04/2005,3113.2905765223427
05/2005,3303.1464114832525
06/2005,3509.0151505127355
07/2005,3763.265095509799
08/2005,3751.3591736350218
09/2005,4023.4171400099654
10/2005,3635.040339349581
11/2005,3974.934692837114
12/2005,4092.7125540391626
01/2006,4545.010100676679
02/2006,4784.083098947368
03/2006,4843.519431592862
04/2006,4921.267193108399
05/2006,4547.4887783649365
06/2006,4698.206906316369
07/2006,4802.471810135506
08/2006,4875.151412341452
09/2006,5132.816398104265
10/2006,5471.413705103969
11/2006,5837.709454545454
12/2006,6704.177312072893
01/2007,6527.056137100508
02/2007,6287.6094163954285
03/2007,6477.510256795314
04/2007,6579.48507166483
05/2007,7155.123139820114
06/2007,7949.685627545355
07/2007,8643.160253884877
08/2007,9267.219292229114
09/2007,10743.457733267509
10/2007,12293.89891326919
11/2007,10406.192209199919
12/2007,9970.465457509681
01/2008,7742.442528581036
02/2008,8409.077180721302
03/2008,7083.854161396407
04/2008,8332.948030888032
05/2008,7936.2534691772
06/2008,6859.616315655925
07/2008,7086.459060918583
08/2008,6893.391245334237
09/2008,5653.683087464169
10/2008,4897.205549894175
11/2008,5132.139294413451
12/2008,5186.07001508946
01/2009,5163.977808988764
02/2009,5068.175514077824
03/2009,5495.629756537421
04/2009,6121.134372881355
05/2009,6765.986863384878
06/2009,7027.460563180983
07/2009,7786.624218418446
08/2009,7171.286939461883
09/2009,7316.40352386806
10/2009,7705.248162162164
11/2009,7777.321014444518
12/2009,8147.862890462306
01/2010,7678.772246885292
02/2010,8076.1717317612365
03/2010,8571.091030491874
04/2010,8647.763184378522
05/2010,8854.620394897214
06/2010,8993.418629288566
07/2010,8840.92787841572
08/2010,8833.588485804414
09/2010,8953.745486518172
10/2010,9161.994111279499
11/2010,9535.139806124018
12/2010,9209.093848226314
01/2011,8940.423575810693
02/2011,8689.107618909933
03/2011,8911.201435911873
04/2011,8657.985545087484
05/2011,8976.386986444213
06/2011,8606.642191932471
07/2011,8651.376942496494
08/2011,7742.046560553633
09/2011,6891.871939568984
10/2011,7654.539875723163
11/2011,7316.150573856012
12/2011,7775.265105495016
01/2012,8461.99353369763
02/2012,8834.43445659451
03/2012,8279.587690925428
04/2012,8665.924050249736
05/2012,8264.192759816175
06/2012,8321.472057188246
07/2012,8651.134093129274
08/2012,8162.714201887241
09/2012,8485.680185614849
10/2012,8927.017409374279
11/2012,9098.840967195441
12/2012,9386.554070031834
01/2013,9516.852841328415
02/2013,9435.758488841497
03/2013,9232.671425224522
04/2013,9146.87552019584
05/2013,9115.289312624942
06/2013,8447.578899082568
07/2013,8661.98436158192
08/2013,8898.959455987913
09/2013,9183.77087004813
10/2013,9320.584649219267
11/2013,9795.159003746969
12/2013,9335.742005655862
01/2014,8887.592246226695
02/2014,8924.804141026569
03/2014,8790.149869451698
04/2014,8551.329877256318
05/2014,9114.291555816857
06/2014,9379.548542978475
07/2014,10356.544883773076
08/2014,10530.178070973612
09/2014,10336.219502503376
10/2014,10832.513829447462
11/2014,11038.365200672915
12/2014,11480.759476155177
01/2015,12608.824484741264
02/2015,13092.635978647684
03/2015,14007.18765684543
04/2015,15678.627980383413
05/2015,15437.368824065634
06/2015,14305.919742604343
07/2015,13026.304732378952
08/2015,11249.970468123049
09/2015,11048.440060698025
10/2015,12255.096559862031
11/2015,12332.120502883068
12/2015,11827.095618627722
01/2016,10291.645934065933
02/2016,10060.9994856723
03/2016,10766.954413702239
04/2016,10728.69287029729
05/2016,10887.11597633136
06/2016,11072.728265177444
07/2016,11449.304634212185
08/2016,12272.19712540424
09/2016,12552.131708628258
10/2016,12550.922674949754
11/2016,12763.460084626236
12/2016,12350.403870600512
01/2017,12926.2379916318
02/2017,13583.164744739073
03/2017,13751.308465064072
04/2017,13809.325306495884
05/2017,14162.362142411548
06/2017,14255.336698212406
07/2017,15113.315323612174
08/2017,15624.292769556027
09/2017,15813.964594274097
10/2017,16679.875545626397
11/2017,16638.246501814498
12/2017,16753.21270741266
01/2018,18143.448117524284
02/2018,17319.381889634842
03/2018,16603.844558071585
04/2018,16932.913883599635
05/2018,17808.954132831866
06/2018,16944.0578486876
07/2018,16422.8390593047
08/2018,15916.2472234143
09/2018,15797.492156185212
10/2018,14304.64675737763
11/2018,15297.647433752974
12/2018,14257.622462882095
01/2019,15782.054038997218
02/2019,16429.747231955153
03/2019,17101.220400534046
04/2019,17509.059975040116
05/2019,15315.051493139628
06/2019,16221.344499121265
07/2019,16471.25821899381
08/2019,15947.61562160203
09/2019,16160.974708421343
10/2019,16413.919311457772
11/2019,16968.296011655435
12/2019,17969.905999643936
01/2020,17388.525841476658
02/2020,17677.522055206344
03/2020,16543.654107338447
04/2020,17717.918904008828
05/2020,17222.699461206896
06/2020,18673.78724772281
07/2020,19325.924442943957
08/2020,20266.66231155779
09/2020,20104.817014007516
10/2020,21186.600512908193
11/2020,21261.767378964945
12/2020,21332.046190204546
01/2021,23157.53770599868
02/2021,22946.227241976736
03/2021,22230.452776119404
04/2021,21874.23257738785
05/2021,21830.328596016723
