Date,TOPIX
06/2021,31545.788607222334
07/2021,31104.668826560326
08/2021,32198.782753768315
09/2021,33673.960507630545
10/2021,32458.644673917213
11/2021,32366.387451077502
12/2021,32923.10232124112
01/2022,31719.419972381336
02/2022,31454.876593643407
03/2022,31384.637050170008
04/2022,30220.32599964127
05/2022,30379.717837939108
06/2022,28877.8567932158
07/2022,31077.36831710931
08/2022,30931.076138164663
09/2022,28757.07885109081
10/2022,28912.324210529514
11/2022,30409.414564795625
12/2022,29767.962822578207
01/2023,30950.96716741826
02/2023,30391.873692045927
03/2023,30994.31968547124
04/2023,30867.28848894203
05/2023,32030.754473955963
06/2023,32688.54509466397
07/2023,33267.53289886273
08/2023,33040.453568259254
09/2023,33290.61989635779
10/2023,31851.479573070093
11/2023,33392.809849096346
12/2023,34353.026549648515
01/2024,36144.21404624188
02/2024,37378.70821457466
03/2024,38816.99884651471
04/2024,37360.64894448238
05/2024,37294.29178753304
06/2024,37523.47676414049
07/2024,39425.5261989706
08/2024,38656.47122826699
09/2024,38390.738274355535
