Date,MSCI USA Quality (EUR Hedged)
02/2010,45122.6791853208
03/2010,47352.23215094887
04/2010,47775.159655132826
05/2010,43817.04156169001
06/2010,42097.478747892914
07/2010,44643.13981379106
08/2010,43081.99355941829
09/2010,47414.94625799786
10/2010,49535.202672901825
11/2010,49444.51493236181
12/2010,51647.96722916025
01/2011,52302.53816920725
02/2011,53740.49168343272
03/2011,53739.64582842435
04/2011,56145.80123615667
05/2011,56025.810661398194
06/2011,55691.33542380357
07/2011,55506.27443161564
08/2011,53228.99107622966
09/2011,50707.73896914442
10/2011,55234.51330107001
11/2011,55481.26129065391
12/2011,55636.173593615
01/2012,58554.494208914104
02/2012,60873.586968999414
03/2012,63037.04240754503
04/2012,62808.05737313685
05/2012,59185.98539087564
06/2012,60899.627219614165
07/2012,61532.205929443604
08/2012,63210.32184783068
09/2012,64472.39793853051
10/2012,62122.6731434993
11/2012,62743.59113785624
12/2012,63015.71477769117
01/2013,66206.40070568475
02/2013,67135.27034130249
03/2013,69290.08597511977
04/2013,70756.73814141487
05/2013,72704.13804353736
06/2013,70757.16106891906
07/2013,73819.69996314487
08/2013,72327.79298302853
09/2013,75011.75134279483
10/2013,78562.1069039894
11/2013,81698.59769323256
12/2013,83659.6521119187
01/2014,80192.67368726322
02/2014,84025.24273017829
03/2014,83589.80865551347
04/2014,84361.71176886407
05/2014,86118.79429410379
06/2014,86615.73411151994
07/2014,85906.42426878856
08/2014,89710.71758713816
09/2014,88766.38088851026
10/2014,91307.87309758144
11/2014,93414.47499592177
12/2014,93069.42657072254
01/2015,91468.8272220309
02/2015,96917.03974914357
03/2015,95375.46899639303
04/2015,95652.244838774
05/2015,96959.5741724215
06/2015,95017.79316428315
07/2015,97797.75606749923
08/2015,92458.47758182137
09/2015,91716.72315769758
10/2015,100192.4320144037
11/2015,100368.85320186328
12/2015,99089.37666527704
01/2016,94465.26858917426
02/2016,94304.49571936947
03/2016,100166.2105091443
04/2016,98780.03540507393
05/2016,100064.40581706572
06/2016,99387.29888286721
07/2016,104095.87162337701
08/2016,104065.54167950554
09/2016,104579.21734244439
10/2016,102406.39708059185
11/2016,104873.69572178621
12/2016,106369.52988586998
01/2017,108229.62546748594
02/2017,113305.78262734649
03/2017,114077.14197676315
04/2017,116079.82454550397
05/2017,118322.06533625757
06/2017,117157.62508080936
07/2017,118964.97556083207
08/2017,120074.19356787684
09/2017,122558.10721816412
10/2017,127695.22635684206
11/2017,131897.49445662877
12/2017,133296.90114975863
01/2018,141201.71829403128
02/2018,137585.74855147328
03/2018,134801.31470035587
04/2018,132767.0938234459
05/2018,137435.36761462846
06/2018,138125.82697431618
07/2018,143055.3491266547
08/2018,148896.03837765005
09/2018,149909.2518412451
10/2018,139287.24631902028
11/2018,140844.34455299584
12/2018,129135.35492680332
01/2019,139493.0307589132
02/2019,145990.58684212115
03/2019,150719.58093926156
04/2019,157439.53647145542
05/2019,146695.18406409165
06/2019,156816.86634886684
07/2019,160857.39488741066
08/2019,158496.73439548558
09/2019,160575.78558783903
10/2019,165395.46742551945
11/2019,172510.25599197645
12/2019,178778.10202219768
01/2020,179788.23415683358
02/2020,166216.0072018512
03/2020,151734.8486221626
04/2020,169512.18333303125
05/2020,179444.03158664273
06/2020,181474.86904351923
07/2020,189736.8786741827
08/2020,204997.37180765255
09/2020,198994.58048612496
10/2020,191149.45653815713
11/2020,211724.2150163431
12/2020,218692.48941170782
01/2021,213209.71766568185
02/2021,218045.47074852127
03/2021,226842.00032625836
04/2021,237336.8859243685
05/2021,239384.3383903379
06/2021,250930.62176384937
07/2021,259760.13968691285
08/2021,267721.93120782054
09/2021,250518.5091201295
10/2021,267881.7373861872
11/2021,267489.68358980864
12/2021,278054.0501350347
01/2022,257255.56300713538
02/2022,243949.53870692936
03/2022,253264.21489550668
04/2022,230681.75913674454
05/2022,229453.2755735199
06/2022,212057.90481714427
07/2022,230562.7956716391
08/2022,216967.2472857117
09/2022,196203.37979494059
10/2022,210150.9247007788
11/2022,226036.62552186233
12/2022,214172.24024698965
01/2023,226285.06522146295
02/2023,221677.81382731264
03/2023,236337.93115948595
04/2023,241122.02666860004
05/2023,248598.90159685342
06/2023,263690.3445650795
07/2023,273169.4791345695
08/2023,272952.1548156338
09/2023,259728.54096052877
10/2023,255735.01779316427
11/2023,277256.04635285446
12/2023,290637.8955127392
01/2024,299726.48674122273
02/2024,320447.5177176415
03/2024,327875.09138255
04/2024,313494.71038528695
05/2024,331721.9795423924
06/2024,345218.62331055565
07/2024,346165.316319564
08/2024,358461.51057620853
09/2024,361791.82299879764
10/2024,355390.69438654365
