Date,FTSE 100
07/2010,8228.666839545242
08/2010,8319.80884123327
09/2010,8487.705796401904
10/2010,8606.878785821911
11/2010,8721.279152182788
12/2010,9065.298808796315
01/2011,9013.60886905031
02/2011,9338.994087968285
03/2011,8927.393983025335
04/2011,9110.051173319656
05/2011,9226.629934516106
06/2011,8878.991887108894
07/2011,8965.286579671476
08/2011,8270.087084358696
09/2011,8050.2557975090185
10/2011,8646.107544495311
11/2011,8807.534051921895
12/2011,9136.7094581954
01/2012,9325.943952905509
02/2012,9589.795610349507
03/2012,9576.319640074771
04/2012,9795.495451068813
05/2012,9281.066778364298
06/2012,9665.520045034278
07/2012,10069.166357778699
08/2012,10132.142619045408
09/2012,10169.443131193448
10/2012,10151.715127747277
11/2012,10289.217575643252
12/2012,10281.65594692589
01/2013,10429.280998189766
02/2013,10541.25258627285
03/2013,10899.68657493676
04/2013,10977.572558445447
05/2013,11165.440620658517
06/2013,10534.26006053533
07/2013,11020.111498182272
08/2013,10996.24395127827
09/2013,11330.883734434969
10/2013,11625.317445703604
11/2013,11770.164244586498
12/2013,11941.407992309956
01/2014,11701.638771600112
02/2014,12217.827439425648
03/2014,11868.278806571256
04/2014,12311.80780812834
05/2014,12632.23209016518
06/2014,12655.37248143586
07/2014,12779.361114436031
08/2014,13000.790007113139
09/2014,12932.440672966275
10/2014,12690.316595398015
11/2014,12900.188336428973
12/2014,12873.408156606154
01/2015,13735.783993503614
02/2015,14646.318863272725
03/2015,14369.365724647274
04/2015,14834.329188985792
05/2015,15101.315338821036
06/2015,14284.798279002178
07/2015,14831.225796270872
08/2015,13497.740272106712
09/2015,12916.778601375596
10/2015,13969.045525645937
11/2015,14280.699735935343
12/2015,13478.639546305998
01/2016,12624.983892849368
02/2016,12376.961254175974
03/2016,12505.586098627484
04/2016,12866.91986120569
05/2016,13217.886488726606
06/2016,12758.886812480467
07/2016,12923.860270584215
08/2016,13076.6294127669
09/2016,13111.28098005049
10/2016,12665.828682612564
11/2016,13110.023940534027
12/2016,13754.519723079766
01/2017,13598.767305099773
02/2017,14150.112594134433
03/2017,14266.248535292423
04/2017,14256.065885965316
05/2017,14461.65758887283
06/2017,14017.033867292444
07/2017,13902.414961098495
08/2017,13737.239731851752
09/2017,14231.804043515584
10/2017,14543.782846026306
11/2017,14262.07273330143
12/2017,14854.653413392902
01/2018,14698.04126350064
02/2018,14117.314220372033
03/2018,13975.811687445468
04/2018,14851.1730613277
05/2018,15315.104614523787
06/2018,15119.783245059187
07/2018,15243.144224416314
08/2018,14655.912098465757
09/2018,14998.16207816629
10/2018,14246.932635683781
11/2018,13987.928178626256
12/2018,13440.988329929642
01/2019,14227.322920667271
02/2019,14847.865049936974
03/2019,15336.177796718666
04/2019,15616.113571354277
05/2019,14749.70192820093
06/2019,15169.822082066965
07/2019,15175.397162811096
08/2019,14726.905338542172
09/2019,15504.395484437893
10/2019,15646.043204969796
11/2019,16097.80785030449
12/2019,16573.563552787487
01/2020,16189.60069542874
02/2020,14536.531441113511
03/2020,12113.447493787879
04/2020,12837.415172141144
05/2020,12797.017041404051
06/2020,12844.339576346989
07/2020,12467.55829963893
08/2020,12748.950637807739
09/2020,12327.980138157653
10/2020,11876.17288063007
11/2020,13436.828695590106
12/2020,13868.95090711895
01/2021,13996.153923781787
02/2021,14434.172713425092
03/2021,15358.46836378918
04/2021,15682.862254880933
05/2021,16008.382226377948
06/2021,16111.623981691133
07/2021,16248.142491195407
08/2021,16439.790251499904
09/2021,16378.822170311989
10/2021,17050.321779084163
11/2021,16545.848048754728
12/2021,17568.480022058604
01/2022,17952.315539194533
02/2022,17922.583304663538
03/2022,17950.91957544314
04/2022,18234.229445602217
05/2022,18173.49030652781
06/2022,17030.801463138214
07/2022,18040.08448788721
08/2022,17424.945667858563
09/2022,16101.128435529767
10/2022,17003.499289831325
11/2022,18135.42353325291
12/2022,17421.409535109986
01/2023,18306.70488666602
02/2023,18707.03859754882
03/2023,18197.171974116212
04/2023,18789.83645854603
05/2023,18203.37998502554
06/2023,18580.967055965004
07/2023,19031.482053594962
08/2023,18565.836259371805
09/2023,18849.124366639862
10/2023,17964.52110112533
11/2023,18587.54108612943
12/2023,19184.457028767632
01/2024,19266.443756341836
02/2024,19303.662022934426
03/2024,20273.42902294883
04/2024,20832.486244063446
05/2024,21291.992262217882
06/2024,21247.228704373032
07/2024,21851.44554098506
08/2024,22108.370472100378
09/2024,21918.22297837388
