Date,BNP Paribas Equity Value US
01/2008,20254.8769728458
02/2008,19350.063719243208
03/2008,18319.77257131654
04/2008,19277.5218115871
05/2008,20180.374473090873
06/2008,18597.196353298696
07/2008,18421.723360454853
08/2008,19094.206450348003
09/2008,17383.58984413293
10/2008,13894.716204293696
11/2008,13396.72581119498
12/2008,13804.52896774826
01/2009,12729.144201548866
02/2009,11106.754239780414
03/2009,12013.528085481816
04/2009,13228.11489069699
05/2009,14026.075874914226
06/2009,14243.70159788256
07/2009,15390.647975688657
08/2009,16094.500539162826
09/2009,16865.993530046075
10/2009,16380.746985589647
11/2009,17415.939613763356
12/2009,18019.80198019802
01/2010,17594.353494755414
02/2010,18244.289775512207
03/2010,18911.871385158316
04/2010,18966.767963925104
05/2010,17683.560435251442
06/2010,16525.830800901873
07/2010,17644.34859327517
08/2010,16846.387609057936
09/2010,18786.393490834227
10/2010,19130.47740417606
11/2010,19115.772963434956
12/2010,20322.517400254877
01/2011,20826.389569650033
02/2011,21563.57219880404
03/2011,22154.69071659641
04/2011,22801.68610920498
05/2011,22814.429957847267
06/2011,22444.85834722086
07/2011,21276.34545632781
08/2011,20027.448289383392
09/2011,18146.260170571513
10/2011,20591.118517792373
11/2011,20419.566709146162
12/2011,20408.783452602685
01/2012,21521.41946867954
02/2012,22315.459268699145
03/2012,22537.00617586511
04/2012,22408.587393392805
05/2012,20807.763944711303
06/2012,21598.862856582688
07/2012,21193.02029212822
08/2012,21681.207724732867
09/2012,21947.84825017155
10/2012,21615.527889422603
11/2012,21568.473679051072
12/2012,22149.789236349377
01/2013,24161.35672973238
02/2013,24211.351828252133
03/2013,25474.953435937652
04/2013,26315.067150279385
05/2013,27371.82629154005
06/2013,27499.264777962944
07/2013,29467.69924517204
08/2013,28698.16684638761
09/2013,29610.82246838545
10/2013,31293.990785217135
11/2013,32576.218017841387
12/2013,33209.48926575826
01/2014,32719.341241054797
02/2014,34225.07597294383
03/2014,35160.27840407803
04/2014,35257.327712969316
05/2014,36042.54484854426
06/2014,36759.14126066072
07/2014,36627.78159004019
08/2014,38531.51651798843
09/2014,36696.40231349867
10/2014,38067.83648661896
11/2014,38664.836780707774
12/2014,38743.26046466033
01/2015,37396.33369277522
02/2015,39888.24625036761
03/2015,39375.55141652779
04/2015,39702.9702970297
05/2015,40115.67493383002
06/2015,38747.18164885795
07/2015,37804.1368493285
08/2015,36384.66816978728
09/2015,34455.44554455445
10/2015,36525.83080090187
11/2015,35522.00764630918
12/2015,34451.52436035682
01/2016,32202.72522301735
02/2016,33613.37123811391
03/2016,36086.65817076757
04/2016,35160.27840407803
05/2016,35639.643172238015
06/2016,35243.60356827762
07/2016,37074.79658856975
08/2016,37345.358298206054
09/2016,37520.83129104989
10/2016,37122.83109499069
11/2016,39246.152338006075
12/2016,39976.47289481423
01/2017,40758.74914224095
02/2017,42278.20801882168
03/2017,41821.390059798054
04/2017,41523.380060778356
05/2017,40459.75884717184
06/2017,40964.611312616405
07/2017,41999.803940790116
08/2017,41793.94177041466
09/2017,42991.86354278992
10/2017,42576.218017841384
11/2017,43744.73090873443
12/2017,44765.21909616704
01/2018,46333.692775218115
02/2018,44211.35182825213
03/2018,43727.08557984511
04/2018,43709.440250955784
05/2018,44746.593471228305
06/2018,45259.28830506813
07/2018,46520.92932065483
08/2018,47525.73277129693
09/2018,47333.594745613176
10/2018,43439.85883736888
11/2018,44043.72120380354
12/2018,39146.16214096657
01/2019,43652.58308009018
02/2019,44333.888834428
03/2019,44385.84452504656
04/2019,45487.69728457994
05/2019,41081.26654249583
06/2019,45046.56406234683
07/2019,45552.3968238408
08/2019,43429.07558082541
09/2019,45855.30830310754
10/2019,47152.23997647289
11/2019,49317.71394961278
12/2019,49848.054112341924
01/2020,48150.181354769134
02/2020,43370.25781786099
03/2020,34112.34192726203
04/2020,37548.279580433285
05/2020,38843.25066169983
06/2020,39033.42809528478
07/2020,40219.58631506714
08/2020,41885.10930300951
09/2020,40574.45348495246
10/2020,39753.945691598856
11/2020,44399.568669738255
12/2020,46306.24448583472
01/2021,46908.14626017057
02/2021,47402.215469071656
03/2021,50331.34006469953
04/2021,52525.242623272214
05/2021,53889.81472404666
06/2021,55193.60846975786
07/2021,55314.18488383492
08/2021,56210.17547299284
09/2021,53112.43995686697
10/2021,53552.59288305068
11/2021,54642.682089991176
12/2021,58728.55602391922
01/2022,55595.529850014704
02/2022,55176.94343691794
03/2022,56377.806097441426
04/2022,51538.08450151946
05/2022,52813.44966179786
06/2022,47803.156553279085
07/2022,51271.44397608077
08/2022,48394.27507107146
09/2022,43579.06087638467
10/2022,47768.84619154985
11/2022,51105.773943731
12/2022,48414.86128810901
01/2023,51994.90246054308
02/2023,49788.2560533281
03/2023,49688.2658562886
04/2023,48602.097833545726
05/2023,48656.99441231252
06/2023,51833.15361239094
07/2023,53455.54357415939
08/2023,51697.87275757278
09/2023,50140.18233506519
10/2023,48206.05822958533
11/2023,52091.95176943437
12/2023,56086.65817076757
01/2024,56269.97353200666
02/2024,57546.318988334475
03/2024,60639.15302421331
04/2024,57635.52592883051
05/2024,59712.77325752377
06/2024,60489.16772865405
07/2024,62511.51847858052
