Date,FTSE Global Core Infrastructure
12/2018,16076.648992013967
01/2019,17299.84416061102
02/2019,17923.83569900517
03/2019,18691.52628604148
04/2019,18894.132536050787
05/2019,18830.238021792386
06/2019,19065.257019281067
07/2019,19428.089666984964
08/2019,19819.376863098267
09/2019,20450.42675808334
10/2019,20066.80818545658
11/2019,20205.604140022737
12/2019,20527.939911241523
01/2020,21502.046956127724
02/2020,19773.626763691707
03/2020,17251.677585881906
04/2020,18575.174432065767
05/2020,18936.734781734394
06/2020,18338.056128320364
07/2020,17957.465378852772
08/2020,17942.266519696073
09/2020,18137.57217241711
10/2020,17997.328210708234
11/2020,18742.02862633468
12/2020,18521.232434587226
01/2021,18464.644998817483
02/2021,18318.469735701987
03/2021,20398.01476114846
04/2021,20416.03665711422
05/2021,20317.864351587858
06/2021,20650.626227330755
07/2021,20932.508401331004
08/2021,21438.748530331002
09/2021,20901.87575724083
10/2021,22032.49115660149
11/2021,21842.589185314628
12/2021,23469.89058923885
01/2022,23032.771508322436
02/2022,22749.798099976684
03/2022,24757.89965806677
04/2022,24802.5446220192
05/2022,24825.108416892625
06/2022,24125.080605059775
07/2022,26034.811925348757
08/2022,25999.300237096584
09/2022,23512.115550727376
10/2022,23809.52481484904
11/2022,24507.215439579748
12/2022,23299.386136872858
01/2023,23258.55657787514
02/2023,22507.965144908245
03/2023,22567.151007336706
04/2023,22738.469375206143
05/2023,22155.68060118204
06/2023,22547.526869508503
07/2023,22694.539217979178
08/2023,21766.888534839283
09/2023,21247.712135022153
10/2023,21046.402302240465
11/2023,22004.144163743753
12/2023,22644.102079338423
01/2024,22560.07228314458
02/2024,22746.620232209334
03/2024,23511.400022861264
04/2024,23216.576349125382
05/2024,24006.502212878957
06/2024,23655.781735790446
07/2024,25081.415490627158
08/2024,25433.30008912855
09/2024,25800.63858385691
