Date,MSCI Pacific ex-Japan
01/1993,69245.0803047901
02/1993,76402.58364261332
03/1993,78056.99165495562
04/1993,79237.63154493611
05/1993,82451.48936085818
06/1993,82258.9851380677
07/1993,88751.3115495343
08/1993,96162.11811571523
09/1993,94098.47358167257
10/1993,110573.01427743521
11/1993,110126.75567048289
12/1993,132908.35504318017
01/1994,130985.33895341046
02/1994,124103.001339011
03/1994,108604.85230362664
04/1994,113948.14724100003
05/1994,115151.47305394078
06/1994,108232.9759978512
07/1994,110395.60732895897
08/1994,117919.58733960417
09/1994,113563.80176656942
10/1994,113159.84560734095
11/1994,105607.57907793936
12/1994,106072.00863796253
01/1995,94905.64765190585
02/1995,102603.14387464206
03/1995,99626.4653000089
04/1995,98986.34500167893
05/1995,107307.9052071334
06/1995,104370.73097850248
07/1995,107386.0486942578
08/1995,107677.9860280817
09/1995,110427.59047849958
10/1995,106765.06669357415
11/1995,107912.4839814112
12/1995,113899.18302302479
01/1996,122908.62842797436
02/1996,125456.9964610276
03/1996,126973.84636159484
04/1996,131549.66096081174
05/1996,131772.71268178598
06/1996,128281.45524466944
07/1996,119961.11865133827
08/1996,124187.28005549929
09/1996,128459.32885560075
10/1996,132358.09725704376
11/1996,137626.91188116418
12/1996,140940.84784256507
01/1997,143032.728427074
02/1997,151377.5749514974
03/1997,146022.13090643886
04/1997,143801.51455235019
05/1997,152272.9971811749
06/1997,157346.43927541416
07/1997,161290.34268258463
08/1997,142868.8349015193
09/1997,143860.58151343823
10/1997,111283.66711891661
11/1997,105544.55652738143
12/1997,108674.3167412416
01/1998,104298.87698408801
02/1998,120079.68184462882
03/1998,119098.15049316986
04/1998,110022.10978836245
05/1998,96189.66120400008
06/1998,91050.24416557568
07/1998,88135.72432228483
08/1998,75906.21990833685
09/1998,78974.51881058136
10/1998,90744.13943392134
11/1998,97712.48202209298
12/1998,95959.92273106523
01/1999,99774.56613081295
02/1999,102012.67438891108
03/1999,112898.43250376913
04/1999,133342.39577102414
05/1999,125541.19261852466
06/1999,137573.42139323702
07/1999,131628.75587848775
08/1999,130077.27019494327
09/1999,126573.26748506323
10/1999,131515.6796205247
11/1999,147451.7534073136
12/1999,160108.16255848386
01/2000,152618.86840216094
02/2000,153332.46810994222
03/2000,157250.57819525592
04/2000,158521.33008238557
05/2000,140407.0858092156
06/2000,152638.59054484108
07/2000,157036.3747130951
08/2000,164942.3102912895
09/2000,156551.43730576153
10/2000,154082.00312036803
11/2000,148649.371340849
12/2000,145953.94822351303
01/2001,150685.65005610223
02/2001,146255.67571304782
03/2001,135713.2557959175
04/2001,142790.3123953358
05/2001,148089.79186620383
06/2001,148066.17890463854
07/2001,139393.61938717548
08/2001,130792.52438601536
09/2001,111804.28585800096
10/2001,119640.87771653874
11/2001,133031.56330272762
12/2001,138880.1210723999
01/2002,143587.3756980329
02/2002,141334.2556296754
03/2002,146300.63696803706
04/2002,142386.79127827147
05/2002,139626.21731517554
06/2002,124441.39349160966
07/2002,119198.23882425376
08/2002,119050.69320137119
09/2002,110935.49022299587
10/2002,116988.33842147278
11/2002,119022.99180413663
12/2002,109217.56567813584
01/2003,106840.60402908831
02/2003,105781.00821677076
03/2003,105770.2913365827
04/2003,109167.02609014828
05/2003,107997.77443121276
06/2003,115779.31754825915
07/2003,118900.73785541464
08/2003,128799.9856071586
09/2003,125888.68894032825
10/2003,135134.99776226497
11/2003,130571.1258031255
12/2003,132189.23536533676
01/2004,138282.52443717403
02/2004,143197.37155076413
03/2004,144854.0893835644
04/2004,140454.24119985464
05/2004,137879.97999047404
06/2004,138630.867001387
07/2004,141170.61056430865
08/2004,144480.8094186359
09/2004,148482.6319485854
10/2004,150304.46038311848
11/2004,155577.60947605752
12/2004,157455.5795298276
01/2005,164048.8819600998
02/2005,168580.11520490254
03/2005,166070.0287540681
04/2005,165958.845402854
05/2005,174262.63804041434
06/2005,186154.41527588648
07/2005,192910.30615949308
08/2005,190981.56714183366
09/2005,204232.6674061097
10/2005,192329.3273275644
11/2005,203143.65300756096
12/2005,206915.84777047258
01/2006,214316.44505923017
02/2006,217001.56039709318
03/2006,214598.34644333657
04/2006,223910.66974487383
05/2006,205252.60221784856
06/2006,209018.97069196205
07/2006,210640.08542099575
08/2006,215733.57465767325
09/2006,218124.39760172754
10/2006,232426.10363374403
11/2006,234013.10519184067
12/2006,244692.4816003159
01/2007,251073.52365650327
02/2007,250385.25308100972
03/2007,259768.8946680106
04/2007,267181.6838774291
05/2007,275542.310221333
06/2007,280496.03754645435
07/2007,277737.81489727716
08/2007,272865.4379170301
09/2007,302134.7437586276
10/2007,319610.9177528372
11/2007,292005.3787842012
12/2007,286175.7564168354
01/2008,254565.2015420728
02/2008,254053.51378232407
03/2008,231742.57480575575
04/2008,254842.178358884
05/2008,259099.33364067724
06/2008,235892.05756873035
07/2008,226222.44973872742
08/2008,227702.5300863827
09/2008,194478.53626881307
10/2008,163506.7723067947
11/2008,154908.83349081516
12/2008,149839.14076645792
01/2009,147658.80083593604
02/2009,142210.85192927864
03/2009,153219.2209826241
04/2009,173820.19764415734
05/2009,185647.42347506923
06/2009,190332.32464631335
07/2009,212411.95928041663
08/2009,217795.7605898581
09/2009,234017.9442697393
10/2009,232687.62122556946
11/2009,234664.0999177585
12/2009,250142.93794528552
01/2010,240501.37717946552
02/2010,255252.83242674064
03/2010,275630.1607077922
04/2010,278633.5862242661
05/2010,259806.3248214157
06/2010,259630.0943798832
07/2010,269629.0971544102
08/2010,271619.418625549
09/2010,285058.30648714845
10/2010,288687.3022796274
11/2010,301339.28206866345
12/2010,315298.86919954343
01/2011,304162.7123251859
02/2011,305809.29800658236
03/2011,304736.2509801079
04/2011,306194.8033270259
05/2011,305544.7697566021
06/2011,298830.94284080644
07/2011,301824.5152049798
08/2011,281634.2408601257
09/2011,256699.94425423027
10/2011,284880.1739798398
11/2011,276400.0247386945
12/2011,283974.5014095693
01/2012,305787.9420440911
02/2012,313003.0754355408
03/2012,306097.3323410069
04/2012,314161.183951772
05/2012,295067.345383403
06/2012,308839.8518735433
07/2012,337549.9864319204
08/2012,329541.8145279117
09/2012,333773.05923651584
10/2012,338152.44335096923
11/2012,344014.2216935607
12/2012,346919.7410200104
01/2013,354973.0621289746
02/2013,374967.4282182844
03/2013,382551.7701462929
04/2013,389988.0985441505
05/2013,356798.0570537888
06/2013,333669.55192178383
07/2013,339469.3266198127
08/2013,340245.80707806355
09/2013,356550.30594421906
10/2013,368757.3991086678
11/2013,359265.8186614124
12/2013,350138.27477365406
01/2014,337478.04443073214
02/2014,351591.80617919547
03/2014,360574.99167909333
04/2014,367250.7514870274
05/2014,381070.3617212128
06/2014,379711.9514598727
07/2014,402079.2107739435
08/2014,409062.36278995493
09/2014,387848.04982311133
10/2014,408322.88827918394
11/2014,394867.6026456499
12/2014,395852.39926891524
01/2015,425195.70505534695
02/2015,446850.48151354876
03/2015,460701.5883716395
04/2015,459392.91903697257
05/2015,457884.9604975444
06/2015,432024.6522602122
07/2015,435697.0463688682
08/2015,375928.4308121683
09/2015,362577.28652928025
10/2015,395016.76608411496
11/2015,406896.00171869976
12/2015,404037.9349673075
01/2016,367417.3101111502
02/2016,367952.9968603994
03/2016,393347.5625572829
04/2016,400833.2666120929
05/2016,400890.824050622
06/2016,406014.71205450944
07/2016,433785.6934725184
08/2016,426714.77091192687
09/2016,436922.3454556376
10/2016,436143.2204827935
11/2016,448556.9818712879
12/2016,450051.57180919446
01/2017,466161.9584972199
02/2017,487700.40081623656
03/2017,495906.43933093594
04/2017,487374.4018313478
05/2017,470120.15458872396
06/2017,471738.97743915283
07/2017,478799.3322898239
08/2017,476060.92269029963
09/2017,472695.55860681774
10/2017,486222.06042223756
11/2017,485816.72384722624
12/2017,497944.2192955448
01/2018,497874.99372580124
02/2018,491119.5904238486
03/2018,466593.67664121947
04/2018,490763.0171996872
05/2018,508414.7129091449
06/2018,501880.17670642305
07/2018,508221.43375211745
08/2018,502738.8198274402
09/2018,502655.5528778154
10/2018,469101.39404857653
11/2018,480991.2351856613
12/2018,467837.66681409016
01/2019,499857.01614066435
02/2019,521953.64136687893
03/2019,535161.9743287708
04/2019,545143.1276878542
05/2019,533263.7578545398
06/2019,555586.786929862
07/2019,562919.9911840664
08/2019,535990.2972655712
09/2019,550447.988866284
10/2019,553536.0818268956
11/2019,563353.3193116718
12/2019,564377.3735216031
01/2020,564184.1110557783
02/2020,524345.5887917033
03/2020,418998.85834467324
04/2020,471563.8390718039
05/2020,458706.639995781
06/2020,492710.7638777547
07/2020,477589.0072475034
08/2020,501272.88701380766
09/2020,480569.0117867892
10/2020,478256.6578500123
11/2020,535637.4355050024
12/2020,550532.6795126064
01/2021,560555.9674285201
02/2021,577393.9494653132
03/2021,602762.0480381785
04/2021,609632.4699573342
05/2021,616606.0747386571
06/2021,623007.1910201196
07/2021,613352.4585388943
08/2021,620505.8168301366
09/2021,611308.5721608485
10/2021,627478.5277431897
11/2021,602517.0249203512
12/2021,624386.8283962795
01/2022,598376.3594669914
02/2022,612849.4873108537
03/2022,661048.4181396939
04/2022,655065.593092183
05/2022,641912.9772080166
06/2022,606944.0564499373
07/2022,641913.14822569
08/2022,643197.7713185141
09/2022,589660.3381406448
10/2022,582620.6609552278
11/2022,638292.7992628922
12/2022,623613.0865210687
01/2023,666953.1291784273
02/2023,636373.0135522333
03/2023,624828.8487224634
04/2023,619933.883882385
05/2023,599259.3612267358
06/2023,614105.4240716904
07/2023,631803.0008018754
08/2023,603289.2175778729
09/2023,599953.1067195865
10/2023,571837.2847636899
11/2023,594088.6617044492
12/2023,640706.5384117388
01/2024,630543.4425771793
02/2024,634455.9280530795
03/2024,643555.4334197424
04/2024,641300.984360803
05/2024,655054.1027666291
06/2024,665988.7132160282
07/2024,669112.3532226251
08/2024,684245.0474332476
09/2024,727780.8728870873
10/2024,701578.3631044767
