Date,Bloomberg Commodity Index 3 Month Forward
05/2012,64778.62939060116
06/2012,66541.60509663101
07/2012,71856.48328710483
08/2012,71319.68270470198
09/2012,70759.16417496951
10/2012,67810.17600524439
11/2012,68067.68359668314
12/2012,65465.82340868605
01/2013,65235.81280091499
02/2013,64569.02881600635
03/2013,66855.4194979107
04/2013,63903.13058227946
05/2013,62831.52494246362
06/2013,59238.39040895985
07/2013,59298.38982269395
08/2013,61511.482543297796
09/2013,59098.58773882246
10/2013,57850.415369341026
11/2013,57557.32552421845
12/2013,57312.07796440301
01/2014,57731.05269956329
02/2014,60196.98314727871
03/2014,60588.512129093106
04/2014,61806.16318763265
05/2014,61298.41352742657
06/2014,61713.533958292384
07/2014,60385.3465621643
08/2014,60772.80491362187
09/2014,59634.52787581214
10/2014,59511.14748266708
11/2014,57462.80981316088
12/2014,55440.20524676565
01/2015,57739.16607859029
02/2015,59539.90486972988
03/2015,59174.805206505174
04/2015,59568.32670930885
05/2015,59136.85183387564
06/2015,59000.19230910442
07/2015,53943.55098390712
08/2015,52239.69261236978
09/2015,50594.65484694538
10/2015,51511.41196291122
11/2015,50225.39196752349
12/2015,47532.90392905808
01/2016,46688.28290519784
02/2016,46372.10881069232
03/2016,46135.86104567822
04/2016,49714.65741515394
05/2016,50664.982066875506
06/2016,53127.32920129563
07/2016,50690.891212391434
08/2016,49678.65298456563
09/2016,51123.99220897505
10/2016,52012.27399121097
11/2016,54192.931351962114
12/2016,55538.789765351044
01/2017,55009.00315879573
02/2017,56138.70647954428
03/2017,54243.88324191625
04/2017,52389.20238700963
05/2017,50284.83125866038
06/2017,49426.829970196944
07/2017,49237.943634909236
08/2017,49067.64070975159
09/2017,49193.57136995875
10/2017,50890.21439351998
11/2017,50097.36795117246
12/2017,50864.14288118905
01/2018,50042.736035442314
02/2018,50470.67099527539
03/2018,49871.801851625445
04/2018,52098.63256642647
05/2018,54746.25772796397
06/2018,52841.32509333226
07/2018,51598.42800507477
08/2018,51146.583832861135
09/2018,52144.4189394675
10/2018,52116.372843375975
11/2018,50002.68682758847
12/2018,48309.733957974924
01/2019,50815.62335020779
02/2019,51839.67930886763
03/2019,52502.96924556223
04/2019,52237.00344169172
05/2019,50758.273463696925
06/2019,51005.8401127582
07/2019,51713.70220213322
08/2019,50909.88230634832
09/2019,52227.21836730364
10/2019,51988.27891111483
11/2019,51852.423188950015
12/2019,53383.60510250325
01/2020,50711.894406820626
02/2020,48568.6762962941
03/2020,43947.07149258274
04/2020,44365.77384172995
05/2020,44745.64179923755
06/2020,45826.082514471265
07/2020,45979.680433354464
08/2020,48285.733071178634
09/2020,48021.255210044015
10/2020,48237.08695734884
11/2020,49065.939248474875
12/2020,50573.51690420875
01/2021,52445.65678762858
02/2021,55658.10565418958
03/2021,56502.22914244268
04/2021,59125.84651278441
05/2021,60634.6677966883
06/2021,63828.388142221804
07/2021,65110.20342352521
08/2021,65522.26224228566
09/2021,70094.82473095827
10/2021,71445.34832481819
11/2021,69453.13074457839
12/2021,72933.93479016739
01/2022,79442.46446771824
02/2022,83815.07796545663
03/2022,92339.22303536857
04/2022,101627.37655332884
05/2022,101710.5237051412
06/2022,93516.82995388974
07/2022,99514.10079026945
08/2022,101841.54548540965
09/2022,96534.00384683591
10/2022,96792.0250302859
11/2022,95867.48591137871
12/2022,92574.59523339462
01/2023,91510.60068973337
02/2023,89404.28289328174
03/2023,87166.75560979685
04/2023,85554.52428429146
05/2023,83084.70839049
06/2023,84301.55950604734
07/2023,87880.83590714184
08/2023,88530.34506558438
09/2023,89533.7231166642
10/2023,89840.7142449841
11/2023,86061.72837670847
12/2023,83207.10475061346
01/2024,84917.8815716664
02/2024,84072.96076081996
03/2024,87599.70724914827
04/2024,90972.12143399614
05/2024,91600.961085095
06/2024,91052.72132898583
07/2024,87069.34935863226
