Date,FTSE EPRA/NAREIT Developed
12/2003,24226.21900751243
01/2004,25725.114572038045
02/2004,26625.859324429024
03/2004,28221.607172157866
04/2004,25771.411074525247
05/2004,26628.08155654841
06/2004,27329.19579021458
07/2004,27840.123991663328
08/2004,29118.09264632002
09/2004,28799.57270920808
10/2004,29361.982621422598
11/2004,30075.31913174539
12/2004,31017.73073637485
01/2005,30865.507836196935
02/2005,30959.952701270824
03/2005,30841.43365490359
04/2005,32061.624274456255
05/2005,34158.48546510656
06/2005,36185.53153000616
07/2005,37849.98338742601
08/2005,37011.090762357926
09/2005,38542.39387862459
10/2005,37638.68615007443
11/2005,39606.84306381032
12/2005,41229.99844101157
01/2006,42704.264266214
02/2006,44476.49438142404
03/2006,45807.611420936046
04/2006,43797.04691092189
05/2006,41494.44406321846
06/2006,43193.15533247884
07/2006,44831.68114850585
08/2006,46381.50286576739
09/2006,47923.36158460113
10/2006,50261.149774194826
11/2006,50837.078265135606
12/2006,52500.23382048581
01/2007,55838.58202183289
02/2007,55323.394542155314
03/2007,55243.208999847484
04/2007,54290.61216467084
05/2007,55510.98797023346
06/2007,51263.37646003775
07/2007,48069.843718470634
08/2007,49674.11012265712
09/2007,50461.70622296938
10/2007,50883.93032565264
11/2007,46283.72465251442
12/2007,44054.82583677062
01/2008,41651.11142763515
02/2008,39883.51096267382
03/2008,38359.615286805114
04/2008,41482.59215858174
05/2008,40539.99536794233
06/2008,35276.08303514759
07/2008,35913.30809538142
08/2008,37271.832664365844
09/2008,35449.41714045967
10/2008,28324.385407679452
11/2008,24199.181850059904
12/2008,24223.25603135325
01/2009,22896.95382809992
02/2009,19292.678516466352
03/2009,19758.0509594677
04/2009,23887.698981326015
05/2009,25187.519585156664
06/2009,25417.335423503133
07/2009,27663.086166152276
08/2009,29420.68658657637
09/2009,30507.913650985796
10/2009,29892.355353915973
11/2009,29926.79995176645
12/2009,32447.551919189562
01/2010,31575.696184350596
02/2010,33135.888318169265
03/2010,35769.974123681044
04/2010,37321.83288705202
05/2010,37052.202056566566
06/2010,36399.050999477135
07/2010,37510.722617199805
08/2010,38242.20735649757
09/2010,38680.542642046385
10/2010,39584.25037059656
11/2010,40508.143374231135
12/2010,41784.44535479829
01/2011,41430.74007579607
02/2011,42319.077365520476
03/2011,40702.40349866743
04/2011,40887.77469462618
05/2011,42412.225928524735
06/2011,41012.40487932173
07/2011,41681.481933266754
08/2011,38986.09955846191
09/2011,36650.53360098761
10/2011,39709.80648534184
11/2011,38853.13600331868
12/2011,40669.440388896546
01/2012,43460.56393084491
02/2012,44025.93681921861
03/2012,44757.79193053628
04/2012,46092.24231822735
05/2012,46213.72434075378
06/2012,47961.880274670475
07/2012,51207.07991301331
08/2012,50131.14919521076
09/2012,49916.1482376602
10/2012,49972.815156704535
11/2012,50291.70546583637
12/2012,51518.00722371735
01/2013,51616.52618101012
02/2013,53980.79597002649
03/2013,56205.80587956137
04/2013,58739.15475493923
05/2013,55143.04581300959
06/2013,53508.90542392137
07/2013,53011.60476464714
08/2013,51090.04781771297
09/2013,52635.64392356228
10/2013,53900.73476160574
11/2013,51969.96173658884
12/2013,51454.64353410684
01/2014,52444.093200081756
02/2014,53318.28977867947
03/2014,53508.59618180336
04/2014,54828.226392378645
05/2014,57518.32052140899
06/2014,58106.531196680604
07/2014,59657.82764273237
08/2014,61524.04778765728
09/2014,60185.796457111996
10/2014,64719.674020029655
11/2014,65609.95172580352
12/2014,67904.391500114
01/2015,76414.286048811
02/2015,76449.44796467104
03/2015,79696.22388781194
04/2015,75227.03292780404
05/2015,75803.1899567997
06/2015,71695.67097794203
07/2015,74810.62481398643
08/2015,69419.87736075009
09/2015,70546.95323226393
10/2015,75369.96006435917
11/2015,77122.11673831621
12/2015,75681.30845101262
01/2016,72715.14153073625
02/2016,72715.14153073625
03/2016,75916.25236548999
04/2016,75461.04853119013
05/2016,77604.91175079586
06/2016,80585.76266572707
07/2016,84065.86939892264
08/2016,82201.00207775878
09/2016,80673.86663365606
10/2016,77986.69561182152
11/2016,78397.84746215686
12/2016,81143.75446261074
01/2017,79616.61901850805
02/2017,83493.19360738414
03/2017,81687.0622648396
04/2017,81114.38647330109
05/2017,79220.15116282756
06/2017,78706.21134990838
07/2017,77516.80778286685
08/2017,76988.18397529282
09/2017,77164.39191115083
10/2017,77927.95963320218
11/2017,78236.32352095368
12/2017,78706.21134990838
01/2018,75842.83239221582
02/2018,72274.62169109122
03/2018,73317.18531158441
04/2018,76092.46030134798
05/2018,80042.45486349823
06/2018,81143.75446261074
07/2018,81598.9582969106
08/2018,82803.04585860696
09/2018,81217.17443588491
10/2018,80115.8748367724
11/2018,83126.09374101329
12/2018,77693.01571872484
01/2019,85798.580768193
02/2019,86297.83658645737
03/2019,90570.87903101396
04/2019,89513.63141586594
05/2019,89719.20734103359
06/2019,89131.84755484026
07/2019,91437.23471564915
08/2019,94139.08973213853
09/2019,97281.46458827294
10/2019,97398.93654551159
11/2019,97310.8325775826
12/2019,96018.64104795725
01/2020,98030.34831566946
02/2020,90717.7189775623
03/2020,70101.39048217586
04/2020,75167.36863809345
05/2020,74139.4890122551
06/2020,75314.20858464179
07/2020,73464.02525813277
08/2020,74462.53689466145
09/2020,73552.12922606178
10/2020,71525.7379636947
11/2020,78823.68330714703
12/2020,79734.09097574673
01/2021,79616.61901850805
02/2021,82612.1539280941
03/2021,87707.5000733214
04/2021,91084.81884393314
05/2021,91246.34278513631
06/2021,94770.50150229639
07/2021,98368.08019273062
08/2021,100071.42357269135
09/2021,95959.90506933791
10/2021,101818.81893661655
11/2021,102288.7067655712
12/2021,107618.99682527581
01/2022,102832.01456780006
02/2022,100071.42357269135
03/2022,105475.1336056701
04/2022,105122.7177339541
05/2022,98984.80796823364
06/2022,92567.90230407134
07/2022,102420.86271746471
08/2022,97061.20466845043
09/2022,87193.56026040221
10/2022,88970.32361363708
11/2022,91099.50283858797
12/2022,85387.42891785769
01/2023,91393.18273168465
02/2023,89425.52744793693
03/2023,84374.23328667415
04/2023,84550.44122253214
