Date,MSCI USA
02/1999,263201.7760151695
03/1999,281108.0870699358
04/1999,295179.0083449136
05/1999,292112.0498960665
06/1999,311552.45834513207
07/1999,291051.76211654925
08/1999,292435.15269484307
09/1999,281221.10728162725
10/1999,305604.4059787069
11/1999,323074.0893184696
12/1999,347268.9208762824
01/2000,337136.86871279555
02/2000,331638.2614977109
03/2000,370795.5668897824
04/2000,377184.8207937198
05/2000,358507.8017079757
06/2000,357295.2284281778
07/2000,362692.28492234653
08/2000,395885.1744344606
09/2000,380272.3317865416
10/2000,393068.7242074319
11/2000,350790.5918366662
12/2000,326773.17431612406
01/2001,339068.1630434924
02/2001,310149.89618058945
03/2001,303968.06643416133
04/2001,325939.1119544898
05/2001,343057.31947800337
06/2001,335140.5695724799
07/2001,321489.61979310494
08/2001,286796.473835272
09/2001,265570.07405449223
10/2001,272023.6457008733
11/2001,297591.25752156106
12/2001,302262.1667893014
01/2002,303976.7529218124
02/2002,297415.85563734727
03/2002,305847.40026662964
04/2002,276921.5502125296
05/2002,263640.0802098586
06/2002,229098.422138055
07/2002,216728.0010017876
08/2002,216550.47163880002
09/2002,191499.73780826954
10/2002,208719.88306352918
11/2002,219764.06063866618
12/2002,195364.9490666804
01/2003,184774.2127401336
02/2003,182426.74818704807
03/2003,182142.08258118934
04/2003,193104.86916652246
05/2003,191472.10193538252
06/2003,200460.515909066
07/2003,206065.3646664022
08/2003,217339.3479733441
09/2003,201380.17114838725
10/2003,213329.19668489922
11/2003,208610.09747564528
12/2003,208296.75525750875
01/2004,216212.70230857842
02/2004,218128.32481799574
03/2004,217985.22903488742
04/2004,219539.48392150275
05/2004,217778.18187215898
06/2004,222579.08278455294
07/2004,216990.7778563966
08/2004,216690.96052121825
09/2004,213714.903844567
10/2004,211315.73365520517
11/2004,210656.30670694396
12/2004,212720.70608235235
01/2005,216717.9117756271
02/2005,217396.01970590625
03/2005,218661.84462724772
04/2005,214749.62073418492
05/2005,232905.08114710107
06/2005,237992.90833162583
07/2005,246830.39246899984
08/2005,242283.63858761638
09/2005,247438.4595797324
10/2005,243685.30172861402
11/2005,258808.49572696895
12/2005,258236.42414223417
01/2006,258180.88898813873
02/2006,263557.43888971605
03/2006,261780.25594651955
04/2006,255977.69755457918
05/2006,241856.84906944478
06/2006,244987.13989073416
07/2006,244690.9616718004
08/2006,248784.42900168203
09/2006,258874.77310471202
10/2006,266882.6914543143
11/2006,261595.0095646465
12/2006,265259.05984004505
01/2007,274485.5627176251
02/2007,264042.1287392379
03/2007,264657.32023119193
04/2007,270104.6235377365
05/2007,282537.8097559923
06/2007,276642.21397074894
07/2007,264047.8959932343
08/2007,267929.1524712993
09/2007,268681.1353773105
10/2007,268058.6465516752
11/2007,251107.76013195
12/2007,250225.79281110733
01/2008,232599.4143219834
02/2008,220805.8308525214
03/2008,210914.16655284504
04/2008,225153.99288938855
05/2008,229075.3754358317
06/2008,206878.22834301717
07/2008,206430.08958261975
08/2008,221556.53954200845
09/2008,207197.08974546395
10/2008,192477.34453925153
11/2008,178523.25850708006
12/2008,165237.57187194453
01/2009,164744.61050947788
02/2009,149704.52130519887
03/2009,154330.68201063163
04/2009,169489.34543902698
05/2009,168246.47237470295
06/2009,168109.24079198384
07/2009,180655.51982303086
08/2009,185054.8160613419
09/2009,187277.24816134534
10/2009,181636.15254537677
11/2009,189448.64168371138
12/2009,201538.70744584658
01/2010,200535.51101497607
