Date,MSCI Europe Growth
05/1985,32355.060138060464
06/1985,31864.107967749853
07/1985,33337.718839853405
08/1985,33902.60972146653
09/1985,34867.574469836516
10/1985,36458.08845197103
11/1985,38595.398456101764
12/1985,39048.23237292961
01/1986,39120.05231159295
02/1986,41563.15615100282
03/1986,43647.686483914265
04/1986,48735.55503166216
05/1986,43901.19841049406
06/1986,45723.98964862453
07/1986,44618.43925111156
08/1986,47775.369094206195
09/1986,43913.317464686326
10/1986,43934.33336325165
11/1986,47167.39137359382
12/1986,47549.463159734274
01/1987,46116.68059463163
02/1987,47001.49940697236
03/1987,48635.2428760495
04/1987,49694.25882444483
05/1987,48496.16282276572
06/1987,50693.40720303337
07/1987,53051.82976563589
08/1987,53791.21656785478
09/1987,52735.94103310155
10/1987,42014.2565781716
11/1987,37485.66286533603
12/1987,38435.49460338508
01/1988,37032.31438215955
02/1988,40353.22052915351
03/1988,40519.902773773116
04/1988,40820.63100980996
05/1988,40426.796312664905
06/1988,41547.12294937701
07/1988,43549.86690606171
08/1988,42556.38407521965
09/1988,44811.63711614128
10/1988,47643.59097084151
11/1988,46152.058753607045
12/1988,46365.68106935037
01/1989,49874.981454031506
02/1989,49911.94164014534
03/1989,50388.63036831961
04/1989,52241.375436770766
05/1989,51587.23902451579
06/1989,54932.97993953354
07/1989,58746.49844651395
08/1989,59003.77810348048
09/1989,60903.85251088804
10/1989,54785.488824988985
11/1989,57022.56544445574
12/1989,59940.52806542631
01/1990,57862.63462026245
02/1990,55348.19965845167
03/1990,57328.09229078987
04/1990,55030.06684393553
05/1990,59175.45431535315
06/1990,62078.077840299295
07/1990,62858.215167722956
08/1990,54198.18572215683
09/1990,47748.75032971631
10/1990,51163.70374991242
11/1990,50316.263386136045
12/1990,50141.76567003557
01/1991,52165.5531944379
02/1991,55542.531842945005
03/1991,56541.32554504988
04/1991,58873.171822576194
05/1991,61333.143965311094
06/1991,58445.732340567345
07/1991,62366.823974233535
08/1991,61902.30239315285
09/1991,62170.01735467841
10/1991,61359.995299675466
11/1991,58348.95610436278
12/1991,61622.08918248291
01/1992,62043.4842724057
02/1992,63712.11456810016
03/1992,63266.14688253286
04/1992,65275.41840408229
05/1992,67855.7930697393
06/1992,65494.34305099991
07/1992,60510.99975643427
08/1992,59042.87805827641
09/1992,59389.97742839832
10/1992,57594.77508538632
11/1992,61532.52731672979
12/1992,62607.28429777992
01/1993,62732.096592061724
02/1993,64301.573291542925
03/1993,67353.68938353691
04/1993,66364.58028177024
05/1993,67141.9619767068
06/1993,67312.83467775579
07/1993,69313.45872120379
08/1993,76152.25285866094
09/1993,72991.6686435612
10/1993,76884.66526253991
11/1993,77279.73822990266
12/1993,82416.14619833238
