Date,MSCI Europe Minimum Volatility
04/2021,36358.64767122004
05/2021,37393.40020851012
06/2021,38523.193946366846
07/2021,39866.2767852283
08/2021,40732.6002695889
09/2021,38896.452930434345
10/2021,40148.62135006447
11/2021,40086.181983829716
12/2021,42561.17787069394
01/2022,40251.33236468479
02/2022,39203.33160324241
03/2022,39780.631224698926
04/2022,39977.448388574456
05/2022,38525.85761174547
06/2022,36992.855133888326
07/2022,38947.46149641847
08/2022,37180.31348190624
09/2022,34600.10953153779
10/2022,35899.10258239948
11/2022,37424.19065809464
12/2022,36571.12725806951
01/2023,38022.595777905124
02/2023,38493.84451203787
03/2023,39347.35008625134
04/2023,41080.00171136905
05/2023,39484.52584755612
06/2023,40108.51755064997
07/2023,40382.6377078502
08/2023,39765.350691745596
09/2023,39237.73006980077
10/2023,38523.780670013155
11/2023,40141.580800303615
12/2023,40882.73262274292
01/2024,41752.242338724616
02/2024,41732.035343168835
03/2024,42971.83097969392
04/2024,42713.05943233084
05/2024,43883.61993223445
06/2024,44083.943209554745
07/2024,45391.5921182674
08/2024,46695.60590630253
09/2024,46365.027498980446
10/2024,45714.617748408215
