Date,EURO STOXX
01/2017,73221.94626326485
02/2017,75133.2129148792
03/2017,79182.65974260555
04/2017,81034.09347482501
05/2017,82327.83924136373
06/2017,80181.75660419959
07/2017,80526.07812147212
08/2017,80204.33506434862
09/2017,83819.14653420637
10/2017,85767.66764506661
11/2017,84067.50959584556
12/2017,83237.75118536917
01/2018,85953.939941296
02/2018,82695.86814179273
03/2018,80946.03748024385
04/2018,84954.84307970197
05/2018,83678.031158275
06/2018,82991.64596974486
07/2018,85906.52517498306
08/2018,83657.7105441409
09/2018,83462.39557462181
10/2018,77937.45766538722
11/2018,77089.6364867916
12/2018,72646.1955294649
01/2019,77188.98171144728
02/2019,80317.2273650937
03/2019,81431.47437344774
04/2019,85521.56242944232
05/2019,80649.13072928427
06/2019,84870.17385414316
07/2019,84975.16369383608
08/2019,83894.78437570558
09/2019,86967.71280198691
10/2019,88051.47888913976
11/2019,90508.01535335291
12/2019,91616.61774666968
01/2020,90037.25445924589
02/2020,82961.16504854368
03/2020,68944.45698803342
04/2020,73445.47301874013
05/2020,77245.42786181983
06/2020,81045.38270489953
07/2020,80282.23075186272
08/2020,83090.99119440054
09/2020,81584.99661323098
10/2020,76909.00880559946
11/2020,89959.35877173177
12/2020,91843.5312711673
01/2021,90587.03996387447
02/2021,93853.01422442989
03/2021,100055.3172273651
04/2021,102255.58816888688
05/2021,104804.696319711
06/2021,105833.14517949877
07/2021,107378.64077669903
08/2021,110203.20614134116
09/2021,106477.76021675322
10/2021,110934.74825016934
11/2021,107376.38293068414
12/2021,112667.64506660646
01/2022,108454.50440279974
02/2022,102835.85459471664
03/2022,102594.26507112215
04/2022,100846.69225558818
05/2022,101263.26484533754
06/2022,91765.6355836532
07/2022,98466.9225558817
08/2022,93523.35741702416
09/2022,87695.85685256266
10/2022,94694.06186498082
11/2022,102358.32016256491
12/2022,98803.34161210206
01/2023,107997.29058478212
02/2023,110071.1221494694
03/2023,110493.33935425604
04/2023,112080.60510273199
05/2023,109268.45789117183
06/2023,113430.79701964326
07/2023,115755.23820275457
08/2023,112172.04786633552
09/2023,108676.90223526755
10/2023,105048.54368932039
11/2023,113456.76224881463
12/2023,117126.89094603749
01/2024,119407.31542108828
02/2024,123311.13118085347
03/2024,128889.13976066833
04/2024,126502.59652291714
05/2024,129961.61661774667
06/2024,126430.34545044028
07/2024,127185.58365319486
08/2024,129123.95574621811
09/2024,130431.23729961617
