Date,SMI
12/2019,37641.91362665297
01/2020,38244.46470825212
02/2020,35643.61915544912
03/2020,34363.90638002631
04/2020,36117.884894021874
05/2020,36447.81467734701
06/2020,37481.719157423344
07/2020,36932.02622700992
08/2020,37393.24259131014
09/2020,37499.80032769232
10/2020,35641.364163333266
11/2020,38487.42486611837
12/2020,39468.534172759864
01/2021,39068.36186891106
02/2021,38150.1837130448
03/2021,40297.856422385295
04/2021,40942.824611237585
05/2021,42354.18024744851
06/2021,44521.37661746335
07/2021,46046.892496119246
08/2021,47042.98463560094
09/2021,44046.63122276136
10/2021,46754.04938404798
11/2021,47767.79478193228
12/2021,51065.05940808716
01/2022,48151.04256356475
02/2022,47516.795342795034
03/2022,49189.54422748745
04/2022,49794.95101206595
05/2022,47534.3595129262
06/2022,45389.239724798994
07/2022,48143.47591388098
08/2022,46638.19079888751
09/2022,45258.10079513655
10/2022,45977.76820611953
11/2022,47591.36758491875
12/2022,45920.23619495821
01/2023,47410.77152326876
02/2023,47021.78620946542
03/2023,47679.56984962676
04/2023,50306.52214444808
05/2023,50077.17177839431
06/2023,50036.6508978445
07/2023,51046.49174855189
08/2023,50402.53551301288
09/2023,49295.356475670524
10/2023,47023.45338793568
11/2023,49350.587880661
12/2023,52290.9275712552
