Date,FTSE EPRA/NAREIT Developed Dividend+
12/2018,19047.5589944227
01/2019,21064.478422945856
02/2019,21186.001053410422
03/2019,22258.566196049644
04/2019,22052.206729468136
05/2019,22074.936314815106
06/2019,21981.464441760905
07/2019,22531.55506682158
08/2019,23160.322037511374
09/2019,24009.144099195117
10/2019,24034.467030991447
11/2019,24108.009359614414
12/2019,23679.969303984915
01/2020,24187.685282516642
02/2020,22391.6118345273
03/2020,17262.232988134423
04/2020,18623.793843946944
05/2020,18194.14881255573
06/2020,18629.52509551164
07/2020,18112.640296685375
08/2020,18403.36397681183
09/2020,18124.107802621842
10/2020,17536.93029812848
11/2020,19372.049973918565
12/2020,19606.90377645779
01/2021,19684.042603140457
02/2021,20432.969012052905
03/2021,21740.473758673248
04/2021,22480.693600687668
05/2021,22650.479620346716
06/2021,23456.844548973306
07/2021,24366.25934561551
08/2021,24790.635107585702
09/2021,23881.788823169896
10/2021,25030.06741449851
11/2021,25020.69420810698
12/2021,26613.08450714517
01/2022,25621.106884864686
02/2022,24977.213047669713
03/2022,26252.330514484333
04/2022,25927.651847459463
05/2022,24799.215712528945
06/2022,23405.85554808197
07/2022,25608.668831965562
08/2022,24439.641173801312
09/2022,22030.387796018487
10/2022,22311.7959895511
11/2022,22619.32837055315
12/2022,21430.580788373718
01/2023,22966.95144685353
02/2023,22417.73306827094
03/2023,21112.95896008163
04/2023,21310.74521407505
05/2023,20849.870577289075
06/2023,21098.24585808997
07/2023,21563.680576112947
08/2023,21146.20447248739
09/2023,20365.87179044274
10/2023,19297.620706556227
11/2023,20699.93680454813
12/2023,22520.190447473273
01/2024,21945.13674486531
02/2024,21767.616681952146
03/2024,22590.350562656953
04/2024,21538.095241857005
05/2024,21959.77148418296
06/2024,22341.58723108986
07/2024,23454.643731263448
08/2024,24386.377648330348
09/2024,24773.210018715803
