Date,Dow Jones Asia/Pacific Select Dividend 50
02/2023,22609.15803500999
03/2023,21918.694324493365
04/2023,21781.501783740452
05/2023,21079.29461658819
06/2023,21714.833162088024
07/2023,22505.735522160256
08/2023,22143.72408816428
09/2023,22405.10196387026
10/2023,21383.71510975113
11/2023,22357.943299084665
12/2023,24418.285945608965
01/2024,24982.254709311805
02/2024,25185.719087626832
03/2024,25366.390831450622
04/2024,25895.36565021911
05/2024,25940.521654596814
06/2024,25447.231794131058
07/2024,25701.729891983057
08/2024,26163.534930793503
09/2024,27676.875546730775
