Date,EURO STOXX Banks
12/2008,25749.03434596513
01/2009,23259.212861467793
02/2009,18572.91992901138
03/2009,21344.607996659357
04/2009,28472.700699446705
05/2009,31202.63075477607
06/2009,30985.48909071928
07/2009,35618.54055746946
08/2009,40238.020670216094
09/2009,41671.36444305251
10/2009,39222.25702056582
11/2009,39074.01607683474
12/2009,39427.91523123499
01/2010,35788.70445766781
02/2010,33926.29710825765
03/2010,37228.311932352015
04/2010,34725.96304415909
05/2010,30653.5128927863
06/2010,30628.458085395134
07/2010,36032.98882973171
08/2010,32968.99467585343
09/2010,33455.47551936528
10/2010,33855.308487316004
11/2010,27980.98966489195
12/2010,29541.705814803212
01/2011,33725.8586491283
02/2011,34801.1274663326
03/2011,31712.078505063157
04/2011,32269.54796951665
05/2011,31105.543376135294
06/2011,30155.548595886834
07/2011,26989.236872324876
08/2011,21676.573755089255
09/2011,19933.187180290217
10/2011,20566.86501722518
11/2011,18731.60037582211
12/2011,19065.66447437102
01/2012,20625.32623447124
02/2012,21822.737237707483
03/2012,20629.502035703103
04/2012,17656.331558617807
05/2012,15168.597974736402
06/2012,17551.936527821275
07/2012,16723.039983296792
08/2012,19268.190834116296
09/2012,19956.154087065453
10/2012,20964.610084559972
11/2012,21774.71552354108
12/2012,22210.042801962623
01/2013,24649.754671677627
02/2013,22763.336465184257
03/2013,20366.426558095834
04/2013,22381.25065246894
05/2013,23542.1233949264
06/2013,20481.26109197202
07/2013,23101.576364965025
08/2013,23653.82607787869
09/2013,25609.145004697773
10/2013,28494.623655913976
11/2013,28633.45860737029
12/2013,28888.192922016915
01/2014,29888.297317047705
02/2014,31608.716985071507
03/2014,31888.5061071093
04/2014,31729.825660298568
05/2014,31879.11055433761
06/2014,30453.074433656955
07/2014,30003.131850923895
08/2014,30468.733688276436
09/2014,31167.136444305248
10/2014,29560.496920346595
11/2014,30238.020670216094
12/2014,28214.844973379266
01/2015,27265.89414343877
02/2015,31273.619375717713
03/2015,33220.58670007308
04/2015,32637.01847792045
05/2015,32816.57793089049
06/2015,31985.593485750076
07/2015,33664.26558095835
08/2015,30576.260569996866
09/2015,28118.801545046455
10/2015,29530.222361415596
11/2015,29612.694435744863
12/2015,27442.321745484915
01/2016,22848.940390437412
02/2016,21814.38563524376
03/2016,21824.825138323413
04/2016,23261.300762083723
05/2016,23270.69631485541
06/2016,18338.031109719177
07/2016,19982.25284476459
08/2016,21312.24553711243
09/2016,20509.447750287083
10/2016,23198.663743605804
11/2016,23338.553084873158
12/2016,26180.185823154818
01/2017,26283.536903643384
02/2017,25394.091241256916
03/2017,28443.470090823674
04/2017,29654.452448063472
05/2017,29452.97003862616
06/2017,29806.86919302641
07/2017,30905.10491700595
08/2017,29961.37383860528
09/2017,31549.222257020563
10/2017,30989.664891951143
11/2017,30220.273514980687
12/2017,29837.143751957406
01/2018,32248.668963357348
02/2018,30820.544942060755
03/2018,28786.92974214427
04/2018,30024.0108570832
05/2018,25876.396283536902
06/2018,25908.75874308383
07/2018,27430.838292097294
08/2018,24529.70038626161
09/2018,25095.521453178826
10/2018,22871.907297212652
11/2018,22895.918154295854
12/2018,20583.557782649546
01/2019,21600.375822110866
02/2019,23265.476563315584
03/2019,22107.735671782022
04/2019,24131.95531892682
05/2019,21134.773984758325
06/2019,21578.452865643594
07/2019,21107.631276751225
08/2019,19803.737342102515
09/2019,21534.60695270905
10/2019,22174.548491491805
11/2019,23018.0603403278
12/2019,23890.802797786822
01/2020,22577.513310366427
02/2020,20800.709886209414
03/2020,13427.288861050212
04/2020,13688.276438041548
05/2020,14277.064411734
06/2020,15599.749451926087
07/2020,14569.370497964295
08/2020,15361.72878170999
09/2020,13534.815742770643
10/2020,13263.388662699655
11/2020,18344.294811566968
12/2020,18320.283954483766
01/2021,17486.167658419457
02/2021,20856.039252531576
03/2021,21899.98956049692
04/2021,22914.70925983923
05/2021,24613.21641089884
06/2021,23522.288339075058
07/2021,23323.937780561642
08/2021,24301.075268817203
09/2021,25266.729303685144
10/2021,26215.68013362564
11/2021,24055.746946445346
12/2021,25757.38594842885
01/2022,27300.344503601627
02/2022,24105.856561227683
03/2022,23380.31109719177
04/2022,22513.83234158054
05/2022,24409.6461008456
06/2022,21300.762083724814
07/2022,21294.49838187702
08/2022,21087.796220899883
09/2022,20931.203674705084
10/2022,23410.585656122767
11/2022,25467.16776281449
12/2022,25727.11138949786
01/2023,29824.61634826182
02/2023,31759.056268921602
03/2023,27486.167658419457
04/2023,28306.712600480216
05/2023,27392.212130702577
06/2023,29896.64891951143
07/2023,31722.51800814281
08/2023,31155.65299091763
09/2023,31234.993214322996
10/2023,30211.921912516962
11/2023,32696.523645474474
12/2023,33314.542227789956
01/2024,34177.88913247729
02/2024,34403.382398997805
03/2024,39456.10188955005
04/2024,40703.62250756864
05/2024,42866.68754567282
06/2024,39971.81334168493
07/2024,42278.94352228833
08/2024,41959.494728050944
09/2024,42533.66739743188
