Date,MSCI Emerging Markets IMI
11/2017,32153.723783884754
12/2017,32912.67876172596
01/2018,34222.44454467869
02/2018,33316.48272381203
03/2018,32438.07253571383
04/2018,32955.62892550725
05/2018,32884.88377054706
06/2018,31534.85661256425
07/2018,31977.647162927322
08/2018,31362.14263575477
09/2018,31296.994025172608
10/2018,29157.187832783955
11/2018,30291.9558226843
12/2018,29290.14061444813
01/2019,31638.33023035235
02/2019,31946.85218480391
03/2019,32737.753009700016
04/2019,33409.56971418958
05/2019,31255.565975798
06/2019,32458.29546530768
07/2019,32710.04885043479
08/2019,31434.829949769923
09/2019,32469.52018384629
10/2019,33021.04139596932
11/2019,33475.314055391354
12/2019,35119.06219725281
01/2020,34058.2258903879
02/2020,32418.472972474327
03/2020,27222.30538480719
04/2020,30056.717740366836
05/2020,29625.987967314766
06/2020,31675.920725470147
07/2020,32622.427341620307
08/2020,33148.04489770394
09/2020,33261.37913749387
10/2020,33890.10804021989
11/2020,36306.78411734941
12/2020,38065.170236237485
01/2021,39546.949728360356
02/2021,40112.96956067225
03/2021,40975.21286886741
04/2021,40908.16401595023
05/2021,41456.94264308155
06/2021,42743.403654010544
07/2021,40117.76376148774
08/2021,41292.996976865434
09/2021,40627.55643233749
10/2021,40755.05102976875
11/2021,40123.254676932505
12/2021,41126.049376777926
01/2022,40828.55565081579
02/2022,39480.694905528944
03/2022,39170.9265485116
04/2022,38989.94452945591
05/2022,38425.738414166684
06/2022,36799.204155421576
07/2022,37529.58636707333
08/2022,38533.19287348582
09/2022,34982.353103171255
10/2022,33466.5173764588
11/2022,36483.25352113569
12/2022,35009.9147740182
01/2023,37103.033262646924
02/2023,35573.67685824322
03/2023,35690.998254866296
04/2023,35029.503808212285
05/2023,35535.89735628204
06/2023,36298.562688283535
07/2023,38024.00542087501
08/2023,36445.45733318693
09/2023,36439.900375979814
10/2023,34892.64095460556
11/2023,36687.55259846508
12/2023,37737.52211323513
01/2024,36851.987358357204
02/2024,38536.16284639649
03/2024,39407.92896722581
04/2024,40016.602700967844
05/2024,39751.15566271979
06/2024,41841.23717233902
07/2024,41467.852529760436
08/2024,41162.692608925594
09/2024,43303.05915400456
10/2024,42593.18694902779
