Date,SXI Real Estate Funds Broad
02/2012,24208.515569728428
03/2012,24445.87741037983
04/2012,24655.299131812964
05/2012,24888.237579071458
06/2012,24808.186634551366
07/2012,25656.12200370195
08/2012,25146.372036588324
09/2012,24692.31345955534
10/2012,24035.252362534244
11/2012,24724.464738233273
12/2012,25040.021962199356
01/2013,24516.144657316847
02/2013,24009.461482702405
03/2013,24479.676391604982
04/2013,24535.68966560473
05/2013,24172.278625414237
06/2013,23252.812426113825
07/2013,23723.647778252143
08/2013,23997.432606679366
09/2013,23809.91671382185
10/2013,23154.603079212273
11/2013,23664.056764399727
12/2013,23943.09894699147
01/2014,24498.177604606877
02/2014,24642.829335259787
03/2014,24994.047984071647
04/2014,25144.02365473821
05/2014,25113.92431453206
06/2014,25344.498123534235
07/2014,25750.146243555937
08/2014,25917.68255483816
09/2014,26328.842422816087
10/2014,26693.0492370352
11/2014,26814.20422453865
12/2014,28108.272750139815
01/2015,33786.170452375474
02/2015,34480.856278322455
03/2015,34937.85604320882
04/2015,35227.588967726595
05/2015,33263.208299438345
06/2015,33398.918666374215
07/2015,33969.61969835113
08/2015,31778.585958814674
09/2015,31377.423065437444
10/2015,31897.345742239602
11/2015,31652.382422008617
12/2015,32494.831245748144
01/2016,31818.110520919567
02/2016,33118.638776438056
03/2016,33428.1910061736
04/2016,34288.0481776136
05/2016,33822.00014664918
06/2016,34487.98963741477
07/2016,34731.152949176954
08/2016,34398.80276221183
09/2016,34763.14177192095
10/2016,34453.670356942304
11/2016,34203.01941439558
12/2016,35029.22322057094
01/2017,35881.28707766727
02/2017,36555.26226353062
03/2017,36777.97821152721
04/2017,36890.88356097126
05/2017,36755.24539796027
06/2017,36887.2755447404
07/2017,35988.599887576434
08/2017,34843.84529704108
09/2017,34200.16836408906
10/2017,33428.706609690395
11/2017,32493.487799828436
12/2017,34269.15195190732
01/2018,34142.26565486056
02/2018,34093.63493966584
03/2018,33413.252108563036
04/2018,33088.46997194882
05/2018,33852.83119448004
06/2018,33759.86796780547
07/2018,34303.42952058364
08/2018,34428.38423254658
09/2018,33887.183206446454
10/2018,33795.86707458729
11/2018,33436.95855540024
12/2018,33692.9201927787
01/2019,34848.13232662237
02/2019,35477.75058598424
03/2019,36831.4857907493
04/2019,36399.719299642886
05/2019,36612.12147182025
06/2019,38623.088512256516
07/2019,39701.339296059756
08/2019,39662.25062959857
09/2019,39948.403070026114
10/2019,40677.64319574359
11/2019,41196.22150969512
12/2019,42210.9881937177
01/2020,44402.05561908696
02/2020,44458.08923425293
03/2020,41792.16688742439
04/2020,43067.03798053009
05/2020,41931.463728290546
06/2020,42310.48562084094
07/2020,42589.606189934624
08/2020,42027.67191813268
09/2020,43381.22334064989
10/2020,43037.09019505723
11/2020,44165.111994250394
12/2020,46999.014968760246
01/2021,45392.46266123819
02/2021,45309.41826145304
03/2021,46057.28703433031
04/2021,46802.46375862928
05/2021,46668.487363945496
06/2021,49350.36596573808
07/2021,50779.00271312161
08/2021,50179.85217326349
09/2021,49898.514231981586
10/2021,49062.7918813934
11/2021,50294.23015143015
12/2021,52740.71729530548
01/2022,52272.744670547014
02/2022,50803.955547234604
03/2022,50858.25585577941
04/2022,50471.61709973449
05/2022,47994.743195619456
