Date,STOXX Europe 600 Health Care
04/1997,73231.14956736713
05/1997,75384.42521631643
06/1997,82383.1891223733
07/1997,88944.37577255869
08/1997,79930.77873918417
09/1997,85110.01236093942
10/1997,80734.23980222497
11/1997,85473.42398022249
12/1997,91025.95797280593
01/1998,101352.28677379481
02/1998,106425.21631644004
03/1998,106309.02348578491
04/1998,101330.0370828183
05/1998,99589.6168108776
06/1998,102981.4585908529
07/1998,102536.46477132261
08/1998,97834.36341161927
09/1998,92672.43510506798
10/1998,99228.67737948084
11/1998,104870.21013597032
12/1998,110370.8281829419
01/1999,114145.85908529047
02/1999,112889.98763906056
03/1999,114877.62669962917
04/1999,107893.69592088998
05/1999,106491.96538936958
06/1999,106543.88133498144
07/1999,100321.38442521631
08/1999,105171.8170580964
09/1999,104632.8800988875
10/1999,112289.24598269467
11/1999,119542.6452410383
12/1999,113117.42892459827
01/2000,104828.18294190358
02/2000,104333.74536464771
03/2000,117322.62051915945
04/2000,125194.06674907292
05/2000,124229.91347342398
06/2000,128343.63411619283
07/2000,132855.37700865263
08/2000,138529.04820766379
09/2000,145718.14585908529
10/2000,145354.75896168107
11/2000,149372.06427688504
12/2000,142269.46847960443
01/2001,133134.73423980223
02/2001,136165.6365883807
03/2001,134269.46847960443
04/2001,133681.08776266995
05/2001,142046.9715698393
06/2001,144135.97033374535
07/2001,140412.85537700864
08/2001,131033.37453646476
09/2001,133085.29048207664
10/2001,130791.10012360939
11/2001,127292.9542645241
12/2001,129868.97404202721
01/2002,127208.87515451174
02/2002,132291.71817058095
03/2002,131898.64029666255
04/2002,128091.47095179233
05/2002,118561.18665018541
06/2002,112061.80469715697
07/2002,101990.11124845488
08/2002,98195.30284301606
09/2002,94749.07292954264
10/2002,99035.84672435104
11/2002,97369.59208899876
12/2002,91475.89616810877
01/2003,86232.38566131025
02/2003,81972.80593325091
03/2003,82148.33127317675
04/2003,89742.89245982694
05/2003,88714.46229913473
06/2003,91498.14585908529
07/2003,91752.78121137206
08/2003,91238.56613102595
09/2003,92566.13102595796
10/2003,96561.16192830654
11/2003,98603.21384425215
12/2003,100148.33127317675
01/2004,101594.56118665017
02/2004,101982.69468479604
03/2004,100420.27194066749
04/2004,106731.76761433868
05/2004,106729.2954264524
06/2004,104640.29666254635
07/2004,105117.42892459827
08/2004,105826.94684796044
09/2004,105992.58343634116
10/2004,102996.29171817057
11/2004,100548.82571075403
12/2004,103923.36217552533
01/2005,103567.3671199011
02/2005,106571.07540173053
03/2005,106556.24227441284
04/2005,113896.16810877626
05/2005,119881.33498145858
06/2005,119265.76019777502
07/2005,122726.82323856612
08/2005,122516.68726823237
09/2005,128121.13720642768
10/2005,130464.77132262051
11/2005,131668.72682323857
12/2005,135072.92954264523
01/2006,136351.05067985167
02/2006,134758.96168108776
03/2006,140645.2410383189
04/2006,141626.6996291718
05/2006,137171.8170580964
06/2006,141616.8108776267
07/2006,144796.04449938194
08/2006,147698.39307787395
09/2006,145824.47466007416
10/2006,145310.25957972804
11/2006,140751.5451174289
12/2006,141315.20395550062
01/2007,145139.67861557478
02/2007,142603.21384425214
03/2007,142351.0259579728
04/2007,145901.11248454882
