Date,MSCI World Minimum Volatility (USD)
03/1997,22604.271765822818
04/1997,22967.92554089061
05/1997,24250.15966518747
06/1997,25401.48888389167
07/1997,26933.918004251078
08/1997,26090.2496139659
09/1997,26924.56034248336
10/1997,25470.529829875257
11/1997,25511.058612317986
12/1997,27074.928995069986
01/1998,28145.701935279256
02/1998,29514.012445655713
03/1998,31190.780073259128
04/1998,30871.20470320323
05/1998,30304.58888824945
06/1998,30561.645553093458
07/1998,30383.91785052156
08/1998,27566.030041847058
09/1998,27085.60286634089
10/1998,28018.206034521012
11/1998,29638.06339452533
12/1998,30871.974093180423
01/1999,31523.17152872805
02/1999,31504.775650133983
03/1999,32897.256245093944
04/1999,34732.8486023933
05/1999,34689.34304398486
06/1999,35356.100480091045
07/1999,34588.730030040635
08/1999,34513.06280244857
09/1999,34069.79040192919
10/1999,35857.264412013006
11/1999,37152.74338912548
12/1999,39050.05135189941
01/2000,38062.42437148823
02/2000,37151.72921663116
03/2000,40218.155639390745
04/2000,41679.40712242912
05/2000,40353.42642914776
06/2000,40035.50617461767
07/2000,40841.57206955513
08/2000,43485.03183655317
09/2000,44527.427875289985
10/2000,46362.48435603652
11/2000,44405.61552384775
12/2000,42471.17352211703
01/2001,41194.47933109115
02/2001,40531.29965148141
03/2001,40536.511662212826
04/2001,41914.75781789502
05/2001,44262.633271742256
06/2001,43268.24278362942
07/2001,42080.93419378391
08/2001,39712.815723478816
09/2001,37698.30867522086
10/2001,37750.21591352315
11/2001,39533.762257795446
12/2001,40118.79026977503
01/2002,39842.39607411533
02/2002,40393.23510194313
03/2002,41291.88713591401
04/2002,39909.794084831614
05/2002,38824.01153804908
06/2002,35251.509436551874
07/2002,33378.013161916264
08/2002,33561.192226309475
09/2002,30810.30397183536
10/2002,31600.788500742517
11/2002,31999.430768272505
12/2002,30294.80984881286
01/2003,28476.717327877275
02/2003,28099.993586500786
03/2003,27931.61245052988
04/2003,29108.457893642862
05/2003,28854.25641104753
06/2003,30067.701507347563
07/2003,30325.430123526094
08/2003,31845.807098801382
09/2003,30563.615211187494
10/2003,31759.86761505512
11/2003,31471.954602840746
12/2003,31487.42474219002
01/2004,32465.131716052143
02/2004,33050.19151655437
03/2004,34032.36220433532
04/2004,34062.55609081719
05/2004,33708.68187354714
06/2004,34480.88031187492
07/2004,34133.34274171505
08/2004,34571.0121962619
09/2004,34282.77391437544
10/2004,34244.641608380894
11/2004,34581.27768575111
12/2004,35040.229612895666
01/2005,35756.8617120212
02/2005,36222.26926698495
03/2005,36630.46451210649
04/2005,36670.62409077527
05/2005,38892.851515112925
06/2005,40195.0907285213
07/2005,41153.04726817216
08/2005,40936.92509128748
09/2005,42189.17668429332
10/2005,41165.3714024555
11/2005,42953.73380530742
12/2005,43573.02792347286
01/2006,43605.092965280506
02/2006,44809.38337380124
03/2006,44420.55748275977
04/2006,43715.459111259675
05/2006,41619.4685317876
06/2006,42318.362494399764
07/2006,43082.35230881579
08/2006,43997.30702917503
09/2006,45086.81795355985
10/2006,46302.67354773924
11/2006,45780.45750610988
12/2006,47028.35312355646
01/2007,48492.47637457077
02/2007,47452.874208985595
03/2007,47708.44983284876
04/2007,48397.94920284792
05/2007,49576.022747903604
06/2007,47898.72587785399
07/2007,45913.085727877806
08/2007,46572.57442000388
09/2007,46829.99832554358
10/2007,47082.37127416596
11/2007,45081.436663040426
12/2007,44397.666409352685
01/2008,41728.946337893336
02/2008,40433.65481465331
03/2008,38467.697061573715
04/2008,40216.32770222216
05/2008,40734.605659137116
06/2008,37491.69242394435
07/2008,37910.23428083497
08/2008,40163.29216028135
09/2008,38826.22294406775
10/2008,36627.33528231417
11/2008,35440.72256517298
12/2008,33023.00494115211
01/2009,33283.86856859973
02/2009,30404.354842503115
03/2009,29969.520603085453
04/2009,32192.573002863297
05/2009,32400.04327078522
06/2009,32736.557108714926
07/2009,34970.34039485707
08/2009,35609.02997453393
09/2009,36006.837228188204
10/2009,34654.883105080684
11/2009,35588.541175684615
12/2009,37142.67126396471
01/2010,37376.017218978384
02/2010,39018.32250006787
03/2010,40594.41138256219
04/2010,40972.00379591802
05/2010,41573.49828177461
06/2010,41922.71590783782
07/2010,41295.830482834535
08/2010,42569.00557298499
09/2010,41834.11600422689
10/2010,42299.125579585954
11/2010,44086.29316877211
12/2010,44863.35970448964
01/2011,43644.32387349821
02/2011,44428.92160631961
03/2011,43411.794897201864
04/2011,43304.27843465664
05/2011,45099.52051710575
06/2011,44431.371722099364
07/2011,44575.33949426258
08/2011,43574.339626325134
09/2011,45096.07929624076
10/2011,45398.130270221794
11/2011,46934.719880567216
12/2011,49707.79830026296
01/2012,49275.46504423454
02/2012,49385.47671279102
03/2012,50435.3195060846
04/2012,51402.07439662476
05/2012,52302.72778025316
06/2012,53694.716165085
07/2012,56254.66803503606
08/2012,55155.54303934396
09/2012,54694.400444169616
