Date,STOXX Europe 600 Industrial Goods & Services
12/1994,19853.16525834603
01/1995,19418.201967031444
02/1995,19393.267765618508
03/1995,18862.723368887655
04/1995,19547.02867433163
05/1995,20516.692062612554
06/1995,20392.02105554786
07/1995,21494.66685136445
08/1995,21835.43427067461
09/1995,22093.087685274968
10/1995,21612.411691369998
11/1995,21426.79041418479
12/1995,21576.395622662418
01/1996,22640.25488294778
02/1996,23450.616428868267
03/1996,24101.676132428314
04/1996,25166.920626125502
05/1996,25310.984900955813
06/1996,25518.769912730295
07/1996,24497.852888211666
08/1996,25449.5082421388
09/1996,26620.03047513506
10/1996,26999.58442997645
11/1996,27873.666712841114
12/1996,28789.305998060678
01/1997,30299.21041695526
02/1997,30972.433855104588
03/1997,31098.490095581106
04/1997,31425.405180772963
05/1997,33330.101122039065
06/1997,34952.20944729187
07/1997,37242.00027704668
08/1997,36232.16511982269
09/1997,38840.55963429838
10/1997,34903.726277877824
11/1997,35287.4359329547
12/1997,36492.58900124671
01/1998,37100.70646904004
02/1998,39408.505333148634
03/1998,44632.22052915917
04/1998,45557.55644826153
05/1998,47661.72600083114
06/1998,46457.958165950964
07/1998,45596.342983792776
08/1998,38498.406981576394
09/1998,35402.41030613658
10/1998,37703.283003186036
11/1998,39710.48621692755
12/1998,40987.67142263472
01/1999,43180.49591356144
02/1999,44826.15320681535
03/1999,46419.171630419725
04/1999,50968.2781548691
05/1999,49231.19545643441
06/1999,51220.390635822136
07/1999,51424.019947361136
08/1999,53136.15459204876
09/1999,53109.849009558115
10/1999,52401.99473611304
11/1999,58943.06690677379
12/1999,67714.36487048068
01/2000,63889.73542041834
02/2000,69253.35919102369
03/2000,66201.68998476243
04/2000,67883.36334672393
05/2000,65207.09239506857
06/2000,63269.15085191855
07/2000,66110.26457958166
08/2000,67077.15750103892
09/2000,62508.657708823936
10/2000,63943.75952347971
11/2000,58922.288405596344
12/2000,58660.47929076049
01/2001,59792.21498822552
02/2001,55385.787505194625
03/2001,50229.94874636376
04/2001,53379.969524864944
05/2001,54445.21401856213
06/2001,49285.219559495774
07/2001,46014.683474165395
08/2001,42113.86618645242
09/2001,34582.35212633329
10/2001,37125.64067045297
11/2001,40595.650367086855
12/2001,41829.89333702729
01/2002,41217.62016899848
02/2002,41634.57542595927
03/2002,44461.8368195041
04/2002,43123.70134367641
05/2002,42025.21124809531
06/2002,38412.522510042945
07/2002,33596.065937110405
08/2002,32932.539132843885
09/2002,27085.468901509907
10/2002,27771.159440365704
11/2002,29857.32095858152
12/2002,26265.410721706612
01/2003,24333.01011220391
02/2003,22616.70591494667
03/2003,22691.508519185485
04/2003,25441.19684166782
05/2003,25755.644826153206
06/2003,27132.56683751212
07/2003,29461.144202798172
08/2003,31297.96370688461
09/2003,30001.38523341183
10/2003,33321.789721568086
11/2003,32595.927413769223
12/2003,32292.561296578475
01/2004,33837.09655076881
02/2004,34623.90912868819
03/2004,33859.26028535808
04/2004,34278.98600914254
05/2004,33795.53954841391
06/2004,34936.97187976174
07/2004,34137.69220113589
08/2004,33422.911760631665
09/2004,34364.87048067599
10/2004,34435.51738467932
11/2004,35588.0315833218
12/2004,35704.3911899155
01/2005,37780.85607424851
02/2005,38695.09627372212
03/2005,38778.22413076604
04/2005,37237.84457681119
05/2005,39603.82324421665
06/2005,40820.0581798033
07/2005,42316.11026457958
08/2005,42602.85358082837
09/2005,44590.66352680427
10/2005,43190.19254744425
11/2005,45456.43440919795
12/2005,48481.78418063444
01/2006,51426.79041418479
02/2006,53235.90525003463
03/2006,54405.042249619066
04/2006,55830.44743039202
05/2006,51964.26097797479
06/2006,52004.43274691786
07/2006,50867.15611580551
08/2006,52727.52458789306
09/2006,54428.59121762017
10/2006,56967.72406150436
11/2006,57246.15597728217
12/2006,61181.604100290904
01/2007,64200.02770466824
02/2007,62885.44119684167
03/2007,64963.29131458651
04/2007,69376.64496467655
05/2007,73226.20861615182
06/2007,73964.53802465716
07/2007,71177.44840005541
08/2007,70049.86840282587
09/2007,69305.99806067323
10/2007,72134.64468762987
11/2007,68685.41349217344
12/2007,68062.05845684998
01/2008,58695.11012605624
02/2008,60015.23756753013
03/2008,57341.73708269843
04/2008,60573.48663249758
05/2008,62706.74608671561
06/2008,55923.25806898463
07/2008,55305.44396730849
08/2008,56431.63873112619
09/2008,47501.03892505888
10/2008,37207.36944175094
11/2008,36543.84263748442
12/2008,36802.88128549661
01/2009,35635.12951932401
02/2009,32914.53109849009
03/2009,33296.85552015515
04/2009,39324.00609502701
05/2009,40088.65493835711
06/2009,40073.41737082699
07/2009,44345.47721291038
