Date,MSCI Emerging Markets Latin America
06/1998,146463.15784313725
07/1998,154073.56111010007
08/1998,100217.84525600364
09/1998,105325.22736933046
10/1998,109277.749895998
11/1998,121122.86170704564
12/1998,111049.18331064987
01/1999,101099.72434996486
02/1999,111123.89526229806
03/1999,137149.71107801155
04/1999,159053.62727186937
05/1999,156159.99330527926
06/1999,165624.90772656858
07/1999,147646.88146624278
08/1999,144836.53744443392
09/1999,145933.0707172996
10/1999,152249.90643834308
11/1999,177498.38613449538
12/1999,206479.62333266975
01/2000,202799.1222755592
02/2000,220094.79709697346
03/2000,225660.70400921177
04/2000,211679.90053935058
05/2000,196638.37207352466
06/2000,208923.5518417748
07/2000,211516.4769230769
08/2000,224816.51095890414
09/2000,214968.43304050202
10/2000,216003.3440180587
11/2000,190162.9247812068
12/2000,185983.20193444384
01/2001,213318.96149790165
02/2001,195265.2587153979
03/2001,191719.2754076087
04/2001,203034.82712933753
05/2001,218886.29554245283
06/2001,216648.71617924527
07/2001,198036.61761279267
08/2001,182743.76763485477
09/2001,154085.4201073267
10/2001,161771.77564698076
11/2001,174272.79932569116
12/2001,195607.17746510837
01/2002,199402.25064258423
02/2002,205911.34102415908
03/2002,213649.9677441541
04/2002,204092.9496447602
05/2002,180870.64391179293
06/2002,147275.18057142856
07/2002,126954.29788408463
08/2002,137852.80211532596
09/2002,112543.34129817445
10/2002,128072.6169708029
11/2002,131805.8077969175
12/2002,127472.85090111569
01/2003,119148.36057692309
02/2003,117005.48914858096
03/2003,122929.51588802204
04/2003,141272.3436169257
05/2003,137193.67897140924
06/2003,145425.43334208452
07/2003,153981.3360487719
08/2003,166075.44099935936
09/2003,160846.76199794025
10/2003,173647.56907589055
11/2003,174417.0430715358
12/2003,183803.50788598575
01/2004,188940.65058139537
02/2004,197413.81285231115
03/2004,203428.4741328534
04/2004,186297.76563153928
05/2004,181282.71028037384
06/2004,188120.05856026328
07/2004,196978.60294044352
08/2004,204696.3950458261
09/2004,215801.53422515918
10/2004,216857.4903509461
11/2004,225498.658217375
12/2004,237953.17001688565
01/2005,244284.91180667432
02/2005,271601.0194161575
03/2005,255702.64984572664
04/2005,248214.8949293818
05/2005,279868.695531587
06/2005,298980.5745947734
07/2005,318833.92170677247
08/2005,333748.8869158879
09/2005,391124.2955156951
10/2005,371132.8844215254
11/2005,409958.0967117002
12/2005,413265.13783165213
01/2006,472162.5301534907
02/2006,486281.23199999996
03/2006,465967.4502313286
04/2006,485762.50294328795
05/2006,407535.896176562
06/2006,430051.46042633516
07/2006,440897.0965927782
08/2006,442342.62169480976
09/2006,452597.29720379144
10/2006,486676.1689508506
11/2006,495238.54349999997
12/2006,531151.7941230069
01/2007,549365.8785548864
02/2007,524196.3800015139
03/2007,557142.2799969965
04/2007,575026.7790959206
05/2007,643328.4946406006
06/2007,658294.0619178083
07/2007,657969.6881155614
08/2007,638929.128858081
09/2007,694662.6550109318
10/2007,763455.4891119262
11/2007,704600.2834631801
12/2007,715991.8755247605
01/2008,664807.7166778749
02/2008,709268.839229907
03/2008,657306.7161522894
04/2008,734752.7999999999
