Date,MSCI World Sector Neutral Quality
12/2020,44489.47531736751
01/2021,44040.632853124254
02/2021,45138.096919129464
03/2021,48552.913062298205
04/2021,49492.071988085554
05/2021,49915.1701995915
06/2021,52320.6949180993
07/2021,53895.17057277928
08/2021,55496.771015089544
09/2021,53276.94377054698
10/2021,56808.80919652815
11/2021,57184.73690095925
12/2021,59489.95248778776
01/2022,56269.93321175332
02/2022,54294.48168865109
03/2022,56542.730382951035
04/2022,54904.03714295794
05/2022,53504.74722382559
06/2022,50474.69557893382
07/2022,55432.69674310282
08/2022,53784.33969167351
09/2022,50136.95525027589
10/2022,52670.28205173309
11/2022,54587.19187392172
12/2022,51067.17656296127
01/2023,53335.574007998825
02/2023,53026.382865971864
03/2023,53810.11086068592
04/2023,54342.8895599499
05/2023,55437.77795224324
06/2023,57702.427540931894
07/2023,58760.365524142864
08/2023,58838.08489194172
09/2023,57485.39779905503
10/2023,56480.18934693551
11/2023,59748.03369833419
12/2023,62022.9281260984
01/2024,64278.78168717809
02/2024,67831.96214128214
03/2024,69905.51644819058
04/2024,67787.95428986567
05/2024,70575.66442319668
06/2024,73133.28924557542
07/2024,72681.90836295788
08/2024,73651.19101124158
09/2024,73488.41481701899
10/2024,73640.78376423322
