Date,MSCI ACWI IMI
06/2011,23767.869834271052
07/2011,23690.522571026067
08/2011,21629.703979715483
09/2011,20888.59876200318
10/2011,22327.420279414546
11/2011,22598.498231824462
12/2011,23366.44425157385
01/2012,24343.185542568604
02/2012,25059.680138388598
03/2012,25383.918092208583
04/2012,25373.62174868568
05/2012,24610.361312020555
06/2012,25398.305095437438
07/2012,26336.88487079991
08/2012,26243.889846223687
09/2012,26423.426432856995
10/2012,26119.55344581255
11/2012,26460.784521371355
12/2012,26668.97248238109
01/2013,27193.046983085973
02/2013,28091.93176499053
03/2013,29376.25207993185
04/2013,29540.135924702154
05/2013,29651.608863776415
06/2013,28622.817559366526
07/2013,29590.384671022126
08/2013,29061.98470402728
09/2013,30016.226309989048
10/2013,30875.962024850312
11/2013,31384.340773361942
12/2013,31523.574244430376
01/2014,30966.779034015948
02/2014,31778.224477290125
03/2014,31948.7570563129
04/2014,32003.505831281418
05/2014,33231.89267868869
06/2014,33812.85863173002
07/2014,33987.72867335699
08/2014,35278.76902490122
09/2014,35663.569310834784
10/2014,36114.02049248705
11/2014,36769.19114362788
12/2014,37181.45951083513
01/2015,39311.4479623496
02/2015,41749.768935308246
03/2015,43040.05599179341
04/2015,42423.872506196756
05/2015,43400.13929858938
06/2015,41607.964397042226
07/2015,42696.76278407774
08/2015,38952.443235106606
09/2015,37569.43889971741
10/2015,41094.63143941768
11/2015,42531.31235959394
12/2015,40557.45886098597
01/2016,37901.13878282814
02/2016,37814.20195771584
03/2016,38899.011189393044
04/2016,39451.33871082726
05/2016,40414.215110506826
06/2016,40312.12599477412
07/2016,42065.76011572842
08/2016,42134.72901238414
09/2016,42332.00328924765
10/2016,42327.91218224228
11/2016,44039.8618064084
12/2016,45389.96975528612
01/2017,45691.56901162304
02/2017,47650.96629579834
03/2017,47791.433223533655
04/2017,47497.484657819245
05/2017,47189.07262373238
06/2017,46673.17364432561
07/2017,46665.247814182556
08/2017,46442.18209358476
09/2017,47514.013554774974
10/2017,49174.64230251551
11/2017,49247.101729180664
12/2017,49449.22790393769
01/2018,50174.49384822542
02/2018,49036.35562889256
03/2018,47702.11287817909
04/2018,49112.2151098551
05/2018,50907.35670243558
06/2018,50779.76312222537
07/2018,51839.716990955065
08/2018,52697.669066587754
09/2018,53123.38018831415
10/2018,50083.974277518275
11/2018,50608.33464291432
12/2018,46573.65890210797
01/2019,50196.95877598484
02/2019,51919.00631750869
03/2019,53299.96837157084
04/2019,55146.16410010688
05/2019,52155.61792528287
06/2019,54392.7087136429
07/2019,55677.24436171629
08/2019,54838.76706718096
09/2019,56744.77876329698
10/2019,56921.65616000361
11/2019,59253.40659352288
12/2019,59978.63036043998
01/2020,60159.63334315284
02/2020,55613.565023236995
03/2020,47701.137462092214
04/2020,53344.2453562718
05/2020,54494.46887525709
06/2020,55925.40998067275
07/2020,55603.454615805276
08/2020,58514.947859014144
09/2020,57824.73504360149
10/2020,56621.246641926664
11/2020,62288.15025715866
12/2020,63833.736418142136
01/2021,64429.86176369094
02/2021,66225.581355952
03/2021,70236.96823320948
04/2021,71120.2887239932
05/2021,71477.03305313924
06/2021,74269.61094602339
07/2021,74600.65910506094
08/2021,76815.12612974625
09/2021,75377.07207653372
10/2021,78595.86786624357
11/2021,78384.24394024369
12/2021,81762.29326348762
01/2022,78701.09736427854
02/2022,76604.95445049345
03/2022,78857.8168624672
04/2022,76460.38022396083
05/2022,75268.20854682178
06/2022,70933.75562583712
07/2022,77409.44774670928
08/2022,76139.42986959087
09/2022,70568.48402980351
10/2022,73655.9452467304
11/2022,75732.28801024039
12/2022,70843.48848513191
01/2023,74889.1722674244
02/2023,74275.25855081115
03/2023,74310.7911885226
04/2023,74530.4340709153
05/2023,75685.21111375005
06/2023,78750.58969774755
07/2023,80597.18343828608
08/2023,79399.61266715317
09/2023,78024.30760036127
10/2023,75247.6881515979
11/2023,79856.75325937847
12/2023,83140.1539955182
01/2024,84965.8560870645
02/2024,88605.87088875064
03/2024,91534.5234197493
04/2024,89194.85412615593
05/2024,91662.79933181901
06/2024,94642.13614474967
07/2024,95492.10814215046
08/2024,95439.06679587993
09/2024,96685.71783909775
10/2024,97171.81204128353
