Date,MSCI AC Far East ex-Japan
07/1994,46579.062836065576
08/1994,50430.540915805024
09/1994,49086.897954213346
10/1994,49084.68260869566
11/1994,45070.185598836266
12/1994,44855.85244928253
01/1995,39226.48000646255
02/1995,42718.16907957814
03/1995,41255.227307633235
04/1995,40082.94612835192
05/1995,45661.44699403396
06/1995,44599.591201456315
07/1995,44777.36338556113
08/1995,43938.12443036997
09/1995,45274.0579206759
10/1995,43892.66716981132
11/1995,43525.48242648761
12/1995,46414.93152489219
01/1996,51284.04524678622
02/1996,51401.59829209897
03/1996,51782.291465943534
04/1996,53685.246428571416
05/1996,53807.676088903376
06/1996,52314.61473463123
07/1996,47807.959618138426
08/1996,49085.05054789121
09/1996,50760.89312977099
10/1996,49956.90595836325
11/1996,52139.26261417323
12/1996,52953.90924748492
01/1997,55184.66309523809
02/1997,57803.04841687516
03/1997,55278.03487519637
04/1997,54160.36363636363
05/1997,56736.32501093518
06/1997,58907.59394904458
07/1997,60841.48592471358
08/1997,51055.274740484434
09/1997,49342.64875694381
10/1997,36628.3743025751
11/1997,33592.77404326123
12/1997,32955.14030038672
01/1998,30874.060226331774
02/1998,37873.94591021757
03/1998,37085.67581313923
04/1998,33041.56615722523
05/1998,27498.95753424658
06/1998,24683.68545751634
07/1998,24055.610937215653
08/1998,20255.573719981876
09/1998,21391.218038876887
10/1998,26226.491521757216
11/1998,29443.163838712433
12/1998,29667.365430418515
01/1999,29635.859188334503
02/1999,30077.999836630966
03/1999,34318.70348166077
04/1999,42820.83986033783
05/1999,41446.81187834736
06/1999,49239.595701006976
07/1999,45732.95700392743
08/1999,47013.08676818311
09/1999,42877.18616033755
10/1999,45853.408705634756
11/1999,52206.115400614035
12/1999,56280.32138164444
01/2000,56507.198876519244
02/2000,53953.5348363187
03/2000,57469.267580864645
04/2000,55509.34428178316
05/2000,49807.35730409546
06/2000,50795.82557555463
07/2000,50642.14858812074
08/2000,51898.592162587025
09/2000,46634.71810610383
10/2000,44770.6848758465
11/2000,41230.9985720866
12/2000,38403.972058033316
01/2001,43619.87532551383
02/2001,41706.6152465398
03/2001,39028.678328804344
04/2001,38986.32390716539
05/2001,40576.21492924528
06/2001,39726.84502358491
07/2001,37015.87682467161
08/2001,34821.98962655602
09/2001,29369.58615704742
10/2001,31181.29210351692
11/2001,36056.93162508429
12/2001,39702.80444797459
01/2002,42178.09538034039
02/2002,42227.87973644666
03/2002,44933.73899587346
04/2002,44137.4273312611
05/2002,41535.63950143816
06/2002,36988.75199999999
07/2002,36340.76688132475
08/2002,35358.74803213669
09/2002,31253.583286004054
10/2002,32911.56076642336
11/2002,34353.56409791478
12/2002,30284.65277009631
01/2003,29711.161464497043
02/2003,28498.728046744574
03/2003,26916.72468104636
04/2003,27309.60792381637
05/2003,27943.80400947386
06/2003,30594.286846941453
07/2003,33550.20604347058
08/2003,37302.3753637778
09/2003,35143.52023686921
10/2003,38218.41171915333
11/2003,36475.57173586793
12/2003,36451.23463182898
01/2004,39696.10072674419
02/2004,41064.257819294566
03/2004,40897.55409031414
04/2004,39412.01473173181
05/2004,37704.83271028038
06/2004,37476.97337721102
07/2004,36836.91971093945
08/2004,38544.704632152585
09/2004,38943.197421226534
10/2004,38100.292910418466
11/2004,39643.616186536296
12/2004,39746.52893326481
01/2005,41905.85426927502
02/2005,43625.803258655804
03/2005,42522.867047207656
04/2005,42128.33706876591
05/2005,45321.04345146378
06/2005,47302.64449222626
07/2005,50436.020838501616
08/2005,48406.892523364484
09/2005,51522.12391629298
10/2005,48369.0545953589
11/2005,52947.458373693604
12/2005,55915.727320505204
01/2006,58395.00420861528
02/2006,59451.102719999995
03/2006,58964.56640779909
04/2006,60999.8096195262
05/2006,55432.150948088296
06/2006,55778.828018563676
07/2006,55643.20712775124
08/2006,56930.39621819315
09/2006,59534.471232227486
10/2006,60922.69097353497
11/2006,63257.346
12/2006,66212.12706150342
01/2007,66282.48036127836
02/2007,65509.42563015669
03/2007,66432.0747860039
04/2007,67417.03342888644
05/2007,72035.15010778265
06/2007,75719.08109589042
07/2007,80138.0303348654
08/2007,79303.3243341846
09/2007,85636.58533041822
10/2007,92441.03049768119
11/2007,82039.25702865659
12/2007,81105.59853270836
01/2008,69232.69755211835
02/2008,72621.87917188634
03/2008,65984.78397419682
04/2008,72396.02571428572
