Date,STOXX Europe 600 Technology
03/1996,19283.16478286734
04/1996,19534.007535197303
05/1996,20333.135038667464
06/1996,19604.40214158239
07/1996,18873.68629783859
08/1996,20076.343446361294
09/1996,21170.930001982946
10/1996,21114.416022209003
11/1996,22245.68709101725
12/1996,22282.371604203847
01/1997,24919.690660321237
02/1997,25868.530636525884
03/1997,27187.190164584572
04/1997,27657.148522704738
05/1997,28157.8425540353
06/1997,31464.40610747571
07/1997,36495.14178068609
08/1997,33467.18223279794
09/1997,37276.422764227646
10/1997,33937.140590918105
11/1997,33335.316279992076
12/1997,33142.97045409478
01/1998,35888.36010311323
02/1998,39917.7077136625
03/1998,43953.00416418799
04/1998,46104.50128891533
05/1998,49332.73844933572
06/1998,49931.58834027364
07/1998,51912.55205234979
08/1998,42971.44556811422
09/1998,35348.00713860797
10/1998,38392.82173309538
11/1998,43839.976204640094
12/1998,44201.86396985921
01/1999,48953.99563751735
02/1999,47029.54590521515
03/1999,49745.191354352566
04/1999,52810.826888756696
05/1999,51793.5752528257
06/1999,58346.22248661511
07/1999,57505.45310331152
08/1999,58174.69760063454
09/1999,58610.94586555622
10/1999,66883.79932579814
11/1999,82100.93198492962
12/1999,104702.55800118977
01/2000,109070.98949038271
02/2000,130534.40412452906
03/2000,123296.64882014674
04/2000,128071.58437438033
05/2000,116047.98730914139
06/2000,116002.37953599048
07/2000,117689.86714257387
08/2000,128455.28455284554
09/2000,107468.76859012492
10/2000,105328.17767202063
11/2000,88317.46976006345
12/2000,88081.499107674
01/2001,87076.14515169543
02/2001,62189.173111243304
03/2001,56622.050366845135
04/2001,68854.8483045806
05/2001,64457.66408883601
06/2001,54000.59488399762
07/2001,49027.36466389054
08/2001,39420.97957564941
09/2001,32591.711282966495
10/2001,40917.11282966488
11/2001,48331.350386674596
12/2001,50929.99206821337
01/2002,48214.35653380924
02/2002,45720.80111045013
03/2002,48005.15566131271
04/2002,38099.34562760262
05/2002,33272.84354550863
06/2002,29016.458457267505
07/2002,24231.608169740233
08/2002,23959.944477493555
09/2002,18172.714653975807
10/2002,25303.390838786436
11/2002,28466.19075946857
12/2002,22066.230418401745
01/2003,21379.13940115011
02/2003,20165.56613127107
03/2003,20019.819551854056
04/2003,24164.187983343247
05/2003,24483.442395399565
06/2003,24533.016061867937
07/2003,26526.868927225856
08/2003,29072.972437041444
09/2003,26615.11005353956
10/2003,30494.745191354352
11/2003,30725.758477096966
12/2003,29967.281380130873
01/2004,34087.84453698195
02/2004,36027.166369224666
03/2004,34777.90997422169
04/2004,30431.290898274838
05/2004,30484.830458060682
06/2004,31565.536387071188
07/2004,27794.95340075352
08/2004,26390.04560777315
09/2004,28505.849692643267
10/2004,29642.078128098357
11/2004,30702.954590521516
12/2004,29704.5409478485
01/2005,28914.336704342655
02/2005,29757.089034304976
03/2005,29023.398770573072
04/2005,28499.900852667062
05/2005,31568.51080705929
06/2005,32732.500495736665
07/2005,33438.429506246284
08/2005,32424.142375570096
09/2005,34974.22169343645
10/2005,33446.35137814793
11/2005,35195.320245885385
12/2005,36442.593694229625
01/2006,37113.82113821138
02/2006,37492.56395002975
03/2006,40175.49077929804
04/2006,39212.770176482256
05/2006,36237.35871505056
06/2006,35814.991076740036
07/2006,33774.53896490185
08/2006,35758.4770969661
09/2006,36151.1005353956
10/2006,36832.24271267103
11/2006,36856.03807257585
12/2006,38121.1580408487
01/2007,38014.078921277025
02/2007,36780.68609954393
03/2007,37350.78326393021
04/2007,39313.90045607773
05/2007,40835.81201665675
06/2007,41944.27919888955
07/2007,40967.677969462624
08/2007,42272.45687091017
09/2007,43906.40491770771
10/2007,42015.66527860401
11/2007,39200.872496529846
12/2007,38183.62086059885
01/2008,34422.96252230815
02/2008,33217.32103906405
03/2008,29595.478881618084
04/2008,31684.51318659528
05/2008,32611.54074955384
06/2008,27715.645449137417
07/2008,29934.56276026175
08/2008,30965.695022803888
09/2008,25460.043624826492
10/2008,21649.81162006742
11/2008,20094.180051556614
12/2008,19566.72615506643
01/2009,19500.29744199881
02/2009,17471.743010113027
03/2009,18744.794765020823
04/2009,22090.025778306564
05/2009,22343.84295062463
06/2009,22134.642078128098
07/2009,22833.630775332145
08/2009,23891.5328177672
09/2009,24829.4665873488
10/2009,22959.547888161807
11/2009,22835.613721990878
12/2009,24025.381717231805
01/2010,25348.99861193734
02/2010,25167.558992663096
03/2010,28071.58437438033
04/2010,27311.1243307555
05/2010,25948.839976204647
06/2010,25567.122744398177
07/2010,25585.960737656158
08/2010,24047.194130477892
09/2010,26096.56950228039
10/2010,26696.41086654769
11/2010,26375.17350783264
12/2010,28559.38925242911
01/2011,30280.58695221099
02/2011,30981.558596073766
03/2011,30125.917112829666
04/2011,30927.027562958556
05/2011,29962.324013484038
06/2011,28974.816577434067
07/2011,27180.249851279
08/2011,25383.7001784652
09/2011,24468.570295459052
10/2011,26899.662899068015
11/2011,26249.256395002976
12/2011,25358.913345231012
01/2012,26553.63870711878
02/2012,28459.250446162998
03/2012,29313.900456077736
04/2012,27358.71505056514
05/2012,25815.982550069402
06/2012,25918.104302994256
07/2012,28227.245687091017
08/2012,28373.9837398374
09/2012,28230.22010707912
10/2012,28520.721792583783
11/2012,30808.050763434465
12/2012,31462.423160816976
01/2013,33129.08982748364
02/2013,33891.532817767205
03/2013,34115.59587547095
04/2013,34286.13920285544
05/2013,34934.562760261746
06/2013,33734.880031727145
07/2013,35116.99385286536
08/2013,35345.03271861987
09/2013,38403.71802498513
10/2013,38598.05671227444
11/2013,39927.62244695618
12/2013,40355.929010509615
01/2014,38449.335712869324
02/2014,40146.73805274638
03/2014,40321.23735871505
04/2014,38664.48542534206
05/2014,40195.32024588539
06/2014,39543.91235375768
07/2014,40356.93039857228
08/2014,41491.17588736863
09/2014,41778.70315288519
10/2014,40277.61253222288
11/2014,42656.157049375375
12/2014,43956.97005750545
01/2015,46034.10668253024
02/2015,49695.617687884194
03/2015,50710.88637715646
04/2015,49438.82609557803
05/2015,52062.264525084276
06/2015,48269.879040253814
07/2015,49492.36565536387
08/2015,44936.545706920486
09/2015,44635.13781479278
10/2015,49434.86020226056
11/2015,52463.811223478086
12/2015,50723.77553043823
01/2016,49050.16855046599
