Date,Bloomberg Barclays US Government Inflation-Linked Bond
06/2014,14685.769914214146
07/2014,15007.78482466088
08/2014,15308.882045146836
09/2014,15613.499730987016
10/2014,15839.962132632936
11/2014,15940.076294558734
12/2014,16222.102312641322
01/2015,17997.89054270389
02/2015,17866.31633707447
03/2015,18574.317430799903
04/2015,17942.851117561746
05/2015,18175.13547860059
06/2015,17624.79115850751
07/2015,18036.903102915563
08/2015,17488.64892257114
09/2015,17388.02968946339
10/2015,17736.707343268998
11/2015,18455.038414185365
12/2015,17780.16310913935
01/2016,17999.03518240025
02/2016,18264.729542991146
03/2016,17795.843100178754
04/2016,17836.334134654448
05/2016,18096.908720175143
06/2016,18578.719546890286
07/2016,18745.71125311776
08/2016,18632.612939900308
09/2016,18677.54350628743
10/2016,18953.212941015183
11/2016,19113.21924511781
12/2016,19253.898700305646
01/2017,19034.990568766403
02/2017,19422.693298239672
03/2017,19243.02113961179
04/2017,18936.391565290993
05/2017,18438.438939768454
06/2017,17952.787885510912
07/2017,17544.510536075955
08/2017,17599.11051279203
09/2017,17510.22217987267
10/2017,17801.259469240696
11/2017,17516.206565266704
12/2017,17480.88581662646
01/2018,16681.13753150703
02/2018,16829.151241149513
03/2018,16864.629596701117
04/2018,17198.150658036306
05/2018,17829.84421049226
06/2018,17971.40913221298
07/2018,17759.42572153937
08/2018,18020.228810821904
09/2018,17931.470106616645
10/2018,18053.98663272946
11/2018,18084.261924237577
12/2018,18039.332539440253
01/2019,18231.898667310925
02/2019,18340.87885568742
03/2019,18997.767930621118
04/2019,19086.717745403446
05/2019,19547.483467958664
06/2019,19309.041367441587
07/2019,19783.338810193727
08/2019,20506.637163205763
09/2019,20477.57119355288
10/2019,20040.226758054465
11/2019,20390.19569881641
12/2019,19995.275085200105
01/2020,20782.629276445496
02/2020,21237.367905936426
03/2020,20897.653482355523
04/2020,21665.731407789357
05/2020,21212.567357594777
06/2020,21337.039327388607
07/2020,20677.0657669686
08/2020,20725.719757215647
09/2020,21057.004399979698
10/2020,20930.052615316632
11/2020,20680.104887539757
12/2020,20418.736594379447
01/2021,20704.195727616338
02/2021,20348.593343428896
03/2021,20979.784173629447
04/2021,20663.133522160544
05/2021,20712.37735961817
06/2021,21414.518454805584
07/2021,22003.54551173584
08/2021,22063.493169629448
09/2021,22373.08038347844
10/2021,22509.63477892516
11/2021,23299.603123932822
12/2021,23449.29156095692
01/2022,23278.200125191168
02/2022,23379.931949787762
03/2022,23131.46944347724
04/2022,23830.860442417732
05/2022,23160.115306582727
06/2022,23098.05098133828
07/2022,24592.815903909985
08/2022,24405.365650122927
09/2022,23317.080618189953
10/2022,23215.959797837713
11/2022,22607.59761136962
12/2022,21762.28792169195
01/2023,21836.614430914593
02/2023,21969.323854862272
03/2023,22079.442384046924
04/2023,21881.61925684249
05/2023,22223.363257208694
06/2023,21786.251859185842
07/2023,21487.90585807683
08/2023,21590.10268039664
09/2023,21720.26750154529
10/2023,21491.89386106033
11/2023,21462.523216220972
12/2023,21812.70683335823
01/2024,22275.667059031075
02/2024,22060.382281073937
03/2024,22271.469769310006
04/2024,22072.52396205959
05/2024,22189.934743241178
06/2024,22663.406421987573
07/2024,22811.831127596426
08/2024,22458.170707944308
09/2024,22575.946862845663
