Date,MSCI Japan
05/1987,97240.99981763314
06/1987,91663.57891811932
07/1987,89743.22602427776
08/1987,101722.52358535728
09/1987,95579.11405711225
10/1987,87776.98563271694
11/1987,85777.54367702047
12/1987,84258.05527581586
01/1988,89737.97097550258
02/1988,99314.10349755923
03/1988,105360.0246207257
04/1988,105829.22131092058
05/1988,102051.56801370702
06/1988,101860.6883584851
07/1988,111906.30833375127
08/1988,105779.04250352303
09/1988,109538.93628294807
10/1988,115750.90218695617
11/1988,121051.4220964898
12/1988,121879.21964166267
01/1989,127089.4882151675
02/1989,131158.23713931855
03/1989,127426.5974224084
04/1989,127929.09969141438
05/1989,125869.78143095328
06/1989,122401.69446131111
07/1989,132595.98124096505
08/1989,125359.16969963258
09/1989,135395.79590903124
10/1989,126886.12960675632
11/1989,131452.11303932048
12/1989,125814.85884620358
01/1990,114784.58456596619
02/1990,101557.15646757388
03/1990,83300.45923460899
04/1990,83273.81724461493
05/1990,93640.75398122345
06/1990,89874.91687536942
07/1990,85987.31561541185
08/1990,74206.45525929057
09/1990,62166.3284438513
10/1990,74975.42969682332
11/1990,64662.33924032415
12/1990,68502.75701383656
01/1991,70625.98370597736
02/1991,78210.48654282023
03/1991,79835.5275993048
04/1991,86185.78306602323
05/1991,86937.83344335803
06/1991,83690.75928436923
07/1991,86390.54596533357
08/1991,79823.08888303986
09/1991,84399.77298631282
10/1991,87929.99262236495
11/1991,78663.4932758445
12/1991,78574.3236422599
01/1992,75461.68237328941
02/1992,70687.74159500583
03/1992,64709.4811490762
04/1992,60178.12039102842
05/1992,63749.84201357766
06/1992,56263.47308458255
07/1992,52973.65840282118
08/1992,60786.102796165986
09/1992,60699.46677322925
10/1992,60288.302435662255
11/1992,65897.53887249778
12/1992,64881.45494014135
01/1993,65932.88004824944
02/1993,70501.19715426695
03/1993,80814.9746467242
04/1993,91940.6530439856
05/1993,94705.89120054504
06/1993,96117.78984425767
07/1993,106539.99274550797
08/1993,109695.47532741776
09/1993,100327.05226353322
10/1993,101042.65375648926
11/1993,86536.04265972387
12/1993,89240.72016413017
01/1994,105054.12606665488
02/1994,109434.69780053425
03/1994,102587.37675317004
04/1994,107270.15865756752
05/1994,107262.4963006383
06/1994,110724.89300531021
07/1994,103458.35383815673
08/1994,104282.49364155962
09/1994,100618.29761575002
10/1994,101401.55452428861
11/1994,97730.80359602466
12/1994,100874.19145144337
01/1995,93049.6593380116
02/1995,87586.42801075884
03/1995,91929.31235533366
04/1995,94570.85688086262
05/1995,90076.02012203178
06/1995,85056.05422103044
07/1995,90758.65997789193
08/1995,89747.54040672386
09/1995,91670.02017859006
10/1995,85196.55769534098
11/1995,90434.26778605317
12/1995,96563.1382097412
01/1996,96451.13688596622
