Date,STOXX Europe 50
05/1995,22491.10476608829
06/1995,22471.630426824802
07/1995,23348.122117285304
08/1995,23787.539351343436
09/1995,24209.092905776408
10/1995,24251.116479976572
11/1995,25179.14927886375
12/1995,26061.351489860164
01/1996,26962.735192913096
02/1996,27005.051614320226
03/1996,27131.41518412768
04/1996,27877.0041730727
05/1996,28004.978402518485
06/1996,28033.677428801522
07/1996,27237.57229665422
08/1996,27973.93659857969
09/1996,29326.01215315909
10/1996,29707.152793030233
11/1996,31721.50230617175
12/1996,32310.8573101984
01/1997,34374.69800131781
02/1997,35893.110769456034
03/1997,37143.12907240647
04/1997,38327.25675378871
05/1997,39885.49674207482
06/1997,43068.01376381872
07/1997,47366.5714913244
08/1997,43537.44783659126
09/1997,47051.467896624934
10/1997,43361.593088805916
11/1997,44924.07936159309
12/1997,47062.4496668863
01/1998,50047.14840032213
02/1998,53738.92671498645
03/1998,57924.29899699831
04/1998,58094.73607145472
05/1998,59926.20250384362
06/1998,62031.47961051321
07/1998,63314.59111208726
08/1998,54907.82634160626
09/1998,49374.039095102125
10/1998,53135.95431583571
11/1998,58440.73504648949
12/1998,60605.02232959954
01/1999,62910.901237279446
02/1999,63157.3321619445
03/1999,65281.792224906654
04/1999,68945.60363130536
05/1999,66389.34036166631
06/1999,69067.42806940478
07/1999,66836.95731751958
08/1999,68411.596749396
09/1999,67147.37535690753
10/1999,72380.99421626766
11/1999,79265.24635771285
12/1999,87822.97386338677
01/2000,83756.49754740464
02/2000,90504.7221612124
03/2000,93915.21926934621
04/2000,94682.18756863606
05/2000,92102.64294604289
06/2000,90208.067940552
07/2000,91074.74924957902
08/2000,93955.48576030455
09/2000,89523.68401786368
10/2000,92814.4080825829
11/2000,86573.68767845376
12/2000,85509.92019913609
01/2001,85573.46804304853
02/2001,77175.3408009371
03/2001,75472.58218024745
04/2001,80753.93513434366
05/2001,80423.60348488175
06/2001,76940.18595797643
07/2001,74564.90226224466
08/2001,69207.26261073284
09/2001,63588.696097810964
10/2001,66017.27798521121
11/2001,68080.82582912366
12/2001,70489.201259243
01/2002,68353.17373160554
02/2002,67905.84962295921
03/2002,70828.02547770701
04/2002,67423.52880884398
05/2002,64772.677355589716
06/2002,59107.401713156156
07/2002,52896.11245332747
08/2002,52590.233545647556
09/2002,44966.981477414156
10/2002,49783.58591404934
11/2002,51790.760670620104
12/2002,47224.24774873709
01/2003,43575.51650926129
02/2003,42315.25001830295
03/2003,41218.53722820118
04/2003,45738.92525075042
05/2003,45882.56827000512
06/2003,47560.72918954535
07/2003,49187.05615345194
08/2003,49520.75554579398
09/2003,47696.610293579324
10/2003,50754.813675964564
11/2003,51422.50530785562
12/2003,53299.509480928326
01/2004,54040.85218537228
02/2004,55220.44073504648
03/2004,53758.547477853426
04/2004,54861.117212094585
05/2004,54474.266051687526
06/2004,54820.11860311882
07/2004,54090.63621055714
08/2004,53728.09136832857
09/2004,54745.14971813456
10/2004,55241.818581155276
11/2004,56325.646094150376
12/2004,57111.208726846766
01/2005,58039.387949337426
02/2005,59740.830221831755
03/2005,59435.09773775532
04/2005,58730.800204993044
05/2005,61529.39453839959
06/2005,63750.787026868726
07/2005,65920.34555970422
08/2005,65679.3323083681
09/2005,68806.20836078776
10/2005,67578.73929277399
11/2005,69109.01237279449
12/2005,70912.21904971081
01/2006,72997.14473973204
02/2006,73649.46189325719
03/2006,74834.9073870708
04/2006,75626.32696390658
05/2006,72338.97064206749
06/2006,72955.85328354931
07/2006,74483.19789150011
08/2006,76426.38553334797
09/2006,77057.03199355735
10/2006,79663.8114063987
11/2006,78449.66688630206
12/2006,80539.57097884179
01/2007,81959.58708543816
02/2007,80011.5674646753
03/2007,81397.32044805623
04/2007,84924.37220880005
05/2007,87285.74566220074
06/2007,87747.71066695951
07/2007,84387.72970202797
08/2007,84113.18544549381
09/2007,85380.77458086243
10/2007,86922.0294311443
11/2007,84177.75825463064
12/2007,82647.77802181711
01/2008,72745.58898894502
02/2008,71783.29160260633
03/2008,68299.58269273008
04/2008,73547.55106523172
05/2008,73159.08924518632
06/2008,66912.36547331429
07/2008,66370.74456402371
08/2008,67415.18412768138
09/2008,61022.03675232447
10/2008,54038.07013690606
11/2008,50328.57456622007
12/2008,48581.74097664543
01/2009,46286.40456841642
02/2009,41548.283183249136
03/2009,42742.660516875316
04/2009,47946.55538472802
05/2009,50778.534299729115
06/2009,50248.48085511384
07/2009,54916.31891060839
08/2009,57738.04817336554
09/2009,59049.71081338311
10/2009,58015.66732557288
11/2009,58811.333186909724
12/2009,62545.72077018816
01/2010,59984.4790980306
02/2010,59965.73687678453
03/2010,64030.89538033531
04/2010,62048.75905996046
05/2010,59182.37059814041
06/2010,58347.31678746614
07/2010,61259.09510213046
08/2010,60768.87034189911
09/2010,61635.99092173658
10/2010,63199.648583351634
11/2010,61791.49278863752
12/2010,64505.60070283329
01/2011,66271.17651365399
02/2011,67949.19100959074
03/2011,64888.644849549746
04/2011,67128.92598286843
05/2011,67110.9158796398
06/2011,65429.5336408229
07/2011,64148.03426312321
08/2011,57380.92100446592
09/2011,55485.61388095761
10/2011,59584.889084120354
