Date,STOXX Europe 600 Personal & Household Goods
08/2007,55260.48745130017
09/2007,56104.01377185829
10/2007,56467.33713871523
11/2007,55101.02382893902
12/2007,55851.218628250426
01/2008,48765.969013318834
02/2008,48645.465253239105
03/2008,47679.623085983505
04/2008,48447.04176859654
05/2008,48993.38588384524
06/2008,43331.521246715594
07/2008,44350.81996919453
08/2008,44927.06351363595
09/2008,42282.32309504394
10/2008,37153.21192352994
11/2008,34962.39920268189
12/2008,33417.59536105826
01/2009,34080.81906315122
02/2009,32239.739059527044
03/2009,31465.978073751925
04/2009,34995.92280511008
05/2009,36100.389598622816
06/2009,36352.269638488724
07/2009,40651.445139077645
08/2009,41747.75754281054
09/2009,42755.277702274165
10/2009,43041.58738787714
11/2009,43250.88339222615
12/2009,47448.58204222163
01/2010,48867.44586391229
02/2010,49334.05816798043
03/2010,52622.08933587025
04/2010,52077.55730723929
05/2010,51399.8369122044
06/2010,53459.27335326628
07/2010,54074.476759989135
08/2010,53949.44278336505
09/2010,57713.1466884117
10/2010,58080.09422850412
11/2010,59436.44106188275
12/2010,61957.959590468425
01/2011,59015.130923258126
02/2011,61065.50693123131
03/2011,59687.415058439794
04/2011,62062.15457098849
05/2011,64268.37002808734
06/2011,62910.21110809097
07/2011,64279.24254779378
08/2011,59717.31448763251
09/2011,56992.84225785992
10/2011,62405.544985050285
11/2011,62671.92171785811
12/2011,63974.811996013406
01/2012,66281.59826039684
02/2012,70511.00842620277
03/2012,72073.9331340038
04/2012,72919.26248074658
05/2012,70573.5254145148
06/2012,71588.29392044939
07/2012,76042.40282685512
08/2012,76888.64727733986
09/2012,73959.40925976261
10/2012,75169.88312041316
11/2012,80365.13545347468
12/2012,79439.15919180936
01/2013,80832.65380085168
02/2013,82974.54018302074
03/2013,87413.24635317568
04/2013,88159.82603968469
05/2013,90511.91446951164
06/2013,86408.44432363867
07/2013,89281.50765606595
08/2013,87056.26528948083
09/2013,90715.77421400743
10/2013,92780.64691492253
11/2013,92919.27154117967
12/2013,92773.39856845156
01/2014,88698.92180846244
02/2014,94302.79967382441
03/2014,93110.44667935127
04/2014,95644.64981426114
05/2014,99764.42873969376
06/2014,98733.35145419951
07/2014,95930.05345655522
08/2014,97596.26710156746
09/2014,97290.02446316933
10/2014,98613.75373742865
11/2014,105233.30615203406
12/2014,103828.03297997644
01/2015,115048.47331702455
02/2015,122246.08136268913
03/2015,121080.90060704901
04/2015,123037.96321464166
05/2015,126376.73280782822
06/2015,121087.2519706442
07/2015,131533.02527860831
08/2015,118961.67436803479
09/2015,121429.73634139712
10/2015,132176.31602790614
11/2015,132280.5110084262
12/2015,126302.43725650085
01/2016,125288.57479387514
02/2016,124097.12784271088
03/2016,125817.70408625531
04/2016,125942.7380628794
05/2016,130616.10038959862
06/2016,130012.68460632418
07/2016,131528.49506206397
08/2016,130963.12403732898
09/2016,131378.99791610037
10/2016,127421.4007429555
11/2016,126234.4840083356
12/2016,131920.81181480474
01/2017,133491.8909123856
02/2017,142063.06061429737
03/2017,148344.6588746942
04/2017,152868.53311588292
05/2017,155589.38117242005
06/2017,149042.31222252423
07/2017,145279.51436078644
08/2017,146034.2484370753
09/2017,147827.30814532933
10/2017,152236.11488629156
11/2017,146439.24979614024
12/2017,147699.55603877865
01/2018,146873.24454108905
02/2018,137451.3001721482
03/2018,140209.29600434902
04/2018,146188.2757995832
05/2018,148029.35580320738
06/2018,146048.7451300172
07/2018,150829.93567092507
08/2018,148863.82169067682
09/2018,146818.88194255685
10/2018,138863.82169067682
11/2018,132921.98967110628
12/2018,127899.79161003897
01/2019,135349.27969556945
02/2019,141574.70327081633
03/2019,151288.39358521337
04/2019,154761.2575881127
05/2019,149245.26592371115
06/2019,154566.4582767056
07/2019,157213.01078191536
08/2019,157199.4201322823
09/2019,158409.89399293286
10/2019,157919.7245628341
11/2019,164149.67835462536
12/2019,166878.68080094227
01/2020,167927.87895261392
02/2020,153255.4136087705
03/2020,138958.05019479932
04/2020,149845.97263749206
05/2020,154534.74676089516
06/2020,157673.2807828214
07/2020,154091.69158285766
08/2020,157916.1003895986
09/2020,163108.63459273352
10/2020,155534.11253057895
11/2020,171290.2056718311
12/2020,176804.38524961492
01/2021,170540.00181208662
02/2021,171171.5139983691
03/2021,184735.88837546433
04/2021,190539.09576877774
05/2021,201484.09893992936
06/2021,203648.63640482014
07/2021,203629.60949533386
08/2021,198009.42285041223
09/2021,190996.6476397572
10/2021,201890.00634230318
11/2021,205276.79623085982
12/2021,213731.9923892362
01/2022,204891.72782459
02/2022,196189.18184289208
03/2022,188864.72773398567
04/2022,188231.40346108546
05/2022,185374.64890821782
06/2022,179169.15828576605
07/2022,197727.6433813536
08/2022,188552.14279242547
09/2022,175788.71070037148
10/2022,180983.96303343298
11/2022,200896.07683247258
12/2022,191179.66838814894
01/2023,209748.110899701
02/2023,210862.55323004437
03/2023,219420.12322189
04/2023,228142.61121681618
05/2023,213072.39286037872
06/2023,221171.5139983691
07/2023,222333.96756364952
08/2023,211864.6371296548
09/2023,200083.35598441603
10/2023,192749.84144242093
11/2023,202513.36413880583
12/2023,207107.00371477756
01/2024,212237.9179124762
02/2024,220720.30443055177
03/2024,220568.08915466157
04/2024,216075.9264292833
05/2024,219556.02971822052
06/2024,214682.431820241
07/2024,214142.4209477213
08/2024,219218.08462444507
09/2024,222366.58512276888
