Date,CAC 40
06/2023,115855.73232362581
07/2023,117476.25057782902
08/2023,114638.94126140726
09/2023,111918.70400091413
10/2023,108006.60672826714
11/2023,114758.50642234238
12/2023,118551.81762936879
01/2024,120489.47961626959
02/2024,124756.8962920257
03/2024,129267.65040435047
04/2024,126771.84453412695
05/2024,128758.79728459314
06/2024,120777.12160639066
07/2024,121710.73749162474
08/2024,123318.01112548109
09/2024,123529.45759384203
