Date,Russell Midcap
12/2011,14388.842881788865
01/2012,14986.755176356972
02/2012,15298.509309880254
03/2012,15743.120309417776
04/2012,15859.606058636218
05/2012,15763.339958353852
06/2012,15966.014683778438
07/2012,16401.503081995343
08/2012,16479.86462425105
09/2012,16414.501117412034
10/2012,16169.774061215261
11/2012,16444.484329639643
12/2012,16548.744446006694
01/2013,17216.314192522157
02/2013,18019.707903102837
03/2013,19260.97451635992
04/2013,19109.324908491755
05/2013,19618.799422165906
06/2013,19272.42501779604
07/2013,20089.888352701393
08/2013,19614.255144491854
09/2013,20102.35965100735
10/2013,20605.231006769798
11/2013,20993.507196376067
12/2013,21336.33506992173
01/2014,21346.69075231899
02/2014,22113.238611591376
03/2014,22094.03307840989
04/2014,21868.74364418898
05/2014,22752.465994087444
06/2014,23412.732153761783
07/2014,23195.239181064164
08/2014,24667.393696989835
09/2014,24990.236609889183
10/2014,25881.78332881102
11/2014,26631.246872888427
12/2014,27439.42260405284
01/2015,29008.72671880064
02/2015,30791.897318158644
03/2015,32187.72961578638
04/2015,30598.32647127995
05/2015,31739.93378523944
06/2015,30475.120647932945
07/2015,31322.629954655145
08/2015,29013.667734674105
09/2015,27999.05112865053
10/2015,30236.896384085023
11/2015,31569.02949465176
12/2015,29853.766151021908
01/2016,27813.408219466866
02/2016,28210.45270736781
03/2016,29188.699671949038
04/2016,29450.693457136054
05/2016,30601.911757345573
06/2016,30885.27625881832
07/2016,32263.396555858573
08/2016,32127.876215895725
09/2016,32109.13587629979
10/2016,31700.890737044505
11/2016,34387.505446004514
12/2016,35088.22156617317
01/2017,35219.95409596579
02/2017,36756.56901883397
03/2017,36376.44236930542
04/2017,35855.092894859765
05/2017,35244.24284951389
06/2017,34999.08495442264
07/2017,34560.442922458096
08/2017,34007.65960092717
09/2017,35006.224395037956
10/2017,36104.13456253588
11/2017,36654.386838992476
12/2017,36550.9595946146
01/2018,36514.24313502531
02/2018,35702.41132025219
03/2018,35414.30872130206
04/2018,36068.83809792175
05/2018,38085.678854087186
06/2018,38483.453598439206
07/2018,39180.085792715465
08/2018,40691.78054772039
09/2018,40692.95819115762
10/2018,38162.56139748849
11/2018,38959.41664692856
12/2018,34816.49583015067
01/2019,38444.64322367761
02/2019,40348.86624590432
03/2019,41350.3422494969
04/2019,42988.81815739074
05/2019,40593.25042940498
06/2019,42508.5376369526
07/2019,44000.94339028823
08/2019,43193.124287644525
09/2019,44638.333800724125
10/2019,44036.03335869323
11/2019,46324.178775329114
12/2019,46324.007474452534
01/2020,46709.40670771317
02/2020,42943.583316050695
03/2020,34640.74579708528
04/2020,39907.173104679154
05/2020,41715.391737648366
06/2020,42231.80233297626
07/2020,42258.7183366615
08/2020,43407.448453765275
09/2020,43405.749525622035
10/2020,43719.807075195844
11/2020,48591.401872878574
12/2020,49661.59586930781
01/2021,50081.22872018207
02/2021,52935.759121184026
03/2021,56204.37719438258
04/2021,57323.467580700984
05/2021,57219.9293966532
06/2021,59610.89884258551
07/2021,60034.14385743775
08/2021,61856.87947528878
09/2021,60614.572315228324
10/2021,63855.925568806924
11/2021,63162.01379524679
12/2021,65956.5730495104
01/2022,62028.52158515319
02/2022,61345.97310797658
03/2022,63472.365511576834
04/2022,61700.96344413749
05/2022,60752.94579512815
06/2022,56405.77491596374
07/2022,63122.37925135142
08/2022,62352.66986000439
09/2022,58036.33901325718
10/2022,62129.23604547689
11/2022,62930.39125701587
12/2022,57910.74397262267
01/2023,61752.94230222819
02/2023,61469.45066783656
03/2023,59101.37166540161
04/2023,58221.7338146628
05/2023,58173.68147428754
06/2023,61966.44635314848
07/2023,63506.94167250003
08/2023,62178.588919958085
09/2023,60582.15345498271
10/2023,57420.599258957925
11/2023,61488.58681892091
12/2023,65527.983719518976
01/2024,65864.51743612491
02/2024,69614.9630863256
03/2024,72736.14667256261
04/2024,69404.11818532813
05/2024,70502.14945709481
06/2024,70996.85794067396
07/2024,73498.42336479928
08/2024,73235.90737156555
09/2024,74137.06350102965
