Date,MSCI Pacific
05/2007,124265.28192684881
06/2007,124342.38943809255
07/2007,122554.8203261392
08/2007,119397.04617868723
09/2007,122333.95267448912
10/2007,122809.56589346855
11/2007,116005.63513836388
12/2007,112374.65806142807
01/2008,104070.74816226544
02/2008,103102.18740899143
03/2008,94612.69546214349
04/2008,103519.35991678489
05/2008,105983.55439105732
06/2008,96939.32174950348
07/2008,94038.15116649646
08/2008,95340.3935312071
09/2008,85369.88247069354
10/2008,78590.15394367467
11/2008,76875.17373303871
12/2008,75572.73326664073
01/2009,75954.69500554222
02/2009,68946.56275402567
03/2009,68938.98607312838
04/2009,76496.29003888718
05/2009,80144.73231858441
06/2009,81605.03491512187
07/2009,86978.98163133358
08/2009,89430.51492813093
09/2009,89129.76538200176
10/2009,86926.04004345629
11/2009,85817.80420405028
12/2009,90661.29029422459
01/2010,92253.12559069092
02/2010,96677.6208582164
03/2010,102973.75290119478
04/2010,104089.71669515775
05/2010,101186.05970270089
06/2010,100023.72310499329
07/2010,99765.9316943868
08/2010,100283.45423823578
09/2010,100266.60835397888
10/2010,101064.83717335679
11/2010,108257.87165790077
12/2010,113308.80796405893
01/2011,110184.13711461403
02/2011,112810.89535782933
03/2011,104404.32743204395
04/2011,102063.897768687
05/2011,102951.99440650672
06/2011,102642.1859353893
07/2011,106110.69353840906
08/2011,97285.01240646538
09/2011,97011.7445350235
10/2011,98489.09952316868
11/2011,97181.15729286797
12/2011,100938.98939346753
01/2012,105533.1569108285
02/2012,108407.62802570914
03/2012,108807.4148813903
04/2012,108440.8719765513
05/2012,103906.42459296383
06/2012,108059.07243395723
07/2012,111968.54171615782
08/2012,108693.28051484743
09/2012,109138.4276362771
10/2012,108223.36923822318
11/2012,110536.07934190836
12/2012,113262.03177005795
01/2013,114978.00308124072
02/2013,121675.46291142653
03/2013,128071.30627011738
04/2013,134084.83690162835
05/2013,125391.36642515271
06/2013,123200.2447393459
07/2013,123286.91111783311
08/2013,121940.4268939647
09/2013,128856.9949622656
10/2013,129669.27401314849
11/2013,129795.20627603689
12/2013,128156.44905702882
01/2014,124923.71773735149
02/2014,124647.297124221
03/2014,124964.11998904485
04/2014,123519.50222090146
