Date,Russell 2000
05/2020,32206.453940548607
06/2020,33160.25063815502
07/2020,32208.493740729704
08/2020,33761.07518448573
09/2020,33279.99009247542
10/2020,34006.04709196304
11/2020,39326.18080947424
12/2020,41714.643459453306
01/2021,44301.200437939864
02/2021,47120.51976060169
03/2021,49201.21625415674
04/2021,48750.057854985505
05/2021,48374.10937011916
06/2021,50626.68942127837
07/2021,48769.89708093323
08/2021,50100.95927766883
09/2021,49694.56282680591
10/2021,51514.90521089843
11/2021,50593.483564777096
12/2021,51892.63142741528
01/2022,47611.36968443696
02/2022,47934.85922849894
03/2022,48959.89809621444
04/2022,46455.17536827748
05/2022,45774.05865026402
06/2022,43327.94173887882
07/2022,48738.335096458526
08/2022,48686.285477317535
09/2022,45158.40353864605
10/2022,49290.47328998131
11/2022,48195.825772554344
12/2022,43842.44452751124
01/2023,47373.85228445604
02/2023,47512.24456597976
03/2023,44177.11093619714
04/2023,42964.100572478856
05/2023,43754.62668539014
06/2023,46515.14670698451
07/2023,48656.68472901158
08/2023,46881.70501546437
09/2023,45262.826214546774
10/2023,42076.65789467298
11/2023,44575.31626628436
12/2023,49482.99433437818
01/2024,48493.1807110185
02/2024,51287.12653572157
03/2024,53196.8574700364
04/2024,49881.825678604015
05/2024,51737.42004699241
06/2024,51962.71404525166
07/2024,56591.84378565472
08/2024,54444.20688103258
09/2024,54290.964780791845
