Date,MSCI USA Small Cap
12/2017,37279.81951971984
01/2018,36827.39279120173
02/2018,36021.487964630745
03/2018,36071.3184806428
04/2018,36947.528893120296
05/2018,40242.31553978973
06/2018,40691.77547606794
07/2018,41110.95837593729
08/2018,43227.638958029354
09/2018,42663.698298203184
10/2018,39192.317989044
11/2018,39764.51897174048
12/2018,34985.337205240176
01/2019,38941.92718488858
02/2019,41077.54848458304
03/2019,41300.94855362705
04/2019,42771.148333036195
05/2019,39808.226930320154
06/2019,41646.74336555361
07/2019,43064.10075329567
08/2019,41685.23645342516
09/2019,42963.481127743595
10/2019,42682.620629370635
11/2019,45073.83686942269
12/2019,45191.86865764643
01/2020,44703.65485884908
02/2020,41070.678054113145
03/2020,31808.220153340633
04/2020,36801.121000367784
05/2020,38498.10057471265
06/2020,39499.88288087159
07/2020,38813.8974932478
08/2020,40257.29539363484
09/2020,39851.35672189955
10/2020,40869.13814327236
11/2020,46516.53384808013
12/2020,48953.581492950856
01/2021,51360.90112063282
02/2021,54747.26986222258
03/2021,57764.72575692963
04/2021,58137.07316669427
05/2021,57508.34714367675
06/2021,59898.54939414338
07/2021,58567.8188125473
08/2021,60173.87971100219
09/2021,59700.50712496762
10/2021,62163.712537569765
11/2021,60935.09821349995
12/2021,63173.851712873024
01/2022,58977.73570276086
02/2022,59324.9211090276
03/2022,60583.42081794432
04/2022,58460.472296015185
05/2022,57578.346354895926
06/2022,53962.90834697218
07/2022,60815.994557756414
08/2022,60434.6723
09/2022,56097.37079400903
10/2022,60835.59067984669
11/2022,60498.55238049345
12/2022,55308.48031126944
01/2023,60106.70959106435
02/2023,60236.008192861846
03/2023,56294.69383908047
04/2023,54961.01926054093
05/2023,55483.686417672936
06/2023,59226.3335634088
07/2023,61398.311893313985
08/2023,59709.6233437615
09/2023,57714.10000943932
10/2023,53954.541717675864
11/2023,57157.777787942556
12/2023,62921.504705882355
01/2024,61943.033819322685
02/2024,65317.81669129872
03/2024,67889.05966145593
04/2024,63952.21104683709
05/2024,66110.85887394029
06/2024,66124.69388136386
07/2024,70394.28430919837
08/2024,68492.9241453955
09/2024,68734.32958199357
10/2024,70182.12024444036
