Date,MSCI Emerging Markets Small Cap
11/2006,15707.972265116421
12/2006,16424.57249230999
01/2007,16686.081958557035
02/2007,16797.79054302011
03/2007,17478.137463678653
04/2007,18339.41808521132
05/2007,20138.298438361715
06/2007,20950.612492546425
07/2007,22322.21502852999
08/2007,21205.555685719293
09/2007,21994.852905222382
10/2007,23081.91523704121
11/2007,20570.651991930394
12/2007,20903.834906710785
01/2008,17739.919958046437
02/2008,18632.498195437234
03/2008,16741.816106104146
04/2008,17897.334406372465
05/2008,17580.32800874973
06/2008,15226.235555676978
07/2008,15051.612921020544
08/2008,14790.532575481147
09/2008,12118.46107359644
10/2008,9480.646972499346
11/2008,8951.148710394957
12/2008,9235.904114984316
01/2009,9405.779011158062
02/2009,9170.92988071928
03/2009,9947.37204024777
04/2009,12202.321846241537
05/2009,14144.269243891174
06/2009,14069.753741217213
07/2009,15838.215709305636
08/2009,15859.481229950641
09/2009,16711.81691492726
10/2009,16641.18365450003
11/2009,17166.331178370987
12/2009,19075.374145805523
01/2010,18951.498171410767
02/2010,19549.28197252529
03/2010,21419.967113206345
04/2010,22222.340313751614
05/2010,21529.233546410334
06/2010,21903.276768233238
07/2010,22113.898568376197
08/2010,22778.263079731365
09/2010,23726.012211844492
10/2010,24354.205139738508
11/2010,25393.703409583515
12/2010,26153.380773759753
01/2011,24698.881977037556
02/2011,23493.650938779
03/2011,23928.497454416407
04/2011,23907.114068526844
05/2011,23918.41240783016
06/2011,23287.112492186443
07/2011,24052.93631100083
08/2011,21092.484966385935
09/2011,18970.09499388834
10/2011,20077.434515518493
11/2011,19217.205996990135
12/2011,19666.707254943398
01/2012,21391.741852050774
02/2012,22818.086562894252
03/2012,22220.47336984173
04/2012,22035.266065546726
05/2012,21370.45945707271
06/2012,21680.765003523462
07/2012,22179.137143782722
08/2012,22096.296381987293
09/2012,22885.43023612053
10/2012,22443.59624417699
11/2012,22849.474124704644
12/2012,23571.72870281766
01/2013,23576.56411327279
02/2013,24607.503841973103
03/2013,25307.976147368678
04/2013,25294.42720109909
05/2013,25267.432497946807
06/2013,22926.214793272688
07/2013,22716.160833136935
08/2013,22023.556593196445
09/2013,22979.65780129937
10/2013,23576.183264649768
11/2013,23214.212959684402
12/2013,22786.59508077573
01/2014,22622.766161815212
02/2014,23062.64693995307
03/2014,23597.555327393267
04/2014,23582.95718379483
05/2014,24720.18915390118
06/2014,25073.558080265237
07/2014,25776.147391746217
08/2014,26773.780842258693
