Date,MSCI AC Asia Pacific ex-Japan
12/2001,36098.14462725519
01/2002,37902.37075373393
02/2002,38100.519685585474
03/2002,39969.17620357634
04/2002,38856.124222912964
05/2002,37378.97507190797
06/2002,33466.056000000004
07/2002,32366.97368905244
08/2002,32131.868646394796
09/2002,29184.795456389453
10/2002,30699.93302919708
11/2002,31821.999274705347
12/2002,28786.61319729189
01/2003,28253.658394970418
02/2003,27500.327212020034
03/2003,26827.757595227173
04/2003,27589.26689425928
05/2003,27672.784486550507
06/2003,30183.782095038063
07/2003,31961.915497437716
08/2003,34983.84572160703
09/2003,33464.68238928939
10/2003,36382.6997934951
11/2003,34997.16168084042
12/2003,35534.195344418054
01/2004,37604.98226744187
02/2004,38941.365388951526
03/2004,39379.67449280105
04/2004,38022.05539465974
05/2004,36538.087850467295
06/2004,36495.364442616206
07/2004,36454.95579367057
08/2004,37603.30805053257
09/2004,38500.83258924974
10/2004,38486.26127031483
11/2004,40122.74545317789
12/2004,40534.79110197489
01/2005,42644.902232451095
02/2005,44313.817379497625
03/2005,43321.30672631904
04/2005,42747.90159759203
05/2005,45693.449306625575
06/2005,48393.59677472709
07/2005,50841.39250806252
08/2005,49616.58504672897
09/2005,53306.209715994024
10/2005,49971.56481743326
11/2005,54146.62620443537
12/2005,56633.54174790202
01/2006,59070.726555537214
02/2006,60035.371199999994
03/2006,59740.90979841375
04/2006,62005.205599425695
05/2006,56269.096813801676
06/2006,56936.828773696216
07/2006,56987.40347771599
08/2006,58540.62781106529
09/2006,60604.46388625592
10/2006,63248.87013232514
11/2006,64812.06245454545
12/2006,67570.91876993168
01/2007,68229.42241778602
02/2007,67551.05767920671
03/2007,69241.45661510738
04/2007,71149.98668136713
05/2007,75116.0176912213
06/2007,78054.5194520548
07/2007,80431.785554826
08/2007,79256.97403867202
09/2007,86557.14397348191
10/2007,93197.27494981656
11/2007,83745.03097351128
12/2007,82932.56759730996
01/2008,71786.13349024883
02/2008,73960.61513812884
03/2008,66737.36565899318
04/2008,73473.81428571428
05/2008,72345.33652308486
06/2008,63829.331844709464
07/2008,62778.30078790596
08/2008,62469.195453003056
09/2008,53581.811661889114
10/2008,45379.721831151524
11/2008,42612.96890076216
12/2008,42434.953050226344
01/2009,42595.08595505618
