Date,FTSE MIB
08/2006,19531.12795339966
09/2006,19807.889174207856
10/2006,20453.71726538571
11/2006,20884.06305503669
12/2006,21487.963464601005
01/2007,21883.590134065307
02/2007,21343.01359668283
03/2007,21662.419666955444
04/2007,22782.275217055972
05/2007,22903.337248386782
06/2007,22464.508387585374
07/2007,21536.89480254115
08/2007,21518.781191678885
09/2007,21358.750308382176
10/2007,21776.146095697237
11/2007,21021.41504183752
12/2007,20794.097421720104
01/2008,18462.289675159846
02/2008,18115.373046127417
03/2008,17052.095892308436
04/2008,18396.199584124606
05/2008,18601.092390070462
06/2008,16521.617078266372
07/2008,15951.685836221812
08/2008,16212.034158499831
09/2008,14446.989821134239
10/2008,12100.13794211349
11/2008,11390.764681245528
12/2008,11090.193487788065
01/2009,10221.043425947704
02/2009,8712.07309046888
03/2009,9050.072249538349
04/2009,10974.360634615683
05/2009,11652.41619996115
06/2009,11258.818090989338
07/2009,12152.048600211298
08/2009,13241.668353718658
09/2009,13922.084425819026
10/2009,13089.079623663096
11/2009,13058.253700381205
12/2009,13844.454079537603
01/2010,13039.275389995877
02/2010,12546.937611314695
03/2010,13606.780555653455
04/2010,12856.5738064073
05/2010,11911.055613703069
06/2010,11837.109461124175
07/2010,12885.133479280406
08/2010,12098.248717089167
09/2010,12629.329952125972
10/2010,13219.604172523537
11/2010,11826.360139564962
12/2010,12487.18728408125
01/2011,13649.13853797752
02/2011,13908.417255632226
03/2011,13450.843676259776
04/2011,13917.486355369374
05/2011,13359.537963587543
06/2011,12856.893458363693
07/2011,11741.65237112084
08/2011,9915.804494306507
09/2011,9505.990195700764
10/2011,10271.847596504154
11/2011,9850.874166138694
12/2011,9735.434730758796
01/2012,10211.773519212311
02/2012,10552.252029994828
03/2012,10312.607319046256
04/2012,9427.499247998281
05/2012,8468.416337657378
06/2012,9505.998391904774
07/2012,9250.686636990944
08/2012,10059.23396638081
09/2012,10101.641125928936
10/2012,10408.355374291952
11/2012,10609.342689027004
12/2012,10921.51151115872
01/2013,11703.830987716348
02/2013,10687.915598769585
03/2013,10296.862411142904
04/2013,11286.529456747401
05/2013,11771.970129754105
06/2013,10496.69815921454
07/2013,11352.914611127002
08/2013,11490.582151782222
09/2013,12067.094945646873
10/2013,13405.928478284566
11/2013,13187.171793255671
12/2013,13160.632484671049
01/2014,13473.30127524738
02/2014,14183.842495186778
03/2014,15053.24663935145
04/2014,15132.147397254432
05/2014,15247.980250426817
06/2014,15071.651215456073
07/2014,14567.285507390106
