Date,Gold spot price (EUR Hedged)
07/1989,104630.68181818181
08/1989,102215.90909090909
09/1989,104119.31818181818
10/1989,106619.31818181818
11/1989,115951.70454545453
12/1989,113920.45454545453
01/1990,117911.93181818181
02/1990,115823.86363636363
03/1990,104687.49999999999
04/1990,104474.43181818181
05/1990,103139.20454545454
06/1990,100056.81818181818
07/1990,105767.04545454544
08/1990,110156.24999999999
09/1990,116022.72727272726
10/1990,107812.49999999999
11/1990,109332.38636363635
12/1990,111079.54545454544
01/1991,103977.27272727272
02/1991,103039.77272727272
03/1991,101036.93181818181
04/1991,101633.52272727272
05/1991,102386.36363636363
06/1991,104644.88636363635
07/1991,103082.38636363635
08/1991,98693.18181818181
09/1991,100823.86363636363
10/1991,101548.29545454544
11/1991,104062.49999999999
12/1991,100397.72727272726
01/1992,100596.5909090909
02/1992,100312.49999999999
03/1992,97073.86363636363
04/1992,95553.97727272726
05/1992,95880.68181818181
06/1992,97556.81818181818
07/1992,101661.93181818181
08/1992,96590.90909090909
09/1992,99147.72727272726
10/1992,96377.8409090909
11/1992,94943.18181818181
12/1992,94573.86363636363
01/1993,93877.8409090909
02/1993,93068.18181818181
03/1993,95965.90909090909
04/1993,100653.40909090909
05/1993,107230.11363636363
06/1993,107514.20454545453
07/1993,114133.52272727272
08/1993,105553.97727272726
09/1993,100994.31818181818
10/1993,104999.99999999999
11/1993,105369.31818181818
12/1993,110980.11363636363
01/1994,107357.95454545453
02/1994,108394.88636363635
03/1994,110568.18181818181
04/1994,106946.02272727272
05/1994,110113.63636363635
06/1994,110298.29545454544
07/1994,109090.90909090909
08/1994,109588.06818181818
09/1994,112173.29545454544
10/1994,109048.29545454544
11/1994,108835.22727272726
12/1994,108664.77272727272
01/1995,106505.68181818181
02/1995,106931.81818181818
03/1995,111363.63636363635
04/1995,110724.43181818181
05/1995,109176.13636363635
06/1995,109957.38636363635
07/1995,108906.24999999999
08/1995,108622.15909090909
09/1995,109090.90909090909
10/1995,108707.38636363635
11/1995,110170.45454545453
12/1995,109857.95454545453
01/1996,115213.06818181818
02/1996,113821.02272727272
03/1996,112599.43181818181
04/1996,111164.77272727272
05/1996,110951.70454545453
06/1996,108522.72727272726
07/1996,109460.22727272726
08/1996,109786.93181818181
09/1996,107670.45454545453
10/1996,107812.49999999999
11/1996,105482.95454545454
12/1996,104985.79545454544
01/1997,98153.40909090909
02/1997,101874.99999999999
03/1997,98906.24999999999
04/1997,96633.52272727272
05/1997,98181.81818181818
06/1997,95042.61363636363
07/1997,92713.06818181818
08/1997,92428.97727272726
09/1997,94346.5909090909
10/1997,88465.90909090909
11/1997,84318.18181818181
12/1997,82159.0909090909
01/1998,86605.11363636363
02/1998,84488.63636363635
03/1998,85511.36363636363
04/1998,88267.04545454544
05/1998,83409.0909090909
06/1998,84176.13636363635
07/1998,82059.65909090909
08/1998,77670.45454545454
09/1998,83480.11363636363
10/1998,83039.77272727272
11/1998,83721.5909090909
12/1998,81661.93181818181
01/1999,81079.54545454544
02/1999,81548.29545454544
03/1999,79389.20454545454
04/1999,81420.45454545454
05/1999,76306.81818181818
06/1999,74147.72727272726
07/1999,72613.63636363635
08/1999,72386.36363636363
09/1999,84943.18181818181
10/1999,84971.5909090909
11/1999,82769.88636363635
12/1999,82457.38636363635
01/2000,80482.95454545454
02/2000,83423.29545454544
03/2000,78622.15909090909
04/2000,78139.20454545454
05/2000,77343.75
06/2000,81860.79545454544
07/2000,78622.15909090909
08/2000,78693.18181818181
09/2000,77741.47727272726
10/2000,75142.04545454544
11/2000,76448.86363636363
12/2000,77457.38636363635
01/2001,75142.04545454544
02/2001,75767.04545454544
03/2001,73210.22727272726
04/2001,74758.52272727272
05/2001,75994.31818181818
06/2001,76875
07/2001,75539.77272727272
08/2001,77556.81818181818
09/2001,83267.04545454544
10/2001,79190.3409090909
11/2001,78267.04545454544
12/2001,78551.13636363635
01/2002,80198.86363636363
02/2002,84332.38636363635
03/2002,85625
04/2002,87556.81818181818
05/2002,92784.0909090909
06/2002,90482.95454545454
07/2002,86548.29545454544
08/2002,88863.63636363635
09/2002,91960.22727272726
10/2002,90028.40909090909
11/2002,90639.20454545454
12/2002,97372.15909090909
01/2003,104403.40909090909
02/2003,98707.38636363635
03/2003,95127.8409090909
04/2003,95667.61363636363
05/2003,102670.45454545454
06/2003,98295.45454545454
07/2003,100781.24999999999
08/2003,106704.54545454544
09/2003,110227.27272727272
10/2003,109730.11363636363
11/2003,113167.61363636363
12/2003,118536.93181818181
01/2004,113565.3409090909
02/2004,112457.38636363635
03/2004,120369.31818181818
04/2004,110369.31818181818
05/2004,111718.74999999999
06/2004,112443.18181818181
07/2004,111193.18181818181
08/2004,115696.02272727272
09/2004,118082.38636363635
10/2004,120894.88636363635
11/2004,128806.81818181818
12/2004,124431.81818181818
01/2005,119928.97727272726
02/2005,123707.38636363635
03/2005,121448.86363636363
04/2005,123778.40909090907
05/2005,117741.47727272726
06/2005,124176.13636363635
07/2005,121874.99999999999
08/2005,123082.38636363635
09/2005,134446.0227272727
10/2005,133735.79545454544
11/2005,140809.6590909091
12/2005,145738.63636363635
01/2006,161576.70454545453
02/2006,157954.54545454544
03/2006,165340.9090909091
04/2006,182954.54545454544
05/2006,185511.36363636362
06/2006,174289.7727272727
07/2006,179687.5
08/2006,177130.6818181818
09/2006,170241.47727272726
10/2006,171519.88636363635
11/2006,183721.59090909088
12/2006,180596.59090909088
01/2007,184801.13636363635
02/2007,188693.1818181818
03/2007,187997.1590909091
04/2007,192329.54545454544
05/2007,187244.31818181818
06/2007,184801.13636363635
07/2007,189062.49999999997
08/2007,190909.09090909088
09/2007,211079.54545454544
10/2007,224289.7727272727
11/2007,222585.22727272726
12/2007,237642.04545454544
01/2008,262286.9318181818
02/2008,275994.3181818182
03/2008,265198.8636363636
04/2008,247443.1818181818
05/2008,251633.5227272727
06/2008,264275.5681818182
07/2008,260795.45454545453
08/2008,236647.72727272726
09/2008,251278.40909090906
10/2008,207599.4318181818
11/2008,231392.04545454544
12/2008,245738.63636363635
01/2009,261221.59090909088
02/2009,270454.5454545454
03/2009,260369.31818181815
04/2009,250923.29545454544
