Date,STOXX Europe 600 Automobiles & Parts
11/2011,26992.753623188408
12/2011,25768.921095008052
01/2012,31144.65915190553
02/2012,33325.281803542675
03/2012,32937.466451959204
04/2012,32861.64787976383
05/2012,29544.41760601181
06/2012,28619.162640901774
07/2012,31601.5834675255
08/2012,31358.695652173916
09/2012,31264.090177133658
10/2012,31961.218464841655
11/2012,34059.98389694042
12/2012,35864.1975308642
01/2013,37075.95276435856
02/2013,37480.54213633924
03/2013,35739.39881910897
04/2013,36617.686527106816
05/2013,41388.88888888889
06/2013,38831.85721953838
07/2013,43704.37466451959
08/2013,42625.469672571126
09/2013,46265.432098765436
10/2013,48397.74557165863
11/2013,50114.063338701024
12/2013,50552.19404186796
01/2014,50174.44981213097
02/2014,53877.48255501879
03/2014,54514.22436929683
04/2014,54553.1333870102
05/2014,56046.021202361786
06/2014,54859.76918947934
07/2014,51138.62050456254
08/2014,51000.402576489534
09/2014,48689.61352657005
10/2014,49418.94793344069
11/2014,53622.517444981226
12/2014,53584.27267847558
01/2015,61357.35373054214
02/2015,67360.44015029522
03/2015,70633.38701019861
04/2015,69023.75201288245
05/2015,68973.42995169082
06/2015,66286.90284487387
07/2015,63199.141170155664
08/2015,57160.4938271605
09/2015,50511.94310252282
10/2015,59532.340311325825
11/2015,64487.3859366613
12/2015,61402.30810520666
01/2016,51409.017713365545
02/2016,51205.71658615137
03/2016,54510.19860440151
04/2016,54017.71336553946
05/2016,54495.437466451964
06/2016,47159.822866344606
07/2016,53405.12614063339
08/2016,53931.83038110575
09/2016,53933.84326355341
10/2016,55488.45947396672
11/2016,54954.37466451959
12/2016,60389.828234031134
01/2017,60821.25603864735
02/2017,61519.72624798712
03/2017,63683.57487922705
04/2017,65097.28931830382
05/2017,62343.66612989802
06/2017,61072.19538378959
07/2017,60085.88298443371
08/2017,60958.80300590446
09/2017,67550.32206119163
10/2017,69979.20021470747
11/2017,69978.52925389158
12/2017,69936.9296833065
01/2018,75533.41384863124
02/2018,71743.15619967795
03/2018,71323.13472893184
04/2018,72325.55018786903
05/2018,70300.59044551798
06/2018,63741.94847020934
07/2018,66286.23188405797
08/2018,62577.831454643056
09/2018,62282.608695652176
10/2018,57608.02469135803
11/2018,55439.479334406875
12/2018,51440.552871712294
01/2019,57390.6333870102
02/2019,58364.1975308642
03/2019,56723.69833601718
04/2019,62310.1180891036
05/2019,54966.45195920559
06/2019,58900.29522275899
07/2019,57829.441760601185
08/2019,54439.747718733226
09/2019,57724.100912506714
10/2019,61686.12453032743
11/2019,62331.588835212024
12/2019,61101.046698872786
01/2020,55129.49543746645
02/2020,50474.369296833065
03/2020,38195.11540526034
04/2020,43295.0885668277
05/2020,45165.056360708535
06/2020,47358.42726784756
07/2020,46215.11003757381
08/2020,51063.47289318304
09/2020,52199.40955448202
10/2020,50653.515834675265
11/2020,61726.382179280736
12/2020,64522.946859903386
01/2021,64136.47342995169
02/2021,68257.51476113795
03/2021,79822.86634460549
04/2021,76327.16049382716
05/2021,80349.57058507783
06/2021,80032.87707997853
07/2021,79194.84702093399
08/2021,77690.5528717123
09/2021,78004.56253354804
10/2021,83090.44551798176
11/2021,78272.94685990339
12/2021,81613.65405260334
01/2022,81926.32850241546
02/2022,77515.43209876544
03/2022,71390.23081052068
04/2022,70701.82501341922
05/2022,73774.82555018787
06/2022,63917.069243156206
07/2022,70012.077294686
08/2022,66750.53676865272
09/2022,61398.953301127214
10/2022,66959.87654320987
11/2022,72269.18947933441
12/2022,67892.51207729468
01/2023,75600.50993022008
02/2023,80473.02066559314
03/2023,79637.68115942029
04/2023,78522.54428341385
05/2023,79481.3472893183
06/2023,85982.95759527644
07/2023,88032.07192699947
08/2023,82026.30166398283
09/2023,80935.99033816425
10/2023,74331.05206655932
11/2023,81830.38110574344
12/2023,84348.49704777243
01/2024,83736.58078368224
02/2024,94480.67632850244
03/2024,97302.06655931294
04/2024,92142.37788513151
05/2024,92141.70692431563
06/2024,87402.71068169619
07/2024,83927.79790660225
08/2024,85273.75201288245
09/2024,79802.05984970478
