Date,MDAX
04/2016,53270.33874498455
05/2016,55023.87804968542
06/2016,52588.502493811844
07/2016,56089.40620246254
08/2016,56705.624195010256
09/2016,57201.25936173258
10/2016,56041.14657041242
11/2016,55326.36868132742
12/2016,58804.50741253107
01/2017,59538.393041708405
02/2017,61922.646779776005
03/2017,63349.92341002932
04/2017,65236.07732141816
05/2017,66594.74099869082
06/2017,64802.80070176554
07/2017,65074.522836532095
08/2017,65390.635352234356
09/2017,68889.39242156816
10/2017,70631.11195916614
11/2017,71625.80101448584
12/2017,69436.54693189588
01/2018,71089.98897528449
02/2018,69633.37520605087
03/2018,67821.92964323385
04/2018,68817.17523467273
05/2018,69770.99863781159
06/2018,68518.55385414512
07/2018,71309.1849661043
08/2018,71293.3634392872
09/2018,68898.80053215454
10/2018,64081.582894729865
11/2018,62155.88841715827
12/2018,57212.1515686368
01/2019,62741.54992659023
02/2019,64626.35225026104
03/2019,65517.605092570506
04/2019,69022.06003169605
05/2019,65662.03946636137
06/2019,67896.2669677262
07/2019,68732.95276863468
08/2019,68162.31773442095
09/2019,68604.81695262023
10/2019,69565.15977886965
11/2019,72777.98979153747
12/2019,75033.78969295108
01/2020,74163.26119565159
02/2020,67225.90596129688
03/2020,55761.50042137734
04/2020,61069.76842797097
05/2020,67303.76801454414
06/2020,68481.23943243916
07/2020,69412.82789253023
08/2020,72755.62233988986
09/2020,71572.69156768273
10/2020,68165.07391329698
11/2020,77653.90873867714
12/2020,81615.38583854091
01/2021,82385.31380686606
02/2021,82873.15746791966
03/2021,84056.45926420625
04/2021,86673.00057773749
05/2021,87964.11137082796
06/2021,90237.9854452554
07/2021,93145.35663364554
08/2021,95280.94473331318
09/2021,91085.58995478807
10/2021,92361.40925546068
11/2021,89816.31657894597
12/2021,93082.6535642163
01/2022,88308.31570968957
02/2022,84469.85959388764
03/2022,82186.36539511415
04/2022,79751.78489083941
05/2022,79275.92000720846
06/2022,68436.58403430383
07/2022,72520.81710102985
08/2022,66835.03209358286
09/2022,59284.400557596186
10/2022,62750.905033736686
11/2022,67826.46143734729
12/2022,66565.8806256526
01/2023,76360.06826843062
02/2023,75922.47186842425
03/2023,73311.54891952488
04/2023,73820.75296686754
05/2023,70328.70083268404
06/2023,73172.5739000461
07/2023,76423.14236193929
08/2023,73725.08175780608
09/2023,69103.52631885809
10/2023,63710.638320426995
11/2023,69390.56618274526
12/2023,71918.51251146199
01/2024,68795.81484838366
02/2024,68439.76424069922
03/2024,71668.70729910371
04/2024,69605.15087429174
05/2024,70804.11518707564
06/2024,66720.88918570815
07/2024,67243.13207927195
08/2024,68118.53689304435
09/2024,71167.02974023014
