Date,S&P Global Clean Energy
08/2020,6429.765707401457
09/2020,7063.474440385672
10/2020,7479.095754678224
11/2020,8807.711065504218
12/2020,10269.548692348726
01/2021,11040.242860127652
02/2021,9574.920442201592
03/2021,9230.000126575796
04/2021,8639.369594611482
05/2021,8429.05564322834
06/2021,8916.41683009815
07/2021,8644.75735224823
08/2021,8935.012117257664
09/2021,8489.235878308627
10/2021,9831.759729236263
11/2021,9356.75308842641
12/2021,8546.80175226682
01/2022,7622.518087530162
02/2022,8484.085536131783
03/2022,8891.575244681046
04/2022,8248.342303078225
05/2022,8541.268910212764
06/2022,8419.512923150432
07/2022,10082.185415873993
08/2022,10276.373050034941
09/2022,9098.643764456127
10/2022,8795.886075178649
11/2022,9332.02110924386
12/2022,8644.561736292586
01/2023,8852.743519657108
02/2023,8407.510464843763
03/2023,8434.290887931933
04/2023,7904.205693859077
05/2023,7965.821019124557
06/2023,7891.790007251
07/2023,7753.9886757291115
08/2023,6917.779381335133
09/2023,6468.871280639069
10/2023,5721.72480995819
11/2023,6083.363851069788
12/2023,6666.314619632599
01/2024,6059.216410345589
02/2024,6061.009084627655
03/2024,6102.261163067571
04/2024,5849.055936219516
05/2024,6511.902219747139
06/2024,5955.607297097265
07/2024,6209.949907332983
08/2024,6143.536882397363
09/2024,6260.600931602344
