Date,MSCI Emerging Markets Asia
06/2000,37169.602176642955
07/2000,35184.08899707887
08/2000,35771.633236020665
09/2000,31557.473496862523
10/2000,29670.22483069977
11/2000,27498.989682174117
12/2000,24619.611520687802
01/2001,29467.90207683202
02/2001,27834.284623702424
03/2001,26030.103260869568
04/2001,25915.751261829653
05/2001,27355.172476415097
06/2001,26830.508985849054
07/2001,24569.71750999429
08/2001,23492.528215767634
09/2001,20020.50995509802
10/2001,21582.05335102853
11/2001,25062.258125421442
12/2001,27602.031067740834
01/2002,29486.735533171235
02/2002,30301.43719801179
03/2002,32196.626409903714
04/2002,31259.369493783306
05/2002,29469.382550335573
06/2002,26503.374857142855
07/2002,25950.46568537259
08/2002,25538.22481440049
09/2002,22391.03482758621
10/2002,23458.006751824818
11/2002,24890.533998186762
12/2002,22094.605568799467
01/2003,21780.53370931953
02/2003,20695.545409015027
03/2003,19453.245653969716
04/2003,19897.053651962986
05/2003,20343.055066824563
06/2003,22693.814491992645
07/2003,25039.4462979325
08/2003,27745.92448064428
09/2003,25777.366529351184
10/2003,28483.69452762004
11/2003,27190.169084542275
12/2003,27696.630356294536
01/2004,29736.59345930233
02/2004,30759.573087453693
03/2004,31048.77943390053
04/2004,29814.908462375486
05/2004,27890.669158878503
06/2004,27601.856322501033
07/2004,26892.08866184899
08/2004,27966.269903393604
09/2004,28462.067370456927
10/2004,27984.444688702206
11/2004,29388.87930801053
12/2004,29617.94069451582
01/2005,31509.38223245109
02/2005,33098.366327223346
03/2005,32040.564409132985
04/2005,31156.7516554758
05/2005,33969.69429892142
06/2005,35610.14756864042
07/2005,37937.61910195981
08/2005,36431.859813084106
09/2005,39280.04618834081
10/2005,36650.711752474424
11/2005,40684.29268417028
12/2005,43600.14700347547
01/2006,45765.75250041261
02/2006,46606.14720000001
03/2006,46598.06227693325
04/2006,48136.57501794688
05/2006,43276.22764998446
06/2006,43486.939652324385
07/2006,43259.88993498864
08/2006,44500.80261458252
09/2006,46981.62327014218
10/2006,48144.80217391304
11/2006,50049.44590909091
12/2006,52029.84669703872
01/2007,51811.84891153312
02/2007,50912.25934448566
03/2007,51578.304490163675
04/2007,52950.92110253583
05/2007,57048.53622240393
06/2007,60266.396712328766
07/2007,64083.781352593556
08/2007,63209.80001459322
09/2007,68283.94335284576
10/2007,74491.56755035647
11/2007,66067.40754691417
12/2007,65900.42628897492
01/2008,55920.63849361129
02/2008,58894.954796597885
03/2008,52698.083974196816
04/2008,58061.34
05/2008,55800.64766572093
06/2008,48058.79067495559
07/2008,48188.54924091988
08/2008,47476.84617577196
09/2008,40811.9147171922
10/2008,34751.43311123304
11/2008,32369.562363479214
12/2008,32923.49489114033
01/2009,33491.137219101125
02/2009,31778.313255298955
03/2009,35001.127547339944
04/2009,40945.67498305085
05/2009,44393.29811320755
06/2009,44159.09371727749
07/2009,49795.342721742825
08/2009,47980.222869955156
09/2009,51064.50276582668
10/2009,50040.072
11/2009,50814.11094987686
12/2009,55407.58475635152
01/2010,53755.03644565373
02/2010,55359.151879145174
03/2010,60043.64776318718
04/2010,62219.95083740143
05/2010,61546.64179735111
06/2010,62574.75700431913
07/2010,62305.60357691128
08/2010,63110.228280757095
09/2010,65240.97546893318
10/2010,65943.62208270188
11/2010,68958.65350053854
12/2010,71298.12110462505
01/2011,68608.67195442594
02/2011,65300.457510481414
03/2011,68128.52320686985
04/2011,67616.38502018843
05/2011,68782.60492179354
06/2011,67011.91729052793
07/2011,68480.67938288921
08/2011,60549.521356401376
09/2011,56601.41790713175
10/2011,61171.66475251768
11/2011,58427.00166939932
12/2011,60997.2872246696
01/2012,66281.75956284151
02/2012,68715.37116715018
03/2012,66985.28867924529
