Date,EURO STOXX 50
06/2003,40028.09966678271
07/2003,41773.38737753021
08/2003,42442.18431392053
09/2003,39772.21863032775
10/2003,42782.36435072363
11/2003,43714.129407668974
12/2003,45879.54443726066
01/2004,47235.042522504606
02/2004,48144.92465310588
03/2004,46432.461331874474
04/2004,46637.98677077635
05/2004,46390.93350574427
06/2004,47586.28835728851
07/2004,46120.87830108917
08/2004,45349.13214303477
09/2004,46292.9576764311
10/2004,47761.84910727607
11/2004,48908.09170935495
12/2004,50183.76684736659
01/2005,50812.403640523204
02/2005,52136.569353956336
03/2005,52092.30616203312
04/2005,50302.63092455364
05/2005,53236.932411597954
06/2005,55208.758143929976
07/2005,57765.57915153927
08/2005,56775.87407370568
09/2005,59641.41841149848
10/2005,57797.284527776406
11/2005,60079.94728204108
12/2005,62379.76823991645
01/2006,64408.53931466654
02/2006,65875.93872780625
03/2006,67320.08753170537
04/2006,67245.85965086786
05/2006,64386.40771870493
06/2006,64859.252996468895
07/2006,65679.73839956234
08/2006,67874.37210921569
09/2006,69497.31436813051
10/2006,71426.49201770528
11/2006,71262.61998309047
12/2006,73636.54324364649
01/2007,74757.54712289253
02/2007,73140.44859999005
03/2007,74853.03625603025
04/2007,78998.8561197593
05/2007,82140.17506341076
06/2007,81923.70816133685
07/2007,78828.76610135775
08/2007,78552.49415626399
09/2007,80146.59073954345
10/2007,82177.3511712339
11/2007,80606.87820162132
12/2007,80700.12930820113
01/2008,69641.66708111603
02/2008,68409.13612174864
03/2008,66665.83776794151
04/2008,70718.53085989955
05/2008,71027.25419008305
06/2008,63113.4679464863
07/2008,63443.949868205105
08/2008,63486.22370318795
09/2008,57384.36862784106
10/2008,48969.63743969762
11/2008,46141.26920972796
12/2008,46484.433281941616
01/2009,42562.41607400408
02/2009,37630.55154921172
03/2009,39458.64624260208
04/2009,45569.70209379818
05/2009,47809.46933903616
06/2009,46949.942805987965
07/2009,51619.46088426916
08/2009,54372.10921569603
09/2009,56313.7215894962
10/2009,53818.943651464666
11/2009,55034.44074203015
12/2009,58407.64410404337
01/2010,54735.66419654847
02/2010,53824.41438305068
03/2010,57852.489182871635
04/2010,55735.19172427513
05/2010,52550.60426717064
06/2010,51928.681553687784
07/2010,55355.970557517285
08/2010,53025.936241110074
09/2010,55588.103645496594
10/2010,57590.515740786796
11/2010,53857.86044661063
12/2010,56763.689262445914
01/2011,60147.83408763118
02/2011,61372.40761923709
03/2011,59300.243696225196
04/2011,61605.4110508778
05/2011,59552.76769284329
06/2011,59384.169692147014
07/2011,55731.33734520317
08/2011,48093.823046700156
09/2011,45652.260406823494
10/2011,49989.182871636745
11/2011,49006.93788232954
12/2011,48759.2629432536
01/2012,51010.22032128115
02/2012,53040.11040931019
03/2012,52344.704580494355
04/2012,49092.23156114786
05/2012,45788.65569204755
06/2012,49114.23882230069
07/2012,50524.44422340479
08/2012,53042.597105485656
09/2012,53463.8434376088
10/2012,54597.40388919282
11/2012,56195.10618192669
12/2012,57563.53508728304
01/2013,59174.6655393644
02/2013,57666.608643755906
03/2013,57499.378325956146
04/2013,59826.0543591784
05/2013,61777.36609141096
06/2013,58169.667280051726
07/2013,61960.51126473368
08/2013,60930.39737404884
09/2013,64868.702441935646
10/2013,68837.84254239817
11/2013,69377.45561247328
12/2013,69942.93032277317
01/2014,67937.1611876461
02/2014,71000.14920177053
03/2014,71353.01138906849
04/2014,72441.93564430298
05/2014,74397.34918187695
06/2014,74166.58377679416
07/2014,71662.23205848709
08/2014,72994.47953449049
09/2014,74311.309494206
10/2014,71793.27970358582
11/2014,75055.8263291391
12/2014,72746.43159098821
01/2015,77613.64201521859
02/2015,83361.3915551798
03/2015,85712.56278907844
04/2015,84114.98483115333
05/2015,84016.26299298753
06/2015,80714.5521460188
07/2015,84924.7774406923
08/2015,77175.36181429354
09/2015,73252.8472671209
10/2015,80829.80927040335
11/2015,83007.2860197941
12/2015,77413.33863828517
01/2016,72252.82240015914
02/2016,69930.86984632218
03/2016,71385.08976973193
04/2016,72317.47650072114
05/2016,74092.4802307654
06/2016,69505.51922216144
07/2016,72643.48236932412
08/2016,73476.02824886856
09/2016,73035.01268215051
10/2016,74400.33321728751
11/2016,74407.54463619635
12/2016,80289.32710001493
01/2017,78907.8430397374
02/2017,81179.06699159497
03/2017,85762.91838663153
04/2017,87445.66568856618
05/2017,88305.81389565823
06/2017,85679.86273437111
07/2017,85929.02969115233
08/2017,85308.59899537475
09/2017,89705.0778335903
10/2017,91737.57895260358
11/2017,89197.17013975233
12/2017,87637.63863331178
01/2018,90346.272442433
02/2018,86181.80235738798
03/2018,84306.08743223753
04/2018,89201.27318844185
05/2018,86953.79718505993
06/2018,86777.98776545482
07/2018,90191.35127070175
08/2018,86845.87457104491
09/2018,87083.97572984533
10/2018,81974.31242850749
11/2018,81394.29054558114
12/2018,77098.64723728056
01/2019,81341.94559108769
02/2019,84934.59989058538
03/2019,86482.6925946188
04/2019,91091.6596210275
05/2019,86057.21887899737
06/2019,91222.21117023923
07/2019,91141.14487491919
08/2019,90162.87859949272
09/2019,93997.73710648033
10/2019,95012.80648530363
11/2019,97669.96568359279
12/2019,98841.69692147014
01/2020,96209.65335455314
02/2020,88071.31844631223
03/2020,73794.57402894515
04/2020,77723.67832098274
05/2020,81405.1076739444
06/2020,86611.0061172726
07/2020,85220.56995076341
08/2020,87933.928482618
09/2020,85887.99920425723
10/2020,79609.83737007013
11/2020,94007.93256079973
12/2020,95673.77032874124
01/2021,93872.40761923708
02/2021,98138.33490824091
03/2021,105872.8303575869
04/2021,107802.13358531854
05/2021,110283.11035957627
06/2021,111037.82264882878
07/2021,111837.79280847467
08/2021,114781.41940617695
09/2021,110867.23529119212
10/2021,116575.94370119859
11/2021,111529.19381309992
12/2021,118007.41035460288
01/2022,114728.95011687472
02/2022,107934.92316108818
03/2022,107443.3033271995
04/2022,105204.15775600537
05/2022,106124.23534092605
06/2022,96827.59735415527
07/2022,104030.43591783957
08/2022,98727.4332322077
09/2022,93232.70502809966
10/2022,101704.38155866116
11/2022,111568.35927786343
12/2022,106808.94713283931
01/2023,117366.71308499528
02/2023,119598.64723728056
03/2023,121931.91425871587
04/2023,123933.08300591834
05/2023,121193.36549460387
06/2023,126451.7332272343
07/2023,128656.06505197195
08/2023,123721.83816581291
09/2023,120267.56726513155
10/2023,117081.73770328742
11/2023,126494.75307106978
12/2023,130550.18152882082
01/2024,134378.94763017856
02/2024,141157.93007410355
03/2024,147267.61824240314
04/2024,143679.31566121252
05/2024,146723.28044959466
06/2024,144175.41154821703
07/2024,143717.11219973143
08/2024,146295.07136818024
09/2024,147626.82150494854
