Date,Bloomberg Commodity (EUR Hedged)
03/2022,9362.698496531813
04/2022,9750.360902785114
05/2022,9899.299320446464
06/2022,8832.435477624027
07/2022,9209.182775254392
08/2022,9217.281081652052
09/2022,8469.772191120031
10/2022,8638.428224358298
11/2022,8875.039611281292
12/2022,8657.793739657054
01/2023,8615.189605999789
02/2023,8210.626386394846
03/2023,8193.725573043203
04/2023,8132.10802436534
05/2023,7673.673462202036
06/2023,7983.521706982149
07/2023,8483.152001690081
08/2023,8418.013450230626
09/2023,8359.564804056195
10/2023,8381.747121580227
11/2023,8193.021372486885
12/2023,7972.6065983592125
01/2024,8004.295623393543
02/2024,7886.694130488363
03/2024,8147.600436604345
04/2024,8366.95890989754
05/2024,8513.784725889935
06/2024,8382.803422414703
07/2024,8044.435055103694
08/2024,8048.308158163445
09/2024,8439.491567198338
