Date,MSCI USA Mid-Cap Equal Weighted
04/2002,30071.702895204256
05/2002,28387.22251624587
06/2002,24538.027596992477
07/2002,22449.664879893695
08/2002,22403.81401403438
09/2002,20178.818450304258
10/2002,21364.566569343064
11/2002,22817.6555414526
12/2002,20557.49414703919
01/2003,19529.682766272188
02/2003,19230.645535151176
03/2003,19220.217141808167
04/2003,20183.74064504537
05/2003,20937.580321434616
06/2003,21719.876685044193
07/2003,22620.344852447433
08/2003,24523.496396083094
09/2003,22585.07733607964
10/2003,24349.403118224065
11/2003,24134.99376354844
12/2003,23743.14077593033
01/2004,24846.493023255818
02/2004,25347.16586889998
03/2004,25728.025667539267
04/2004,25474.342881058
05/2004,25508.810073782584
06/2004,26194.871641299877
07/2004,25283.16022260985
08/2004,25114.920029725043
09/2004,25454.7136433234
10/2004,25484.372269765256
11/2004,25886.29638209853
12/2004,26318.89232214962
01/2005,26540.94009052551
02/2005,26871.75381458852
03/2005,27230.266152422093
04/2005,26226.160574206995
05/2005,28932.48461925229
06/2005,30174.458458484947
07/2005,31838.36051930869
08/2005,31402.728644040006
09/2005,32225.237933898024
10/2005,31377.92709307161
11/2005,33628.557750021246
12/2005,33927.261561413914
01/2006,34506.100505033835
02/2006,35160.56310568421
03/2006,35337.25488433576
04/2006,34386.89008215682
05/2006,32307.03028908921
06/2006,32718.15435538425
07/2006,31712.301464713717
08/2006,32353.56033304801
09/2006,33576.96243917851
10/2006,34695.096962822936
11/2006,34592.42242424242
12/2006,34690.033227031134
01/2007,36412.33545159796
02/2007,35620.607299977295
03/2007,35493.495960354405
04/2007,36030.44702976846
05/2007,37788.87744889616
06/2007,36970.92313661607
07/2007,34667.7728109725
08/2007,34746.663962057646
09/2007,34455.954524296496
10/2007,34141.002926559144
11/2007,31747.739822505253
12/2007,31606.643287820123
01/2008,29569.60003227976
02/2008,28125.849288587066
03/2008,26584.240080951175
04/2008,28545.81873873874
05/2008,29774.094671137475
06/2008,26435.852484141076
07/2008,26093.353045929154
08/2008,28249.85332880896
09/2008,25884.709199468645
10/2008,22416.460584776985
11/2008,20555.95670307221
12/2008,19835.748623985055
01/2009,19836.018014981273
02/2009,18063.48220183486
03/2009,18746.198677487228
04/2009,22004.834904708096
05/2009,21596.279120442618
06/2009,21451.40290363662
07/2009,23407.717481963507
08/2009,24426.523531390132
09/2009,25279.641384962102
10/2009,23903.704983783788
11/2009,24665.662581375225
12/2009,27268.43267527419
01/2010,27157.046999856793
02/2010,29392.332486366984
03/2010,31670.918186809104
04/2010,33212.86750882464
05/2010,33301.498256276915
06/2010,31333.504490261592
07/2010,31549.291102241325
08/2010,30995.472996845423
09/2010,31827.599765533407
10/2010,32592.68436169445
11/2010,35376.520264656094
12/2010,36857.72696302948
01/2011,36763.015857435
02/2011,37792.01821598959
03/2011,37368.44886042092
04/2011,36871.459585464334
05/2011,37876.209774070216
06/2011,36778.10959108836
07/2011,35982.55605049088
08/2011,33161.06103806229
09/2011,32117.87903725098
10/2011,35094.97607313764
11/2011,36381.39027574899
12/2011,37599.28255352037
01/2012,39418.602112932596
02/2012,40310.6038473555
03/2012,41286.06654687033
04/2012,41317.4291387922
05/2012,40607.9187809401
06/2012,41166.95071008738
07/2012,42237.08549658092
08/2012,42503.63791610498
09/2012,42335.83799535963
10/2012,41789.13054106057
11/2012,42531.835626058826
12/2012,43045.92897377596
01/2013,44947.55887232472
02/2013,47025.01571787646
03/2013,50363.43512065599
04/2013,50006.40580171358
05/2013,51453.578717514996
06/2013,50448.67765137615
07/2013,52789.757517137485
08/2013,51557.11080015111
09/2013,52890.725532765646
10/2013,54164.18074921192
11/2013,55021.75288810521
12/2013,55978.276742803275
01/2014,55537.63634211306
02/2014,57565.42315789474
03/2014,57584.18731650711
04/2014,56970.7644765343
05/2014,59430.98855589035
06/2014,61039.88663640358
07/2014,60577.68063980865
08/2014,64159.873448589635
09/2014,64798.24549312564
10/2014,67240.00012775471
11/2014,68813.23657454138
12/2014,70816.90173791286
01/2015,74493.73568509509
02/2015,79550.23382206405
03/2015,83167.19991077237
04/2015,79566.15749621042
05/2015,82194.0447620784
06/2015,78884.64988113326
07/2015,80896.55609738306
08/2015,74810.28231475703
09/2015,71950.92328840488
10/2015,77980.08545339022
11/2015,81676.88247282352
12/2015,76729.54190502434
01/2016,70945.19775824175
02/2016,71915.91901542984
03/2016,74693.05150285464
04/2016,75710.56928878365
05/2016,78639.26541151157
06/2016,78418.20402810303
07/2016,82355.32409250428
08/2016,82269.79644987424
09/2016,82226.91128035121
10/2016,81373.86316828064
11/2016,88404.70937094501
12/2016,89527.07123802295
01/2017,89988.98066387729
02/2017,94050.04918373123
03/2017,92939.78880179592
04/2017,91445.77149130832
05/2017,89139.46486052936
06/2017,89051.64424815982
07/2017,87748.44744606465
08/2017,86092.15522367862
09/2017,88458.01011011348
10/2017,90788.21976284584
11/2017,92883.88095535488
12/2017,92709.98849328776
01/2018,93080.73562494983
02/2018,90920.65088586867
03/2018,90201.3310348186
04/2018,91935.81692524216
05/2018,96895.5145020942
06/2018,98286.7980511237
07/2018,100019.00479890934
08/2018,103220.84648528024
09/2018,103328.37434692468
10/2018,96480.82133239091
11/2018,98160.5013117352
12/2018,87189.84525414847
01/2019,96510.02965181059
02/2019,101328.81167484232
03/2019,103310.44403382287
04/2019,107356.76528436442
05/2019,100293.03171374764
06/2019,105712.57681546574
07/2019,108833.58596717783
08/2019,105248.45665820951
09/2019,109959.37157865737
10/2019,108715.54610722612
11/2019,114530.18452012383
12/2019,114272.40974185508
