Date,STOXX Europe 600 Basic Resources
07/1997,38487.11943793911
08/1997,36919.594067135055
09/1997,39125.68306010929
10/1997,32569.867291178773
11/1997,32084.309133489463
12/1997,31567.525370804062
01/1998,32413.73926619829
02/1998,34594.84777517564
03/1998,37427.01014832163
04/1998,39213.114754098366
05/1998,39252.14676034349
06/1998,36558.93832943014
07/1998,34035.909445745514
08/1998,28340.359094457457
09/1998,25700.234192037475
10/1998,27064.793130366903
11/1998,28204.527712724434
12/1998,27575.331772053083
01/1999,28413.739266198285
02/1999,29970.33567525371
03/1999,32857.142857142855
04/1999,39145.97970335675
05/1999,36199.84387197502
06/1999,40423.106947697124
07/1999,43096.0031225605
08/1999,44888.368462138955
09/1999,43395.78454332553
10/1999,44003.10694769712
11/1999,48549.57064793131
12/1999,56624.512099921936
01/2000,50398.12646370024
02/2000,43085.08977361437
03/2000,45787.665886026545
04/2000,43540.983606557376
05/2000,41108.50897736144
06/2000,41634.66042154567
07/2000,42763.46604215457
08/2000,45451.990632318506
09/2000,42260.73380171741
10/2000,47687.74395003903
11/2000,44224.8243559719
12/2000,47156.90866510539
01/2001,48455.89383294302
02/2001,50460.57767369243
03/2001,48671.350507416086
04/2001,53929.74238875879
05/2001,57761.12412177986
06/2001,53790.772833723655
07/2001,49807.96252927401
08/2001,51124.12177985949
09/2001,43840.74941451991
10/2001,47611.2412177986
11/2001,53722.07650273224
12/2001,55427.01014832163
01/2002,58209.21155347385
02/2002,60443.403590944574
03/2002,61163.15378610461
04/2002,57381.71740827479
05/2002,59950.03903200625
06/2002,54647.931303669015
07/2002,46900.8587041374
08/2002,46708.8212334114
09/2002,42196.72131147541
10/2002,45209.99219359875
11/2002,49722.092115534746
12/2002,45718.96955503513
01/2003,40440.28103044497
02/2003,42017.17408274786
03/2003,39309.914129586265
04/2003,41603.43481654958
05/2003,40869.6330991413
06/2003,42371.58469945355
07/2003,48444.96487119438
08/2003,52701.01483216238
09/2003,48590.16393442624
10/2003,55442.62295081968
11/2003,54674.47306791569
12/2003,55962.529274004686
01/2004,56992.97423887588
02/2004,60638.56362217018
03/2004,59209.99219359875
04/2004,55205.29274004684
05/2004,56056.20608899298
06/2004,57455.11319281811
07/2004,60354.4106167057
08/2004,60579.2349726776
09/2004,64202.96643247464
10/2004,60975.800156128025
11/2004,66046.83840749414
12/2004,64234.192037470726
01/2005,67139.73458235753
02/2005,74334.11397345824
03/2005,70986.72911787666
04/2005,65768.93052302889
05/2005,69843.87197501952
06/2005,72499.60967993755
07/2005,78104.60577673693
08/2005,80571.41295862608
09/2005,91214.67603434817
10/2005,86502.73224043717
11/2005,91411.39734582359
12/2005,98282.59172521468
01/2006,110740.04683840749
02/2006,109804.8399687744
03/2006,119167.83762685403
04/2006,125169.39890710384
05/2006,119462.91959406713
06/2006,120427.79078844654
07/2006,122732.24043715847
08/2006,123661.20218579235
09/2006,119900.0780640125
10/2006,135169.39890710384
11/2006,131895.39422326308
12/2006,136864.9492583919
01/2007,137906.32318501172
02/2007,139917.25214676035
03/2007,150555.81576893054
04/2007,151979.70335675255
05/2007,170260.7338017174
06/2007,176636.9867291179
07/2007,174796.25292740046
08/2007,170291.95940671352
09/2007,190569.8672911788
10/2007,194221.7017954723
11/2007,187822.01405152224
12/2007,178710.38251366123
01/2008,162804.0593286495
02/2008,180950.81967213115
03/2008,166927.4004683841
04/2008,187565.94847775178
05/2008,197402.01405152224
06/2008,193742.3887587822
07/2008,170251.3661202186
08/2008,163414.5199063232
09/2008,111928.18110850899
10/2008,86057.76736924278
11/2008,74076.50273224043
12/2008,64952.380952380954
01/2009,64056.19047619048
02/2009,60946.13583138173
03/2009,69242.77907884466
04/2009,83570.64793130367
05/2009,94566.74473067916
06/2009,90872.75565964091
07/2009,104064.012490242
08/2009,104092.11553473849
09/2009,107384.85558157689
10/2009,108014.05152224825
11/2009,120515.22248243561
12/2009,133768.9305230289
01/2010,124838.4074941452
02/2010,126579.2349726776
03/2010,147859.48477751756
04/2010,139667.44730679158
05/2010,132352.8493364559
06/2010,124348.16549570649
07/2010,133756.44028103046
08/2010,130256.049960968
09/2010,140377.82982045278
10/2010,146757.22092115536
11/2010,154110.85089773615
12/2010,171982.82591725216
01/2011,163096.01873536303
02/2011,167801.7174082748
03/2011,163205.30835284933
04/2011,162960.18735363
05/2011,158543.32552693208
06/2011,156391.88134270103
07/2011,151046.05776736926
08/2011,131339.57845433257
09/2011,108382.5136612022
10/2011,123497.26775956285
11/2011,123862.60733801717
12/2011,122487.11943793911
