Date,MSCI USA Enhanced Value
02/2017,52585.895125605675
03/2017,51503.71469932471
04/2017,50458.31044263825
05/2017,49055.624111193916
06/2017,48802.043484104994
07/2017,48396.86115314324
08/2017,48067.398090760944
09/2017,49827.095715420015
10/2017,51826.44790905355
11/2017,53015.15535939311
12/2017,53208.088252636866
01/2018,53430.11220844844
02/2018,52695.999122847716
03/2018,51011.33387835863
04/2018,52243.032651635855
05/2018,54949.23281320331
06/2018,54541.21005675528
07/2018,56000.687124791664
08/2018,58424.92428699208
09/2018,58676.80767505476
10/2018,56464.031279640134
11/2018,55905.930890641604
12/2018,49201.325251268245
01/2019,53899.83622639815
02/2019,55231.602862907035
03/2019,55555.92983094369
04/2019,57538.58736814512
05/2019,52259.87812261131
06/2019,56028.20519500277
07/2019,58115.29348798816
08/2019,56058.38134290264
09/2019,59511.638234193255
10/2019,59702.359060420036
11/2019,62815.89612781657
12/2019,63434.312493973666
01/2020,61999.26016767771
02/2020,56317.51187975495
03/2020,45939.14812440921
04/2020,51483.46836496403
05/2020,52039.33304700962
06/2020,51859.863809699964
07/2020,49437.73074679081
08/2020,50952.46254774642
09/2020,50868.70014599186
10/2020,50277.20352686585
11/2020,57127.844633120934
12/2020,57408.10767390298
01/2021,59927.37447524005
02/2021,64144.79934029265
03/2021,71060.87030114418
04/2021,70112.93853315264
05/2021,71394.72258606958
06/2021,72170.65682071446
07/2021,71515.9115106503
08/2021,72404.95559177692
09/2021,71349.11505403635
10/2021,72661.82213450813
11/2021,73737.32859826808
12/2021,79746.66231391429
01/2022,79348.79300772292
02/2022,77271.83246863689
03/2022,78132.18176888755
04/2022,77514.6939569919
05/2022,79174.45476630387
06/2022,72620.03436313925
07/2022,78292.05232605642
08/2022,76955.6837473635
09/2022,70427.94233767578
10/2022,78319.49168363119
11/2022,79113.45728173222
12/2022,72181.11475885686
01/2023,76085.59973863162
02/2023,74503.45853595124
03/2023,72386.29300333039
04/2023,70849.48629515608
05/2023,70088.11662403253
06/2023,73708.08323028556
07/2023,75281.90192945313
08/2023,74088.33628874055
09/2023,73544.98391586922
10/2023,70704.91851626709
11/2023,74227.68220618115
12/2023,79001.7388241374
01/2024,79818.45484440496
02/2024,81914.02007694618
03/2024,86887.52018357531
04/2024,81616.30451874307
05/2024,82998.53037925271
06/2024,84070.51129493072
07/2024,86410.70121247628
08/2024,84654.86374474091
09/2024,85281.45578164824
10/2024,86569.82000966802
