Date,S&P 500 EUR Hedged
10/2022,32129.13273482935
11/2022,33801.46059940757
12/2022,31800.779807164046
01/2023,33695.84571882039
02/2023,32804.50967956206
03/2023,33919.32715378146
04/2023,34378.70775699649
05/2023,34482.47891147735
06/2023,36654.51759454787
07/2023,37756.07513959862
08/2023,37084.39495882655
09/2023,35210.10045306828
10/2023,34423.65297805222
11/2023,37423.496747613346
12/2023,39049.60316433891
01/2024,39661.01098682802
02/2024,41732.49624167504
03/2024,43025.781643647686
04/2024,41198.666143829265
05/2024,43170.24151570426
06/2024,44686.06941804679
07/2024,45161.07203050943
08/2024,46148.95537706889
09/2024,47060.165790500156
