Date,STOXX Europe 600 Food & Beverage
05/2007,91953.62318840579
06/2007,91453.14009661836
07/2007,89611.59420289854
08/2007,93286.95652173914
09/2007,91955.55555555556
10/2007,95329.46859903382
11/2007,95366.18357487922
12/2007,94492.7536231884
01/2008,85186.47342995169
02/2008,85524.63768115942
03/2008,85356.52173913043
04/2008,86483.09178743961
05/2008,87337.19806763285
06/2008,77107.2270531401
07/2008,74873.42995169084
08/2008,80123.67149758454
09/2008,79207.72946859903
10/2008,74199.03381642512
11/2008,70202.89855072464
12/2008,68007.72946859903
01/2009,67976.7922705314
02/2009,63605.79710144929
03/2009,61758.454106280195
04/2009,64303.381642512075
05/2009,68618.35748792271
06/2009,70942.99516908213
07/2009,77257.97101449275
08/2009,78421.25603864735
09/2009,81068.59903381643
10/2009,84970.04830917875
11/2009,84923.67149758454
12/2009,91922.70531400967
01/2010,92272.46376811594
02/2010,94115.9420289855
03/2010,98604.8309178744
04/2010,99536.23188405797
05/2010,98554.58937198068
06/2010,102017.39130434784
07/2010,100881.14009661836
08/2010,103028.0193236715
09/2010,103717.87439613526
10/2010,104705.31400966183
11/2010,106888.88888888889
12/2010,112390.33816425121
01/2011,105895.65217391304
02/2011,107959.42028985509
03/2011,107661.83574879228
04/2011,112052.17391304347
05/2011,116809.66183574879
06/2011,113588.40579710147
07/2011,114340.0966183575
08/2011,110763.2850241546
09/2011,108987.43961352657
10/2011,113584.54106280193
11/2011,115928.48309178744
12/2011,121400.96618357488
01/2012,120388.40579710146
02/2012,126086.95652173914
03/2012,129495.65217391304
04/2012,132069.5652173913
05/2012,130544.9275362319
06/2012,135911.11111111112
07/2012,144307.24637681158
08/2012,144421.25603864735
09/2012,143899.49758454107
10/2012,143924.61835748793
11/2012,149416.42512077294
12/2012,147708.21256038648
01/2013,151926.5700483092
02/2013,159325.6038647343
03/2013,168168.115942029
04/2013,165130.4347826087
05/2013,160295.65217391305
06/2013,155227.05314009663
07/2013,159155.55555555556
08/2013,155673.4299516908
09/2013,159671.49758454107
10/2013,163026.08695652173
11/2013,162848.30917874395
12/2013,163742.99516908213
01/2014,157371.9806763285
02/2014,163895.65217391305
03/2014,164966.18357487922
04/2014,169990.3381642512
05/2014,176525.6038647343
06/2014,177064.73429951692
07/2014,172550.72463768115
08/2014,179632.8502415459
09/2014,180162.3188405797
10/2014,180685.99033816427
11/2014,189507.24637681158
12/2014,186264.73429951692
01/2015,207337.19806763285
02/2015,215598.06763285023
03/2015,213704.34782608695
04/2015,212500.48309178744
05/2015,215831.884057971
06/2015,206210.62801932372
07/2015,213433.81642512078
08/2015,198997.10144927536
09/2015,204423.18840579715
10/2015,223072.46376811594
11/2015,232676.32850241545
12/2015,222295.65217391308
01/2016,220678.26086956522
02/2016,212272.46376811594
03/2016,215242.51207729473
04/2016,214490.82125603865
05/2016,221855.07246376813
06/2016,224090.82125603865
07/2016,228612.56038647343
08/2016,226334.2995169082
09/2016,227072.46376811594
10/2016,213412.56038647343
11/2016,205460.86956521738
12/2016,214755.53623188406
01/2017,211963.28502415458
02/2017,222875.3623188406
03/2017,226284.0579710145
04/2017,229522.70531400965
05/2017,239520.7729468599
06/2017,234034.78260869568
07/2017,233111.11111111112
08/2017,235184.54106280193
09/2017,235246.3768115942
10/2017,244003.8647342995
11/2017,240944.92753623193
12/2017,242114.00966183573
01/2018,235057.00483091787
02/2018,226714.97584541063
03/2018,226137.19806763285
04/2018,229571.01449275363
05/2018,233234.78260869565
06/2018,235578.72463768115
07/2018,241429.95169082127
08/2018,242036.71497584542
09/2018,239116.90821256037
10/2018,234009.6618357488
11/2018,239592.270531401
12/2018,225084.0579710145
01/2019,240371.01449275363
02/2019,250705.31400966184
03/2019,266156.50241545896
04/2019,273698.5507246377
05/2019,274428.9855072464
06/2019,281992.270531401
07/2019,294885.0241545894
08/2019,303147.82608695654
09/2019,299661.8357487923
10/2019,282968.09661835746
11/2019,286521.73913043475
12/2019,288877.2946859903
01/2020,287839.61352657
02/2020,258206.76328502415
03/2020,237646.3768115942
04/2020,251371.9806763285
05/2020,252780.67632850245
06/2020,253099.51690821256
07/2020,258098.5507246377
08/2020,256336.23188405798
09/2020,254966.18357487922
10/2020,241771.9806763285
11/2020,265026.0869565217
12/2020,271373.89371980674
01/2021,263400.96618357487
02/2021,256620.28985507245
03/2021,276355.5555555556
04/2021,290848.309178744
05/2021,299756.52173913043
06/2021,308199.03381642513
07/2021,311000.96618357487
08/2021,308604.8309178744
09/2021,302448.309178744
10/2021,318575.84541062807
11/2021,312527.53623188403
12/2021,335242.5120772947
01/2022,316255.0531400966
02/2022,315379.71014492755
03/2022,313080.193236715
04/2022,328800
05/2022,308222.22222222225
06/2022,297710.14492753625
07/2022,322249.2753623189
08/2022,306800
09/2022,290137.19806763285
10/2022,289142.02898550726
11/2022,302811.59420289856
12/2022,292127.53623188403
01/2023,297611.59420289856
02/2023,299957.4879227053
03/2023,312867.63285024156
04/2023,322202.8985507246
05/2023,303031.884057971
06/2023,304025.12077294686
07/2023,304786.4734299517
08/2023,297360.38647343
09/2023,283296.6183574879
10/2023,280693.7198067633
11/2023,283628.9855072464
12/2023,288400
01/2024,291791.3043478261
02/2024,282979.71014492755
03/2024,286573.9130434783
04/2024,283084.05797101447
05/2024,286112.07729468605
06/2024,276842.5120772947
07/2024,278471.49758454104
08/2024,285746.8599033816
09/2024,286330.4347826087
