Date,MSCI Europe Momentum
01/2001,34570.01095921746
02/2001,34209.886579603655
03/2001,33648.08279043094
04/2001,34415.72534052282
05/2001,35224.22921767392
06/2001,35325.3848441148
07/2001,33862.28323655905
08/2001,32691.81474351223
09/2001,29928.810703891697
10/2001,30036.779952964967
11/2001,30908.256869802357
12/2001,32426.356043956686
01/2002,32731.288119280314
02/2002,32766.455740548437
03/2002,34080.40848520307
04/2002,34248.45172661828
05/2002,32848.839826818854
06/2002,30535.402208125804
07/2002,28707.17712548091
08/2002,28551.210846446247
09/2002,26474.906384703558
10/2002,27160.140560485703
11/2002,27132.26468681179
12/2002,25302.609281332716
01/2003,23556.80298338433
02/2003,23551.03669826165
03/2003,22910.645397127795
04/2003,24698.557511551433
05/2003,24707.810526462927
06/2003,25291.679352665775
07/2003,25739.579608736844
08/2003,26515.84799448317
09/2003,25835.23429174064
10/2003,27463.701740884782
11/2003,27615.37902123309
12/2003,27694.801959069824
01/2004,29469.236229263504
02/2004,30346.616360850985
03/2004,30153.84129319695
04/2004,30353.16944081559
05/2004,30451.646822786235
06/2004,31300.308309354954
07/2004,30865.32451089003
08/2004,30853.668243997483
09/2004,31685.51887795169
10/2004,32097.949735710426
11/2004,33427.71575067858
12/2004,34161.293847502995
01/2005,35300.12340351812
02/2005,36720.26093849741
03/2005,36076.08606678847
04/2005,35329.30152300771
05/2005,37746.08102114976
06/2005,39542.37812342661
07/2005,40828.308087647434
08/2005,41567.98681284219
09/2005,43209.99845963684
10/2005,41203.97441594549
11/2005,42741.80901601169
12/2005,44389.97882146144
01/2006,47110.58638065077
02/2006,48548.20510989858
03/2006,50013.089940961254
04/2006,51266.112516048415
05/2006,48053.02333694748
06/2006,48292.32641696969
07/2006,48612.469532426374
08/2006,49493.2557925552
09/2006,50554.48450703906
10/2006,54223.322402903344
11/2006,54359.257697714274
12/2006,57081.678243089336
01/2007,58626.875292924145
02/2007,58060.35899443592
03/2007,60709.02877921092
04/2007,62522.31995721101
05/2007,65707.89606987002
06/2007,65614.91551179287
07/2007,63973.98470978001
08/2007,62922.32070704684
09/2007,66009.10421774887
10/2007,69161.85525530712
11/2007,66154.37712958478
12/2007,65931.96544726541
01/2008,58706.926179531416
02/2008,58879.54285184021
03/2008,55529.29334446063
04/2008,58829.0067516056
05/2008,60275.59639209308
06/2008,57214.817730643976
07/2008,53402.69837817796
08/2008,53103.02990551233
09/2008,44265.99875347447
10/2008,42062.485291326375
11/2008,38513.30575617684
12/2008,36344.566835769416
01/2009,36492.89107655624
02/2009,33608.584552727785
03/2009,33310.25808584145
04/2009,35368.865013969466
05/2009,37136.40007939175
06/2009,36206.27547746411
07/2009,39740.14079758989
08/2009,40562.26770583369
09/2009,40958.99097228545
10/2009,40708.17010778033
11/2009,41126.69660569328
12/2009,43710.31003953165
01/2010,42384.592038472074
02/2010,42668.627153510635
03/2010,46673.11398644378
04/2010,46728.99985553429
05/2010,44707.74526473531
06/2010,45507.23155651713
07/2010,47126.30952107554
08/2010,46211.78327615354
09/2010,49280.399884609804
10/2010,50631.41321357356
11/2010,52289.03554836481
12/2010,54950.12835230353
01/2011,53247.862993828545
02/2011,54649.39054870599
03/2011,53910.7809676316
04/2011,56994.24194421965
05/2011,56916.394156609895
06/2011,56613.35075017944
07/2011,56046.10148708731
08/2011,49786.94654321901
09/2011,48404.35620649279
10/2011,51531.99352310851
11/2011,52534.94345803828
12/2011,54703.89718178253
01/2012,54334.051264761685
02/2012,56321.60582687096
03/2012,57192.129559316214
04/2012,58256.51192236627
05/2012,56314.908785717904
06/2012,59008.349828225044
07/2012,62125.25985325471
08/2012,62086.1755743132
09/2012,61926.287902040865
10/2012,62237.04659271795
11/2012,64586.2642589821
12/2012,64628.174646367595
01/2013,66500.16862329746
02/2013,68815.470678006
03/2013,72403.53483875815
04/2013,73276.70506946523
05/2013,72348.01415380472
06/2013,69748.08001115653
07/2013,73013.98403412447
08/2013,71076.13672857672
09/2013,74369.1165245902
10/2013,76586.99114353082
11/2013,78148.01411681618
12/2013,79778.57939858701
01/2014,79046.76689681917
02/2014,83931.14279699532
03/2014,81229.89502168547
04/2014,81590.98468166936
05/2014,84847.06199389992
06/2014,85480.84419039868
07/2014,83576.64492968195
08/2014,85125.31109145255
09/2014,86781.97869747337
10/2014,84830.83451442469
11/2014,88211.97351834731
12/2014,87194.7054102641
01/2015,95486.82440123237
02/2015,100507.57948420927
03/2015,103604.43908442717
04/2015,102056.14548909041
05/2015,104701.99039317071
06/2015,99932.77208276547
07/2015,106464.20859672056
08/2015,97284.55502758706
09/2015,94470.45214915994
10/2015,100847.89693175
11/2015,103360.01885578818
12/2015,99932.06420214268
01/2016,95213.14126966587
02/2016,93550.0510537413
03/2016,95097.88028410348
04/2016,94799.4433798683
05/2016,98072.74792948106
06/2016,97065.22035224132
07/2016,100847.77517692113
08/2016,99020.588806356
09/2016,101669.73112610396
10/2016,98580.67109004105
11/2016,98814.52160347228
12/2016,103357.5324407458
01/2017,104779.71453085523
02/2017,108146.35985025922
03/2017,110249.35393040646
04/2017,111068.6474393642
05/2017,112927.86913189526
06/2017,110662.83309900836
07/2017,111461.03056867253
08/2017,111485.41704714057
09/2017,116138.34791182741
10/2017,119851.99023695869
11/2017,115645.92483114923
12/2017,114873.07719237979
01/2018,118362.75129211177
02/2018,114075.56380922363
03/2018,111663.80078119934
04/2018,116962.78451746328
05/2018,118525.38587979208
06/2018,118030.94946406329
07/2018,120377.9168281639
08/2018,120718.17046820212
09/2018,122483.53236815445
10/2018,113538.62579146352
11/2018,108362.95923541725
12/2018,103441.18595504906
01/2019,110003.94347052938
02/2019,114054.19433911184
03/2019,118680.36189708316
04/2019,120157.6899314996
05/2019,117799.49996698466
06/2019,123865.71780796278
07/2019,123813.11824851537
08/2019,124374.93686345477
09/2019,127499.122760059
10/2019,128400.6938125519
11/2019,132608.0892218685
12/2019,134628.63911181514
01/2020,137729.58399523
02/2020,128876.12356816504
03/2020,116898.30398475342
04/2020,125448.55227135732
05/2020,130855.84044310178
06/2020,134864.87116865022
07/2020,136053.43861331907
08/2020,138962.74821949675
09/2020,140255.19217607897
10/2020,134744.66745912333
11/2020,143904.2413476672
12/2020,149243.02928182136
01/2021,150334.42801109885
02/2021,150037.47200012257
03/2021,159130.10567298887
04/2021,163782.43993434493
05/2021,166123.5807755179
06/2021,166295.66008867018
07/2021,172181.6745491398
08/2021,175536.21531312884
09/2021,170430.02605218586
10/2021,178525.0630010976
11/2021,174013.76041323374
12/2021,183950.97248318608
01/2022,171024.01510646244
02/2022,164642.91589972746
03/2022,168731.3541154
04/2022,163564.92852177547
05/2022,160564.86652426084
06/2022,152668.75280512508
07/2022,158565.65302146808
08/2022,153664.16922203425
09/2022,144960.21709953094
10/2022,152315.60214462772
11/2022,159081.49000060736
12/2022,155300.5895205723
01/2023,160574.4567069263
02/2023,164790.02465658134
03/2023,163827.4211273852
04/2023,171577.21302628468
05/2023,163598.72527326478
06/2023,170002.5468574592
07/2023,170994.71458889547
08/2023,167056.02806066084
09/2023,165195.0787508207
10/2023,160890.63598212134
11/2023,172228.09282663165
12/2023,175950.41058424787
01/2024,181432.48605110255
02/2024,188877.4608763657
03/2024,200769.4785831916
04/2024,198147.22440092466
05/2024,206183.62256643886
06/2024,206021.18586831485
07/2024,206740.23570231974
08/2024,208982.77009203332
09/2024,208692.56156501785
10/2024,205802.1421385034
